failure_reason,cpv_div2,n,pct_with_amount,median_duration,pct_duration_imputed,pct_siret_buyer,median_objet_len
CPV_MISMATCH,18,4,50.0,12.0,0.0,0.0,92.0
CPV_MISMATCH,22,1,100.0,12.0,0.0,0.0,105.0
CPV_MISMATCH,30,1,0.0,24.0,0.0,0.0,6.0
CPV_MISMATCH,31,1,100.0,24.0,0.0,0.0,185.0
CPV_MISMATCH,32,13,38.5,18.0,38.5,0.0,82.0
CPV_MISMATCH,33,1,0.0,,100.0,0.0,129.0
CPV_MISMATCH,35,10,20.0,12.0,0.0,0.0,86.5
CPV_MISMATCH,38,1,0.0,12.0,0.0,0.0,77.0
CPV_MISMATCH,39,1,0.0,10.0,0.0,0.0,34.0
CPV_MISMATCH,42,1,100.0,48.0,0.0,0.0,114.0
CPV_MISMATCH,43,1,100.0,4.0,0.0,0.0,85.0
CPV_MISMATCH,44,2,100.0,12.0,0.0,0.0,81.0
CPV_MISMATCH,45,12,8.3,15.0,16.7,0.0,88.5
CPV_MISMATCH,48,36,22.2,24.0,30.6,0.0,82.0
CPV_MISMATCH,50,7,42.9,16.0,0.0,0.0,72.0
CPV_MISMATCH,64,4,75.0,12.0,0.0,0.0,61.5
CPV_MISMATCH,66,1,0.0,12.0,0.0,0.0,138.0
CPV_MISMATCH,72,21,9.5,24.0,19.0,0.0,104.0
CPV_MISMATCH,79,1,0.0,,100.0,0.0,46.0
CPV_MISMATCH,90,2,0.0,24.0,0.0,0.0,59.0
LINKED,18,2,100.0,12.0,50.0,0.0,187.0
LINKED,30,4,0.0,12.0,25.0,0.0,63.0
LINKED,31,1,0.0,,100.0,0.0,98.0
LINKED,32,43,25.6,36.0,23.3,0.0,97.0
LINKED,35,19,21.1,15.0,26.3,0.0,127.0
LINKED,37,2,50.0,,100.0,0.0,89.0
LINKED,39,4,25.0,8.0,0.0,0.0,64.0
LINKED,42,1,100.0,24.0,0.0,0.0,110.0
LINKED,44,1,0.0,48.0,0.0,0.0,84.0
LINKED,45,9,11.1,14.0,0.0,0.0,84.0
LINKED,48,55,3.6,48.0,29.1,0.0,116.0
LINKED,64,2,0.0,48.0,50.0,0.0,68.0
LINKED,72,121,11.6,24.0,27.3,0.0,100.0
LINKED,79,4,0.0,18.0,0.0,0.0,102.0
LINKED,90,1,0.0,12.0,0.0,0.0,73.0
LINKED,,10,10.0,15.5,20.0,0.0,89.5
NO_TEMPORAL_PARTNER,15,1,0.0,12.0,0.0,0.0,97.0
NO_TEMPORAL_PARTNER,18,1,100.0,48.0,0.0,0.0,161.0
NO_TEMPORAL_PARTNER,30,6,16.7,24.0,50.0,0.0,71.0
NO_TEMPORAL_PARTNER,31,1,0.0,,100.0,0.0,89.0
NO_TEMPORAL_PARTNER,32,62,24.2,12.0,30.6,0.0,88.0
NO_TEMPORAL_PARTNER,34,1,0.0,3.0,0.0,0.0,161.0
NO_TEMPORAL_PARTNER,35,26,34.6,24.0,34.6,0.0,94.0
NO_TEMPORAL_PARTNER,39,4,0.0,3.0,25.0,0.0,89.5
NO_TEMPORAL_PARTNER,43,1,100.0,12.0,0.0,0.0,118.0
NO_TEMPORAL_PARTNER,44,4,25.0,3.0,75.0,0.0,65.0
NO_TEMPORAL_PARTNER,45,31,9.7,11.5,41.9,0.0,75.0
NO_TEMPORAL_PARTNER,48,55,21.8,48.0,30.9,0.0,97.0
NO_TEMPORAL_PARTNER,50,2,0.0,24.0,0.0,0.0,121.5
NO_TEMPORAL_PARTNER,51,1,0.0,24.0,0.0,0.0,62.0
NO_TEMPORAL_PARTNER,64,4,50.0,24.0,25.0,0.0,85.0
NO_TEMPORAL_PARTNER,71,3,33.3,30.0,33.3,0.0,72.0
NO_TEMPORAL_PARTNER,72,108,30.6,24.0,22.2,0.0,97.5
NO_TEMPORAL_PARTNER,79,3,33.3,6.0,33.3,0.0,52.0
NO_TEMPORAL_PARTNER,92,2,0.0,8.5,0.0,0.0,77.5
NO_TEMPORAL_PARTNER,,23,21.7,12.0,43.5,0.0,108.0
TEXT_MISMATCH,30,4,25.0,30.0,0.0,0.0,123.0
TEXT_MISMATCH,32,60,20.0,12.0,28.3,0.0,91.0
TEXT_MISMATCH,34,1,0.0,12.0,0.0,0.0,141.0
TEXT_MISMATCH,35,22,18.2,12.0,18.2,0.0,112.0
TEXT_MISMATCH,37,1,0.0,48.0,0.0,0.0,79.0
TEXT_MISMATCH,38,3,33.3,48.0,0.0,0.0,97.0
TEXT_MISMATCH,39,4,25.0,12.0,50.0,0.0,106.0
TEXT_MISMATCH,44,1,0.0,48.0,0.0,0.0,76.0
TEXT_MISMATCH,45,9,11.1,22.0,33.3,0.0,82.0
TEXT_MISMATCH,48,65,20.0,36.0,23.1,0.0,110.0
TEXT_MISMATCH,71,1,100.0,24.0,0.0,0.0,148.0
TEXT_MISMATCH,72,164,18.3,15.0,15.9,0.0,93.0
TEXT_MISMATCH,75,1,100.0,12.0,0.0,0.0,147.0
TEXT_MISMATCH,79,6,33.3,18.0,0.0,0.0,99.5
TEXT_MISMATCH,,19,5.3,12.0,52.6,0.0,89.0
