contract_id,renewal_contract_id,event,composite_score,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,text_similarity,cpv_match_score,temporal_score,declared_duration_months,observed_duration_months
BOAMP:15-30947,,0,,,,,0,False,False,,,,12.0,118.0
BOAMP:15-31464,BOAMP:17-176560,1,0.7266,0.7266,,,1,True,False,0.6922,,0.5902,36.0,33.54
BOAMP:15-31513,BOAMP:19-87143,1,0.4408,0.4408,,,1,True,False,0.2113,,0.4805,48.0,51.12
BOAMP:15-20937,BOAMP:19-17307,1,0.8469,0.8469,0.4056,0.44129999999999997,2,False,True,0.686,1.0,0.8625,48.0,47.17
BOAMP:15-32168,BOAMP:17-48788,1,0.5966,0.5966,0.5589,0.03770000000000007,18,False,False,0.5009,0.2,0.9812,24.0,24.11
BOAMP:15-31641,,0,,,,,0,False,False,,,,12.0,117.94
BOAMP:15-31797,,0,,,,,0,False,False,,,,12.0,117.94
BOAMP:15-33241,BOAMP:20-19986,1,0.669,0.669,0.4906,0.17840000000000006,3,False,False,0.5856,1.0,0.1739,48.0,52.96
BOAMP:15-33752,BOAMP:19-41115,1,0.4612,0.4612,0.4552,0.006000000000000005,8,False,False,0.3277,0.0,0.9008,48.0,47.4
BOAMP:15-34520,,0,,,,,0,False,False,,,,48.0,117.87
BOAMP:15-37182,,0,,,,,0,False,False,,,,48.0,117.71
BOAMP:15-42843,,0,,,,,0,False,False,,,,48.0,117.28
BOAMP:15-44999,BOAMP:19-126819,1,0.4299,0.4299,,,1,True,False,0.336,,0.1903,48.0,52.86
BOAMP:15-47591,,0,,,,,0,False,False,,,,36.0,117.18
BOAMP:15-47696,BOAMP:19-34512,1,0.5258,0.5258,0.4954,0.030400000000000038,2,False,False,0.5056,0.0,0.8679,48.0,47.21
BOAMP:15-31076,,0,,,,,0,False,False,,,,48.0,117.02
BOAMP:15-50314,BOAMP:19-34512,1,0.4751,0.4751,0.4389,0.03620000000000001,2,False,False,0.3871,0.0,0.8515,48.0,47.11
BOAMP:15-51571,,0,,,,,0,False,False,,,,48.0,116.82
BOAMP:15-52664,BOAMP:19-34512,1,0.4973,0.4973,0.4384,0.05890000000000001,2,False,False,0.4589,0.0,0.8187,48.0,46.91
BOAMP:15-53947,BOAMP:19-104228,1,0.3997,0.3997,,,1,True,False,0.3594,0.0,0.5298,48.0,50.82
