src_idweb,src_buyer_key,src_cpv,src_contract_start,src_duration_months,src_objet,cand_idweb,cand_contract_start,cand_cpv,cand_objet,gap_months,buyer_match_score,cpv_match_score,cpv_used_in_score,text_similarity_score,temporal_proximity_score,composite_score
15-31464,SIREN:285300018,,2015-03-02,36.0,fourniture de petits materiels d'incendie et de secours et pieces detachees pour le sdis 53,17-176560,2017-12-17,35111200.0,Equipements pour Camions Citerne Grande Capacité et pour Camions Citerne Incendie pour le Service Départemental d'Incendie et de Secours de la Mayenne.,33.54,1.0,,False,0.6922,0.5902,0.7266
16-183705,SIREN:285300018,35111200.0,2016-12-24,12.0,Equipements pour Fourgon Pompe Tonne (FPT) et pour Fourgon Pompe Tonne Secours Routier (FPTSR) pour les Service Départementaux d'Incendie et de Secours de la Mayenne et de l'Orne,17-176560,2017-12-17,35111200.0,Equipements pour Camions Citerne Grande Capacité et pour Camions Citerne Incendie pour le Service Départemental d'Incendie et de Secours de la Mayenne.,11.76,1.0,1.0,True,0.7269,0.9601,0.8828
15-31513,SIREN:214401432,38720000.0,2015-03-02,48.0,fourniture et pose d'horodateurs et de bornes d'arret minute sur le territoire de la ville de Rezé. Exploitation des horodateurs installés sur le territoire de la ville à partir du 1er janvier 2016,19-87143,2019-06-05,,"Ré-informatisation solution de gestion de médiathèque (SIGB, portail web usagers, interface ressources numériques, RFID, gestion d'espace public numérique GEPN)",51.12,1.0,,False,0.2113,0.4805,0.4408
16-17002,SIREN:214401432,48421000.0,2016-02-04,36.0,achat d'une solution informatisée de planification des activités et de contrôle d'accès des équipements sportifs pour le compte de la ville à Rezé,19-87143,2019-06-05,,"Ré-informatisation solution de gestion de médiathèque (SIGB, portail web usagers, interface ressources numériques, RFID, gestion d'espace public numérique GEPN)",39.98,1.0,,False,0.3769,0.3366,0.4908
16-21939,SIREN:214401432,39150000.0,2016-02-12,48.0,"Aménagement scénographique du centre d'interprétation et d'animation du patrimoine (CIAP), à Rezé",19-102776,2019-11-06,48822000.0,Solution de virtualisation 2019,44.78,1.0,0.0,True,0.2615,0.4628,0.3471
16-153677,SIREN:214401432,72315200.0,2016-10-20,36.0,Service d'interconnexion réseaux 2017-2019,19-87143,2019-06-05,,"Ré-informatisation solution de gestion de médiathèque (SIGB, portail web usagers, interface ressources numériques, RFID, gestion d'espace public numérique GEPN)",31.47,1.0,,False,0.2723,0.2453,0.4107
16-153677,SIREN:214401432,72315200.0,2016-10-20,36.0,Service d'interconnexion réseaux 2017-2019,19-102776,2019-11-06,48822000.0,Solution de virtualisation 2019,36.53,1.0,0.0,True,0.3863,0.9115,0.4868
19-102776,SIREN:214401432,48822000.0,2019-11-06,48.0,Solution de virtualisation 2019,24-36186,2024-03-28,98351110.0,Approvisionnement d'une application numérique de paiement du stationnement sur voirie par téléphone mobile et internet et gestion des données associées,52.69,1.0,0.0,True,0.2565,0.2177,0.2961
19-102776,SIREN:214401432,48822000.0,2019-11-06,48.0,Solution de virtualisation 2019,24-37419,2024-03-30,98351110.0,Approvisionnement d'une application numérique de paiement du stationnement sur voirie par téléphone mobile et internet et gestion des données associées,52.76,1.0,0.0,True,0.2565,0.2067,0.2939
19-102776,SIREN:214401432,48822000.0,2019-11-06,48.0,Solution de virtualisation 2019,24-40517,2024-04-07,35113400.0,"Fourniture de vêtements de travail, d'articles chaussants et d'équipements de protection individuelle (EPI) 2024-2028",53.02,1.0,0.0,True,0.3259,0.1629,0.3129
15-20937,SIREN:214401093,44512000.0,2015-03-03,48.0,"fourniture d'outillages, d'equipements techniques et de consommables divers à Nantes",19-17307,2019-02-06,44512000.0,"fournitures d'outillages, d'équipements techniques et de consommables divers",47.17,1.0,1.0,True,0.686,0.8625,0.8469
15-20937,SIREN:214401093,44512000.0,2015-03-03,48.0,"fourniture d'outillages, d'equipements techniques et de consommables divers à Nantes",18-60137,2019-04-29,72242000.0,"prestations de relevés et de modélisations de bâtiments de la ville de nantes, nantes métropole et du ccas, ainsi que le relevé et la modélisation des réseaux et ouvrages enterrés",49.87,1.0,0.0,True,0.2946,0.6886,0.4056
15-104125,SIREN:214401093,48900000.0,2015-07-08,48.0,"fourniture et mise en oeuvre d'une solution de verbalisation électronique et de contrôle des paiements du stationnement, maintenance et évolution de la solution à Nantes",18-60137,2019-04-29,72242000.0,"prestations de relevés et de modélisations de bâtiments de la ville de nantes, nantes métropole et du ccas, ainsi que le relevé et la modélisation des réseaux et ouvrages enterrés",45.7,1.0,0.0,True,0.2052,0.6161,0.3553
15-104125,SIREN:214401093,48900000.0,2015-07-08,48.0,"fourniture et mise en oeuvre d'une solution de verbalisation électronique et de contrôle des paiements du stationnement, maintenance et évolution de la solution à Nantes",19-110370,2019-07-19,48000000.0,"acquisition et installation d'un logiciel de gestion de l'accompagnement social, des aides et des prestations de solidarité pour la ville de nantes, son ccas, et nantes métropole.",48.36,1.0,0.2,True,0.2212,0.9404,0.4766
15-104125,SIREN:214401093,48900000.0,2015-07-08,48.0,"fourniture et mise en oeuvre d'une solution de verbalisation électronique et de contrôle des paiements du stationnement, maintenance et évolution de la solution à Nantes",19-109269,2019-08-02,35300000.0,"fourniture de pistolets à impulsion électrique, munitions et accessoires pour la police municipale de la ville de nantes",48.82,1.0,0.0,True,0.287,0.8638,0.4376
15-146024,SIREN:214401093,32342410.0,2015-12-17,48.0,"acquisition de matériels d'amplification et de diffusion sonore pour la salle paul fort, 9 rue basse porte à Nantes",19-109269,2019-08-02,35300000.0,"fourniture de pistolets à impulsion électrique, munitions et accessoires pour la police municipale de la ville de nantes",43.5,1.0,0.0,True,0.3288,0.2492,0.3314
15-146024,SIREN:214401093,32342410.0,2015-12-17,48.0,"acquisition de matériels d'amplification et de diffusion sonore pour la salle paul fort, 9 rue basse porte à Nantes",20-29244,2020-02-27,35300000.0,"fourniture et livraison de pistolets à impulsion électrique, munitions, et accessoires pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropol",50.36,1.0,0.0,True,0.3043,0.6064,0.393
15-146024,SIREN:214401093,32342410.0,2015-12-17,48.0,"acquisition de matériels d'amplification et de diffusion sonore pour la salle paul fort, 9 rue basse porte à Nantes",20-28749,2020-03-11,32323500.0,Fourniture de caméras piétons avec accessoires pour les agents de la Police Municipale et les agents de la Police Métropolitaine des Transports en Commun.,50.79,1.0,0.4,True,0.36,0.5353,0.5011
16-74267,SIREN:214401093,72700000.0,2016-05-28,48.0,Mission de maîtrise d'oeuvre avec OPC réhabilitation des équipements informatiques et téléphoniques,20-29244,2020-02-27,35300000.0,"fourniture et livraison de pistolets à impulsion électrique, munitions, et accessoires pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropol",45.01,1.0,0.0,True,0.2619,0.5011,0.355
16-74267,SIREN:214401093,72700000.0,2016-05-28,48.0,Mission de maîtrise d'oeuvre avec OPC réhabilitation des équipements informatiques et téléphoniques,20-29934,2020-02-28,35811200.0,"fourniture de vêtements et chaussures pour les agents de la police municipale, de la police métropolitaine des transports en commun et du service stationnement sur voirie",45.04,1.0,0.0,True,0.2633,0.5066,0.3566
16-74267,SIREN:214401093,72700000.0,2016-05-28,48.0,Mission de maîtrise d'oeuvre avec OPC réhabilitation des équipements informatiques et téléphoniques,20-28749,2020-03-11,32323500.0,Fourniture de caméras piétons avec accessoires pour les agents de la Police Municipale et les agents de la Police Métropolitaine des Transports en Commun.,45.43,1.0,0.0,True,0.358,0.5723,0.4077
16-74267,SIREN:214401093,72700000.0,2016-05-28,48.0,Mission de maîtrise d'oeuvre avec OPC réhabilitation des équipements informatiques et téléphoniques,20-38676,2020-03-15,48000000.0,acquisition et installation d'un logiciel de gestion de l'accompagnement social,45.57,1.0,0.0,True,0.3441,0.5942,0.4065
16-74267,SIREN:214401093,72700000.0,2016-05-28,48.0,Mission de maîtrise d'oeuvre avec OPC réhabilitation des équipements informatiques et téléphoniques,20-93913,2020-07-25,35300000.0,fourniture d'accessoires pour pistolets à impulsion électrique pour la police municipale (ville de nantes) et la police métropolitaine des transports en commun (nantes métropole) (lot 2),49.9,1.0,0.0,True,0.2889,0.6831,0.4022
16-74267,SIREN:214401093,72700000.0,2016-05-28,48.0,Mission de maîtrise d'oeuvre avec OPC réhabilitation des équipements informatiques et téléphoniques,20-115620,2020-09-22,72600000.0,assistance à maîtrise d'ouvrage pour l'accompagnement des archives de nantes dans la définition et la fiabilisation du besoin pour la mise en place d'un système d'archivage électronique,51.84,1.0,0.2,True,0.4262,0.3601,0.4425
18-62604,SIREN:214401093,72212160.0,2018-07-23,48.0,bibliothèque municipale - enrichissement de la base de données livrjeun,22-54094,2022-07-28,72320000.0,enrichissement de la base de données livrjeun,48.16,1.0,0.2,True,0.706,0.9733,0.6771
18-60137,SIREN:214401093,72242000.0,2019-04-29,48.0,"prestations de relevés et de modélisations de bâtiments de la ville de nantes, nantes métropole et du ccas, ainsi que le relevé et la modélisation des réseaux et ouvrages enterrés",23-48831,2023-04-12,32322000.0,"acquisition, installation et mise en service d'un ensemble d'équipements scénique et de vidéoprojection pour la salle de spectacle du centre socioculturel de bellevue",47.44,1.0,0.0,True,0.2451,0.9063,0.4293
18-60137,SIREN:214401093,72242000.0,2019-04-29,48.0,"prestations de relevés et de modélisations de bâtiments de la ville de nantes, nantes métropole et du ccas, ainsi que le relevé et la modélisation des réseaux et ouvrages enterrés",23-31575,2023-09-11,72312000.0,rétro-conversion de fiches papier de livres imprimés du service patrimoine,52.43,1.0,0.2,True,0.2755,0.2615,0.3625
19-17307,SIREN:214401093,44512000.0,2019-02-06,48.0,"fournitures d'outillages, d'équipements techniques et de consommables divers",23-48831,2023-04-12,32322000.0,"acquisition, installation et mise en service d'un ensemble d'équipements scénique et de vidéoprojection pour la salle de spectacle du centre socioculturel de bellevue",50.13,1.0,0.0,True,0.2514,0.6448,0.3795
