contract_id,buyer_key,cpv_div2,category_label,contract_start,declared_duration_months,dur_was_imputed,estimated_end_date,event,renewal_contract_id,observed_duration_months,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,start_date_source,link_method,type_procedure,type_marche,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict
BOAMP:15-30947,NAME:smictom de la vallee de l authion,48.0,Software & Applications,2015-03-02,12.0,False,2016-03-01,0,,118.0,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,150000.0,,,,0,False,False
BOAMP:15-31464,SIREN:285300018,,Unknown,2015-03-02,36.0,False,2018-03-01,1,BOAMP:17-176560,33.54,0.7266,0.6922,,False,0.5902,publication_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.7266,,,1,True,False
BOAMP:15-31513,SIREN:214401432,38.0,Unknown,2015-03-02,48.0,False,2019-03-02,1,BOAMP:19-87143,51.12,0.4408,0.2113,,False,0.4805,publication_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.4408,,,1,True,False
BOAMP:15-20937,SIREN:214401093,44.0,Unknown,2015-03-03,48.0,False,2019-03-03,1,BOAMP:19-17307,47.17,0.8469,0.686,1.0,True,0.8625,publication_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.8469,0.4056,0.44129999999999997,2,False,True
BOAMP:15-32168,SIREN:234400034,72.0,IT Services & Consulting,2015-07-21,24.0,False,2017-07-20,1,BOAMP:17-48788,24.11,0.5966,0.5009,0.2,True,0.9812,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.5966,0.5589,0.03770000000000007,18,False,False
BOAMP:15-31641,SIREN:784301525,,Data & AI,2015-03-04,12.0,False,2016-03-03,0,,117.94,,,,,,publication_date,none,OUVERT,FOURNITURES,0,0,0,800000.0,,,,0,False,False
BOAMP:15-31797,NAME:acoss,72.0,IT Services & Consulting,2015-03-04,12.0,False,2016-03-03,0,,117.94,,,,,,publication_date,none,OUVERT,SERVICES,0,0,0,,,,,0,False,False
BOAMP:15-33241,SIREN:264400136,32.0,Telecom & Networks,2015-09-11,48.0,True,2019-09-11,1,BOAMP:20-19986,52.96,0.669,0.5856,1.0,True,0.1739,attribution_award_date,sentence_transformers,OUVERT,FOURNITURES,0,0,0,,0.669,0.4906,0.17840000000000006,3,False,False
BOAMP:15-33752,SIREN:234400034,72.0,Cybersecurity,2015-06-29,48.0,True,2019-06-29,1,BOAMP:19-41115,47.4,0.4612,0.3277,0.0,True,0.9008,attribution_award_date,sentence_transformers,OUVERT,SERVICES,0,0,0,,0.4612,0.4552,0.006000000000000005,8,False,False
BOAMP:15-34520,NAME:d angers,32.0,Telecom & Networks,2015-03-06,48.0,True,2019-03-06,0,,117.87,,,,,,publication_date,none,PROCEDURE_ADAPTE,FOURNITURES,0,0,0,,,,,0,False,False
