contract_id,source,buyer_key_original,buyer_key_enriched,enrichment_confidence,cpv_div2,category_id,category_label,start_date,declared_duration_months,event,observed_duration_months,amount_clean,link_method,renewal_contract_id,text_similarity
BOAMP:15-30947,BOAMP,NAME:smictom de la vallee de l authion,NAME:smictom de la vallee de l authion,NO_MATCH,48.0,CAT01,Software & Applications,2015-03-02,12.0,0,118.0,150000.0,none,,
BOAMP:15-31464,BOAMP,NAME:de la mayenne,SIREN:285300018,HIGH,,CAT_UNKNOWN,Unknown,2015-03-02,36.0,0,118.0,,none,,
BOAMP:15-136371,BOAMP,NAME:de la mayenne,SIREN:285300018,HIGH,,CAT08,Data & AI,2015-09-07,48.0,0,111.79,,none,,
BOAMP:15-31513,BOAMP,NAME:reze,SIREN:214401432,HIGH,38.0,CAT_UNKNOWN,Unknown,2015-03-02,48.0,0,118.0,,none,,
BOAMP:15-82236,BOAMP,NAME:reze,SIREN:214401432,HIGH,38.0,CAT_UNKNOWN,Unknown,2015-06-01,48.0,0,115.01,1090000.0,none,,
BOAMP:15-20937,BOAMP,NAME:nantes,SIREN:214401093,HIGH,44.0,CAT_UNKNOWN,Unknown,2015-03-03,48.0,1,47.17,,boamp_jaccard,BOAMP:19-17307,0.444
BOAMP:19-17307,BOAMP,NAME:nantes,SIREN:214401093,HIGH,44.0,CAT_UNKNOWN,Unknown,2019-02-06,48.0,0,70.8,,none,,
BOAMP:15-56649,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2015-04-14,12.0,1,5.81,,boamp_jaccard,BOAMP:15-92588,0.357
BOAMP:15-72457,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT02,IT Services & Consulting,2015-05-12,12.0,0,115.67,,none,,
BOAMP:15-33752,BOAMP,NAME:des pays de la loire,SIREN:234400034,HIGH,72.0,CAT03,Cybersecurity,2015-06-29,48.0,0,114.09,,none,,
