buyer_name_raw,enriched_name,enriched_siren,enrichment_score,enrichment_confidence,n_notices,dept_code,diagnostic,n_candidates,margin
Ville du Mans,,,63.6,LOW,45,72,score=63.6 (below MEDIUM threshold),10,4.3
CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTI,,,63.8,LOW,18,44,score=63.8 (below MEDIUM threshold),1,
Le Mans Métropole,,,67.6,LOW,17,72,score=67.6 (below MEDIUM threshold),10,-16.1
Nantes Métropole Habitat,,,59.6,LOW,5,44,score=59.6 (below MEDIUM threshold),5,45.8
CMAR Pays de La Loire,,,55.6,LOW,5,44,score=55.6 (below MEDIUM threshold),2,21.5
Ville d'Alençon,,,68.5,LOW,5,61,score=68.5 (below MEDIUM threshold),10,6.2
GIP Vendée Numérique,,,68.6,LOW,4,85,score=68.6 (below MEDIUM threshold),1,
CCI de Maine et Loire,,,60.6,LOW,3,49,score=60.6 (below MEDIUM threshold),7,15.3
ESAT Foyers,,,55.4,LOW,3,44,score=55.4 (below MEDIUM threshold),7,-9.5
EPF de la Vendée,,,55.6,LOW,3,85,score=55.6 (below MEDIUM threshold),1,
Ville d'Evron,,,64.4,LOW,2,53,score=64.4 (below MEDIUM threshold),7,5.6
Agrocampus Ouest,,,61.3,LOW,2,35,score=61.3 (below MEDIUM threshold),10,3.3
Ville d'Ancenis-Saint-Géréon,,,57.3,LOW,2,44,score=57.3 (below MEDIUM threshold),2,15.2
ARS Pays de La Loire,,,62.9,LOW,2,44,score=62.9 (below MEDIUM threshold),2,32.9
GIE Loire Océan,,,63.0,LOW,2,44,score=63.0 (below MEDIUM threshold),10,-18.3
Afac-Agroforesteries,,,55.6,LOW,2,34,score=55.6 (below MEDIUM threshold),2,-20.2
Ville des Sables d’Olonne,,,64.7,LOW,2,85,score=64.7 (below MEDIUM threshold),10,-2.5
Chambre de Commerce et d'Industrie Région Pays de la Loire,,,59.7,LOW,2,44,score=59.7 (below MEDIUM threshold),1,
RESIDENCES SAINT ALEXANDRE,,,59.8,LOW,1,85,score=59.8 (below MEDIUM threshold),1,
VALLET,,,68.0,LOW,1,44,score=68.0 (below MEDIUM threshold),10,12.0
E.C.A.S. gendarmerie nationale,,,66.6,LOW,1,36,score=66.6 (below MEDIUM threshold),1,
Office Public de l'Habitat,,,63.3,LOW,1,49,score=63.3 (below MEDIUM threshold),1,
Ville d'Avrillé,,,56.1,LOW,1,49,score=56.1 (below MEDIUM threshold),10,-5.0
ville des Sables d'Olonne,,,64.7,LOW,1,85,score=64.7 (below MEDIUM threshold),10,-2.5
Espacil Habitat,,,62.5,LOW,1,35,score=62.5 (below MEDIUM threshold),3,9.7
CRDC LE LIEU UNIQUE,,,61.3,LOW,1,44,score=61.3 (below MEDIUM threshold),1,
