buyer_name_raw,buyer_name_clean,buyer_key,dept_code,query_used,entity_type_detected,nature_juridique_filter,candidate_rank,candidate_siren,candidate_siret,candidate_name,candidate_naf,candidate_nature_juridique,candidate_city,candidate_postal_code,name_similarity,dept_match,enrichment_score
SMICTOM de la Vallée de l'Authion,smictom de la vallee de l authion,NAME:smictom de la vallee de l authion,49,smictom vallee authion,EPCI,7340,,,,,,,,,0.0,False,0.0
Sdis de la Mayenne,de la mayenne,NAME:de la mayenne,53,incendie secours,SDIS,7372,1.0,285300018,28530001800030,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),84.25Z,7372,SAINT-BERTHEVIN,53940,100.0,True,100.0
Sdis de la Mayenne,de la mayenne,NAME:de la mayenne,53,incendie secours,SDIS,7372,2.0,509538823,50953882300014,AMICALE DU PERSONNEL DU SERVICE DEPARTEMENTAL D INCENDIE ET DE SECOURS DE LA MAYENNE,94.99Z,9220,LAVAL,53000,70.8,True,70.8
Ville de Rezé,reze,NAME:reze,44,commune reze,COMMUNE,7210,1.0,214401432,21440143200015,COMMUNE DE REZE,84.11Z,7210,REZE,44400,100.0,True,100.0
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,1.0,214401093,21440109300015,COMMUNE DE NANTES,84.11Z,7210,NANTES,44000,100.0,True,100.0
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,2.0,214402067,21440206700018,COMMUNE DE TOUVOIS,84.11Z,7210,TOUVOIS,44650,73.0,True,73.0
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,3.0,214401713,21440171300018,COMMUNE DE SAINT-LEGER-LES-VIGNES,84.11Z,7210,SAINT-LEGER-LES-VIGNES,44710,69.0,True,69.0
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,4.0,214401572,21440157200018,COMMUNE DE SAINT-ETIENNE-DE-MER-MORTE,84.11Z,7210,SAINT-ETIENNE-DE-MER-MORTE,44270,61.8,True,61.8
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,5.0,214401853,21440185300012,COMMUNE DE SAINT-NICOLAS-DE-REDON,84.11Z,7210,SAINT-NICOLAS-DE-REDON,44460,62.5,True,62.5
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,6.0,200058121,20005812100019,COMMUNE DE CHAUMES-EN-RETZ,84.11Z,7210,CHAUMES-EN-RETZ,44320,56.9,True,56.9
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,7.0,214401275,21440127500018,COMMUNE DE LA PLANCHE,84.11Z,7210,LA PLANCHE,44140,79.9,True,79.9
Ville de Nantes,nantes,NAME:nantes,44,commune nantes,COMMUNE,7210,8.0,214400749,21440074900013,COMMUNE D'INDRE,84.11Z,7210,INDRE,44610,78.1,True,78.1
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,1.0,287200265,28720026500018,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),84.25Z,7372,COULAINES,72190,100.0,True,100.0
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,2.0,106177264,10617726400012,AMICALE DU PERSONNEL DU SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS DE LA SARTHE,94.99Z,9220,COULAINES,72190,73.4,True,73.4
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,3.0,180014045,18001404502245,CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE (CNFPT),85.59A,7389,PARIS,75012,35.2,False,35.2
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,4.0,749905972,74990597200016,AMICALE SAPEURS POMPIERS SILLE-LE-GUILLAUME,94.99Z,9220,SILLE-LE-GUILLAUME,72140,40.5,True,40.5
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,5.0,514758044,51475804400010,AMICALE DES SAPEURS-POMPIERS,94.99Z,9220,LA FLECHE,72200,44.4,True,44.4
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,6.0,992130310,99213031000012,AMICALE DES SAPEURS POMPIERS DE SAINT MAIXENT,93.12Z,9220,SAINT-MAIXENT,72320,51.9,True,51.9
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,7.0,520499872,52049987200015,AMICALE DES SAPEURS POMPIERS DE LUCHE ST JEAN,94.99Z,9220,LUCHE-PRINGE,72800,49.4,True,49.4
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,8.0,790808281,79080828100022,AMICALE DES SAPEURS-POMPIERS DE BONNETABLE,94.99Z,9220,BONNETABLE,72110,48.6,True,48.6
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,incendie secours,SDIS,7372,9.0,786291203,78629120300028,AMICALE DES SAPEURS-POMPIERS DE CHANTENAY-VILLEDIEU,84.25Z,9220,CHANTENAY-VILLEDIEU,72430,43.4,True,43.4
Conseil régional des Pays de la Loire,des pays de la loire,NAME:des pays de la loire,44,region conseil regional des pays de la loire,REGION,7230,1.0,234400034,23440003400026,REGION DES PAYS DE LA LOIRE,84.11Z,7230,NANTES,44200,81.3,True,81.3
IRCANTEC,ircantec,NAME:ircantec,49,ircantec,DEFAULT,,1.0,784301525,78430152500050,IRCANTEC,84.30B,8130,PARIS,75013,100.0,False,100.0
ACOSS,acoss,NAME:acoss,75,acoss,DEFAULT,,1.0,180035016,18003501600054,AGENCE CENTRALE DES ORGANISMES DE SECURITE SOCIALE (ACOSS),84.30A,7389,MONTREUIL,93100,26.5,False,26.5
ACOSS,acoss,NAME:acoss,75,acoss,DEFAULT,,2.0,492748504,49274850400015,USAC ACOSS,93.12Z,9220,PARIS,75011,74.7,True,74.7
ACOSS,acoss,NAME:acoss,75,acoss,DEFAULT,,3.0,662025196,66202519676665,ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),56.29B,5710,CRETEIL,94000,11.5,False,11.5
CHU de Nantes,de nantes,NAME:de nantes,44,chu nantes,CHU,7364,1.0,264400136,26440013600471,CHU NANTES (CHU),86.10Z,7364,NANTES,44000,91.3,True,91.3
Ville de Bouguenais,bouguenais,NAME:bouguenais,44,commune bouguenais,COMMUNE,7210,1.0,214400202,21440020200013,COMMUNE DE BOUGUENAIS,84.11Z,7210,BOUGUENAIS,44340,100.0,True,100.0
CHU d'Angers,d angers,NAME:d angers,49,chu chu d angers,CHU,7364,1.0,264900036,26490003600015,CENTRE HOSPITALIER UNIVERSITAIRE D'ANGERS,86.10Z,7364,ANGERS,49100,44.8,True,44.8
MINDEF/DGA/DT/SCAT,mindef dga dt scat,NAME:mindef dga dt scat,18,mindef dga dt scat,DEFAULT,,,,,,,,,,0.0,False,0.0
CNIEG,cnieg,NAME:cnieg,44,cnieg,DEFAULT,,1.0,478650385,47865038500014,CAISSE NAT INDUSTRIES ELECT GAZIERES (CNIEG),65.30Z,8120,NANTES,44200,29.3,True,29.3
