buyer_name_raw,buyer_name_clean,buyer_key,buyer_key_enriched,enriched_siren,enriched_siret,enriched_name,enrichment_score,enrichment_confidence,enrichment_source,enrichment_status,diagnostic,n_candidates,margin
SMICTOM de la Vallée de l'Authion,smictom de la vallee de l authion,NAME:smictom de la vallee de l authion,NAME:smictom de la vallee de l authion,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Sdis de la Mayenne,de la mayenne,NAME:de la mayenne,SIREN:285300018,285300018,28530001800030,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=29.2",2,29.2
Ville de Rezé,reze,NAME:reze,SIREN:214401432,214401432,21440143200015,COMMUNE DE REZE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
Ville de Nantes,nantes,NAME:nantes,SIREN:214401093,214401093,21440109300015,COMMUNE DE NANTES,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=8, margin=27.0",8,27.0
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,SIREN:287200265,287200265,28720026500018,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=9, margin=26.6",9,26.6
Conseil régional des Pays de la Loire,des pays de la loire,NAME:des pays de la loire,SIREN:234400034,234400034,23440003400026,REGION DES PAYS DE LA LOIRE,81.3,HIGH,api_recherche_entreprises,matched,"score=81.3, n_cands=1, margin=N/A",1,
IRCANTEC,ircantec,NAME:ircantec,SIREN:784301525,784301525,78430152500050,IRCANTEC,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
ACOSS,acoss,NAME:acoss,NAME:acoss,,,,26.5,NO_MATCH,api_recherche_entreprises,no_match,score=26.5 (below LOW threshold),3,-48.2
CHU de Nantes,de nantes,NAME:de nantes,SIREN:264400136,264400136,26440013600471,CHU NANTES (CHU),91.3,HIGH,api_recherche_entreprises,matched,"score=91.3, n_cands=1, margin=N/A",1,
Ville de Bouguenais,bouguenais,NAME:bouguenais,SIREN:214400202,214400202,21440020200013,COMMUNE DE BOUGUENAIS,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
CHU d'Angers,d angers,NAME:d angers,NAME:d angers,,,,44.8,NO_MATCH,api_recherche_entreprises,no_match,score=44.8 (below LOW threshold),1,
MINDEF/DGA/DT/SCAT,mindef dga dt scat,NAME:mindef dga dt scat,NAME:mindef dga dt scat,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
CNIEG,cnieg,NAME:cnieg,NAME:cnieg,,,,29.3,NO_MATCH,api_recherche_entreprises,no_match,score=29.3 (below LOW threshold),1,
Le Mans Métropole - Communauté Urbaine,le mans metropole communaute urbaine,NAME:le mans metropole communaute urbaine,SIREN:247200132,247200132,24720013200014,LE MANS METROPOLE COMMUNAUTE URBAINE,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=4, margin=60.5",4,60.5
Cté de Cnes de l'Ile de Noirmoutier,cte de cnes de l ile de noirmoutier,NAME:cte de cnes de l ile de noirmoutier,NAME:cte de cnes de l ile de noirmoutier,,,,,NO_MATCH,api_recherche_entreprises,no_match,no API candidates returned,0,
Conseil général de la Vendée,conseil general de la vendee,NAME:conseil general de la vendee,NAME:conseil general de la vendee,,,,52.7,NO_MATCH,api_recherche_entreprises,no_match,score=52.7 (below LOW threshold),1,
Ville du Mans,ville du mans,NAME:ville du mans,NAME:ville du mans,,,,63.6,LOW,api_recherche_entreprises,matched,score=63.6 (below MEDIUM threshold),10,4.3
Ville d'Angers,ville d angers,NAME:ville d angers,SIREN:532458809,532458809,53245880900029,VIGNE EN VILLE ANGERS,88.0,HIGH,api_recherche_entreprises,matched,"score=88.0, n_cands=10, margin=24.2",10,24.2
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,SIREN:110006012,110006012,11000601200014,MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES,97.2,HIGH,api_recherche_entreprises,matched,"score=97.2, n_cands=10, margin=20.2",10,20.2
SDIS du Maine et Loire,du maine et loire,NAME:du maine et loire,SIREN:284900016,284900016,28490001600023,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=3, margin=38.0",3,38.0
Ville de La Roche-sur-Yon,la roche sur yon,NAME:la roche sur yon,SIREN:218501914,218501914,21850191400566,COMMUNE DE LA ROCHE-SUR-YON,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=1, margin=N/A",1,
RESIDENCES SAINT ALEXANDRE,residences saint alexandre,NAME:residences saint alexandre,NAME:residences saint alexandre,,,,59.8,LOW,api_recherche_entreprises,matched,score=59.8 (below MEDIUM threshold),1,
Commune de Saint-Herblain,saint herblain,NAME:saint herblain,SIREN:214401622,214401622,21440162200011,COMMUNE DE SAINT-HERBLAIN,100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=2, margin=40.2",2,40.2
SDIS 85,85,NAME:85,SIREN:288500010,288500010,28850001000013,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),100.0,HIGH,api_recherche_entreprises,matched,"score=100.0, n_cands=3, margin=52.5",3,52.5
