buyer_name_raw,buyer_name_clean,buyer_key,dept_code,city,postal_code,n_notices,n_appel_offre,has_existing_boamp_siret,existing_siret_values
SMICTOM de la Vallée de l'Authion,smictom de la vallee de l authion,NAME:smictom de la vallee de l authion,49,Beaufort en Anjou,49250,2,2,False,
Sdis de la Mayenne,de la mayenne,NAME:de la mayenne,53,Laval cedex,53005,8,5,False,
Ville de Rezé,reze,NAME:reze,44,Rezé Cedex,44403,8,8,True,21440143200015
Ville de Nantes,nantes,NAME:nantes,44,Nantes,44094,22,15,True,17440005100010|21440109300015
SDIS de la Sarthe,de la sarthe,NAME:de la sarthe,72,COULAINES,72190,15,8,True,443928874
Conseil régional des Pays de la Loire,des pays de la loire,NAME:des pays de la loire,44,Nantes cedex 9,44966,202,109,False,
IRCANTEC,ircantec,NAME:ircantec,49,Angers,49939,1,1,False,
ACOSS,acoss,NAME:acoss,75,MONTREUIL,93100,3,3,True,13000686900015|18003501600054
CHU de Nantes,de nantes,NAME:de nantes,44,Nantes cedex,44093,117,61,True,174400051
Ville de Bouguenais,bouguenais,NAME:bouguenais,44,BOUGUENAIS CEDEX,44341,16,6,False,
CHU d'Angers,d angers,NAME:d angers,49,Angers cédex 9,49933,3,2,False,
MINDEF/DGA/DT/SCAT,mindef dga dt scat,NAME:mindef dga dt scat,18,Bourges cedex,18021,1,1,False,
CNIEG,cnieg,NAME:cnieg,44,NANTES,44200,32,18,True,47865038500014
Le Mans Métropole - Communauté Urbaine,le mans metropole communaute urbaine,NAME:le mans metropole communaute urbaine,72,Le Mans,72039,71,35,False,
Cté de Cnes de l'Ile de Noirmoutier,cte de cnes de l ile de noirmoutier,NAME:cte de cnes de l ile de noirmoutier,85,Noirmoutier-en-l'ile,85330,4,2,False,
Conseil général de la Vendée,conseil general de la vendee,NAME:conseil general de la vendee,85,La Roche sur Yon,85923,25,14,False,
Ville du Mans,ville du mans,NAME:ville du mans,72,LE MANS,72039,45,23,True,443928874
Ville d'Angers,ville d angers,NAME:ville d angers,49,Angers Cedex 02,49020,22,16,False,
Ministère des Affaires étrangères,ministere des affaires etrangeres,NAME:ministere des affaires etrangeres,75,Paris,75015,21,13,False,
SDIS du Maine et Loire,du maine et loire,NAME:du maine et loire,49,Beaucouzé,49071,1,0,False,
Ville de La Roche-sur-Yon,la roche sur yon,NAME:la roche sur yon,85,La Roche-sur-Yon,85000,3,2,False,
RESIDENCES SAINT ALEXANDRE,residences saint alexandre,NAME:residences saint alexandre,85,Mortagne sur sevre,85290,1,1,False,
Commune de Saint-Herblain,saint herblain,NAME:saint herblain,44,Saint herblain cedex,44802,23,15,False,
SDIS 85,85,NAME:85,85,LA ROCHE SUR YON Cedex,85017,22,13,True,28850001000013
Centre Hospitalier de Cholet,de cholet,NAME:de cholet,49,Cholet Cedex,49325,6,5,False,
Conseil Général de la Sarthe,conseil general de la sarthe,NAME:conseil general de la sarthe,72,Le Mans,72072,3,3,False,
Ville du Croisic,ville du croisic,NAME:ville du croisic,44,le croisic,44490,1,1,False,
Nantes Métropole,nantes metropole,NAME:nantes metropole,44,Nantes cedex 9,44923,200,134,True,24440040400129
