buyer_name_raw,buyer_key,n_notices,n_appel_offre,dept_code,query_used,diagnostic
CH LE MANS,NAME:le mans,53,31,72,ch mans,score=37.3 (below LOW threshold)
SEMITAN,NAME:semitan,38,23,44,semitan,score=25.1 (below LOW threshold)
CNIEG,NAME:cnieg,32,18,44,cnieg,score=29.3 (below LOW threshold)
GPM de Nantes - St Nazaire,NAME:gpm de nantes st nazaire,29,22,44,gpm nantes st nazaire,no API candidates returned
CTRE HOSP UNIVERSITAIRE ANGERS,NAME:ctre hosp universitaire angers,29,20,49,ctre hosp universitaire angers,no API candidates returned
Conseil général de la Vendée,NAME:conseil general de la vendee,25,14,85,departement la vendee,score=52.7 (below LOW threshold)
COM D AGGLO REG NAZAIRIENNE ESTUAIRE,NAME:com d agglo reg nazairienne estuaire,24,12,44,com agglo reg nazairienne estuaire,no API candidates returned
CHD VENDEE,NAME:chd vendee,21,8,85,chd vendee,score=25.0 (below LOW threshold)
SDIS49,NAME:sdis49,19,9,49,sdis49,no API candidates returned
GIP RESAH,NAME:gip resah,15,0,44,gip resah,no API candidates returned
CD 44,NAME:cd 44,14,6,44,cd 44,score=53.5 (below LOW threshold)
SEMITAN mandataire de Nantes Métropole,NAME:semitan mandataire de nantes metropole,14,7,44,semitan mandataire nantes metropole,no API candidates returned
ARAFER,NAME:arafer,13,9,72,arafer,score=23.8 (below LOW threshold)
ADEME,NAME:ademe,13,8,49,ademe,score=28.8 (below LOW threshold)
CDC du Pays de Saint Gilles Cx de Vie,NAME:cdc du pays de saint gilles cx de vie,13,7,85,cdc pays saint gilles cx vie,no API candidates returned
CARENE,NAME:carene,12,8,44,carene,score=29.1 (below LOW threshold)
AGCE POUR L ENST FR A L ETRANGER,NAME:agce pour l enst fr a l etranger,12,8,75,agce enst fr etranger,no API candidates returned
CCIR Pays de la Loire,NAME:ccir pays de la loire,12,8,44,ccir pays loire,score=54.9 (below LOW threshold)
Communauté d'agglomération du Niortais,NAME:communaute d agglomeration du niortais,11,9,79,communaute agglomeration niortais,score=36.9 (below LOW threshold)
DIR Ouest,NAME:dir ouest,11,6,35,dir ouest,score=40.7 (below LOW threshold)
GIE des EPL de Vendée,NAME:gie des epl de vendee,10,7,85,epl vendee,no API candidates returned
CROUS de Nantes,NAME:crous de nantes,9,5,44,crous nantes,score=50.5 (below LOW threshold)
DIRISI,NAME:dirisi,9,4,29,dirisi,score=14.6 (below LOW threshold)
Centre Hospitalier de Laval (53),NAME:de laval 53,9,5,53,centre hospitalier laval 53,score=32.3 (below LOW threshold)
Ville d'Orvault,NAME:ville d orvault,8,7,44,ville orvault,score=24.4 (below LOW threshold)
SYND DEP D ENERGIE ET D EQPT DE VENDEE,NAME:synd dep d energie et d eqpt de vendee,8,5,85,synd dep energie eqpt vendee,no API candidates returned
SOC PUBLIQUE REG ABE DE FONTEVRAUD,NAME:soc publique reg abe de fontevraud,8,4,49,soc publique reg abe fontevraud,no API candidates returned
ONIRIS,NAME:oniris,8,5,44,oniris,score=21.8 (below LOW threshold)
GEVES,NAME:geves,8,3,49,geves,score=28.8 (below LOW threshold)
e-Collectivités Vendée,NAME:e collectivites vendee,8,6,85,e collectivites vendee,no API candidates returned
