idweb,objet,descripteur_libelle,cpv_clean,cpv_div2,category_id_rule,category_label_rule,category_id_final,notes
20-130029,Matériels de réseau informatique,Informatique (matériel),48821000.0,48.0,CAT01,Software & Applications,,
19-101998,Refonte de l'infrastructure du système d'information de la ville de Couëron,Informatique (matériel)|Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),30200000.0,30.0,CAT06,IT Hardware & Equipment,,
16-103833,"maintenance de serveurs de technologie intel "" x86 "", de baies de stockage et de leurs périphériques associés pour le compte de nantes métropole",Informatique (prestations de services)|Informatique (maintenance serveurs et réseaux),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
20-91196,"accord cadre à bons de commande pour l'acquisition et la maintenance d'une nouvelle infrastructure it, et la refonte de l'environnement citrix",Informatique (maintenance serveurs et réseaux),72000000.0,72.0,CAT02,IT Services & Consulting,,
20-865,"Fourniture, mise en oeuvre et maintenance d'un système de vidéo protection sur les zones et parcs d'activités ainsi que sur certains bâtiments de la Communauté de Communes de Grand Lieu (44)",Surveillance,35120000.0,35.0,CAT03,Cybersecurity,,
16-153188,16s0058 - renovation des foyers logements pour le ccas de la ville de saint-nazaire (relance) lots 1-2-4-5-8-9-12-13-14-15-16,Chauffage (travaux)|Démolition|Electricité (travaux)|Espaces verts|Etanchéité|Gros oeuvre|Menuiserie|Mobilier|Mobilier urbain|Peinture (travaux)|Plomberie (travaux)|Ravalement|Revêtements de sols|Revêtements muraux|Terrassement|Ventilation,45223220.0,45.0,CAT04,Telecom & Networks,,
19-39464,Services de téléphonie mobile et prestations associées,Télécommunications,64212000.0,64.0,CAT03,Cybersecurity,,
23-169318,"Achat d'équipements de protection individuelle (Epi) et de vêtements de travail pour les agents du Département, et du Service Départemental de Sécurité et d'Incendie",Chaussures ou articles chaussants|Equipements spécialisés|Habillement|Matériel de sécurité|Textile,18100000.0,18.0,CAT_UNKNOWN,Unknown,,
21-19187,aménagement du carrefour de l'ebeaupin à carquefou et thouaré-sur-loire,Assainissement|Espaces verts|Réseaux divers|Voirie,45112700.0,45.0,CAT_UNKNOWN,Unknown,,
18-173397,travaux d'aménagement des casiers bioréacteurs a8 et a9 et de réhabilitation du casier bioréacteur a7 sur l'installation de stockage de déchets non dangereux (isdnd) de sainte-flaive-des-loups,Drainage|Etanchéité|Réseaux divers|Terrassement,,,CAT08,Data & AI,,
19-1347,18s0066 - fournitures de services de solutions d'impression bureautiques - groupement de commande,Informatique (matériel),30120000.0,30.0,CAT06,IT Hardware & Equipment,,
17-159035,Travaux de rénovation et de modernisation du Centre des Congrès d'Angers,Bâtiment,50700000.0,50.0,CAT_UNKNOWN,Unknown,,
20-52846,Fourniture de petits matériels d'incendie et de secours et pièces détachées pour le Service Départemental d'Incendie et de Secours de la MAYENNE.,Groupe électrogène|Matériel de secours et d'incendie|Outillage|Signalisation,35110000.0,35.0,CAT03,Cybersecurity,,
22-82536,Location maintenance de terminaux de paiement électroniques (TPE) pour le compte du Crous de Nantes Pays de la Loire,Location (matériels),72500000.0,72.0,CAT02,IT Services & Consulting,,
16-184750,infogérance du système d'information,Informatique (assistance)|Informatique (maintenance serveurs et réseaux),72611000.0,72.0,CAT10,IT Maintenance & Support,,
17-8352,Evolution et maintien en condition opérationnelle des réseaux informatiques et des installations de téléphone sur Ip,Informatique (matériel),48800000.0,48.0,CAT05,Cloud & Infrastructure,,
