source_contract_id,candidate_contract_id,src_idweb,cand_idweb,buyer_key,buyer_key_type,src_buyer_name,src_source_date,cand_source_date,src_estimated_end_date,gap_months,src_duration_months,src_cpv,cand_cpv,src_segment,cand_segment,text_similarity,cpv_score,temporal_score,buyer_quality_score,composite_score,source_generic_cpv,candidate_generic_cpv,missing_cpv_flag,duration_imputed_flag,candidate_rank,score_margin,candidate_pair_text_backend,current_synthetic_label,current_label_note,m1_probability,m2_probability
BOAMP:15-100455,BOAMP:19-156899,15-100455,19-156899,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2020-01-22,2019-11-20,50.07,48.0,35261000.0,35261000.0,Cybersecurity,Cybersecurity,0.40145,1.0,0.82786,1.0,0.71418,False,False,False,False,1,0.12233,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.83328333364996,0.12266825856827018
BOAMP:15-100455,BOAMP:19-151382,15-100455,19-151382,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-10-09,2019-11-20,46.62,48.0,35261000.0,48000000.0,Cybersecurity,Software & Applications,0.63075,0.0,0.88469,1.0,0.59185,False,True,False,False,2,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.03050976531183854,0.0
BOAMP:15-100455,BOAMP:19-119269,15-100455,19-119269,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-08-02,2019-11-20,44.38,48.0,35261000.0,72250000.0,Cybersecurity,Cybersecurity,0.60405,0.0,0.69853,1.0,0.54341,False,False,False,False,3,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.01023125229207587,0.0
BOAMP:15-100455,BOAMP:19-191665,15-100455,19-191665,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-12-26,2019-11-20,49.18,48.0,35261000.0,72250000.0,Cybersecurity,Cybersecurity,0.50545,0.0,0.90177,1.0,0.54264,False,False,False,False,4,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.014729752322645617,0.0
BOAMP:15-100455,BOAMP:20-11000,15-100455,20-11000,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2020-01-25,2019-11-20,50.16,48.0,35261000.0,48000000.0,Cybersecurity,Software & Applications,0.53042,0.0,0.81965,1.0,0.53671,False,True,False,False,5,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.0020934392313181845,0.0
BOAMP:15-100455,BOAMP:20-66643,15-100455,20-66643,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2020-05-22,2019-11-20,54.04,48.0,35261000.0,72250000.0,Cybersecurity,Cybersecurity,0.63421,0.0,0.49661,1.0,0.51569,False,False,False,False,6,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.0010825525239256464,0.0
BOAMP:15-100455,BOAMP:18-168544,15-100455,18-168544,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-03-19,2019-11-20,39.91,48.0,35261000.0,35120000.0,Cybersecurity,Cybersecurity,0.58306,0.2,0.32622,1.0,0.50613,False,False,False,False,7,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.00020754875487775189,0.0
BOAMP:15-100455,BOAMP:19-92498,15-100455,19-92498,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-06-21,2019-11-20,43.0,48.0,35261000.0,48000000.0,Cybersecurity,Software & Applications,0.53082,0.0,0.58355,1.0,0.48965,False,True,False,False,8,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.00010607582380386759,0.002833804586867735
BOAMP:15-100455,BOAMP:19-36958,15-100455,19-36958,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-05-29,2019-11-20,42.25,48.0,35261000.0,72250000.0,Cybersecurity,Cybersecurity,0.52263,0.0,0.52059,1.0,0.47362,False,False,False,False,9,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.00014539781035142717,0.0
BOAMP:15-100455,BOAMP:19-69736,15-100455,19-69736,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-05-05,2019-11-20,41.46,48.0,35261000.0,32400000.0,Cybersecurity,Telecom & Networks,0.55221,0.0,0.45488,1.0,0.47291,False,False,False,False,10,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,9.064408493733247e-05,0.0
BOAMP:15-100455,BOAMP:19-74485,15-100455,19-74485,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-08-01,2019-11-20,44.35,48.0,35261000.0,72243000.0,Cybersecurity,IT Services & Consulting,0.43624,0.0,0.6958,1.0,0.47238,False,False,False,False,11,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.00014867031967312225,0.0
BOAMP:15-100455,BOAMP:20-12070,15-100455,20-12070,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2020-01-26,2019-11-20,50.2,48.0,35261000.0,72250000.0,Cybersecurity,Cybersecurity,0.37383,0.0,0.81691,1.0,0.47039,False,False,False,False,12,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,0.0001597890785051997,0.0
BOAMP:15-100455,BOAMP:19-105083,15-100455,19-105083,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-07-10,2019-11-20,43.63,48.0,35261000.0,48000000.0,Cybersecurity,Software & Applications,0.44866,0.0,0.63557,1.0,0.46555,False,True,False,False,13,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,1.701778631182657e-05,0.0
BOAMP:15-100455,BOAMP:20-34392,15-100455,20-34392,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2020-03-11,2019-11-20,51.68,48.0,35261000.0,72250000.0,Cybersecurity,Cybersecurity,0.40538,0.0,0.69371,1.0,0.459,False,False,False,False,14,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,4.6256467374215114e-05,0.0
BOAMP:15-100455,BOAMP:19-55110,15-100455,19-55110,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-04-11,2019-11-20,40.67,48.0,35261000.0,48000000.0,Cybersecurity,Software & Applications,0.52424,0.0,0.38918,1.0,0.44802,False,True,False,False,15,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,2.7475415987347014e-06,0.0
BOAMP:15-100455,BOAMP:19-67059,15-100455,19-67059,SIREN:794304097,SIREN_ENRICHED,Nantes Métropole,2015-11-20,2019-05-08,2019-11-20,41.56,48.0,35261000.0,48000000.0,Cybersecurity,Software & Applications,0.46058,0.0,0.4631,1.0,0.43606,False,True,False,False,16,,sentence_transformers:paraphrase-multilingual-MiniLM-L12-v2,0,current silver/synthetic benchmark label for method comparison only; not real BOAMP ground truth,1.8484567086448378e-06,0.0
