idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure,notice_id_original,raw_source_file_group,notice_id,year,buyer_name_raw,buyer_name_normalized,objet_clean,buyer_siret_raw,buyer_siret_clean,buyer_siren_raw,buyer_siren_clean,buyer_siren_from_siret,cpv_clean,cpv_full8,cpv_div2,cpv_group3,cpv_class4,cpv_category5,cpv_is_missing,cpv_is_generic,amount_raw,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,amount_clean,duration_raw_boamp,flag_duration_suspect,duration_clean,duration_imputed_flag,category_id,category_label,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note,buyer_key,buyer_key_type,buyer_key_source,raw_trace_id
15-30947,2015-03-02,2015-03-27,2015-03-27T11:30:00+00:00,SMICTOM de la Vallée de l'Authion,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (matériel)|Location|Logiciel|Maintenance,"Acquisition de systèmes d'identification embarqués, location des solutions logicielles et maintenance associée (matériels et logiciels), pour la collecte des déchets ménagers à Beaufort-en-Vallée",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-30947,legacy,48000000,48000000,,49250,Beaufort en vallee,150000.0,12.0,DUREE_MOIS,,,15-30947,data/raw/boamp_current,15-30947,2015,SMICTOM de la Vallée de l'Authion,smictom vallee authion,acquisition de systemes d identification embarques location des solutions logicielles et maintenance associee materiels et logiciels pour la collecte des dechets menagers a beaufort en vallee,,,,,,48000000,48000000,48,480,4800,48000,False,True,150000.0,0,0,0,150000.0,12.0,0,12.0,False,CAT01,Software & Applications,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=smictom vallee authion,NAME:smictom vallee authion,NAME,normalized_buyer_name,BOAMP:15-30947
15-31464,2015-03-02,2015-04-24,2015-04-24T15:00:00+00:00,Sdis de la Mayenne,53,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Groupe électrogène|Matériel électrique|Matériel de secours et d'incendie|Outillage|Pièces détachées|Pompes,fourniture de petits materiels d'incendie et de secours et pieces detachees pour le sdis 53,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31464,legacy,,None|35311400|31121000|34928410|44423200|43830000|35111100|42122110|34928471|31400000,,53005,Laval cedex,,36.0,DUREE_MOIS,,,15-31464,data/raw/boamp_current,15-31464,2015,Sdis de la Mayenne,sdis mayenne,fourniture de petits materiels d incendie et de secours et pieces detachees pour le sdis 53,,,,,,,,,,,,True,False,,0,0,0,,36.0,0,36.0,False,CAT_UNKNOWN,Unknown,285300018,28530001800030,previous_high_confidence_cache,HIGH,matched,100.0,29.2,2,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),seeded from existing high-confidence buyer enrichment,SIREN:285300018,SIREN_ENRICHED,external_enrichment,BOAMP:15-31464
15-31513,2015-03-02,2015-04-17,2015-04-17T11:00:00+00:00,Ville de Rezé,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Horodateur|Matériel électrique,fourniture et pose d'horodateurs et de bornes d'arret minute sur le territoire de la ville de Rezé. Exploitation des horodateurs installés sur le territoire de la ville à partir du 1er janvier 2016,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31513,legacy,38720000,38720000|31224500|48620000,,44403,Rezé Cedex,,48.0,DUREE_MOIS,,,15-31513,data/raw/boamp_current,15-31513,2015,Ville de Rezé,ville reze,fourniture et pose d horodateurs et de bornes d arret minute sur le territoire de la ville de reze exploitation des horodateurs installes sur le territoire de la ville a partir du 1er janvier 2016,,,,,,38720000,38720000,38,387,3872,38720,False,False,,0,0,0,,48.0,0,48.0,False,CAT_UNKNOWN,Unknown,214401432,21440143200015,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE REZE,seeded from existing high-confidence buyer enrichment,SIREN:214401432,SIREN_ENRICHED,external_enrichment,BOAMP:15-31513
15-20937,2015-03-03,2015-04-14,2015-04-14T11:00:00+00:00,Ville de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Outillage,"fourniture d'outillages, d'equipements techniques et de consommables divers à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-20937,legacy,44512000,44512000|None|31000000|44810000|31500000|44522200|44521100|31518200|42418000|30197642|30192112|39190000|35821000|50313000|44600000|44620000|44100000|43812000,,44000,nantes,,48.0,DUREE_MOIS,,,15-20937,data/raw/boamp_current,15-20937,2015,Ville de Nantes,ville nantes,fourniture d outillages d equipements techniques et de consommables divers a nantes,,,,,,44512000,44512000,44,445,4451,44512,False,False,,0,0,0,,48.0,0,48.0,False,CAT_UNKNOWN,Unknown,214401093,21440109300015,previous_high_confidence_cache,HIGH,matched,100.0,27.0,8,COMMUNE DE NANTES,seeded from existing high-confidence buyer enrichment,SIREN:214401093,SIREN_ENRICHED,external_enrichment,BOAMP:15-20937
15-31397,2015-03-03,2015-04-01,,SDIS de la Sarthe,72,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,FOURNITURES,|10|6,Logiciel,evolution du systeme de gestion operationnelle au profit du SDIS à Coulaines,SIS,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31397,legacy,48814300,48814300,,72190,COULAINES,,,,2015-02-17,,15-31397,data/raw/boamp_current,15-31397,2015,SDIS de la Sarthe,sdis sarthe,evolution du systeme de gestion operationnelle au profit du sdis a coulaines,,,,,,48814300,48814300,48,488,4881,48814,False,False,,0,0,0,,,0,,True,CAT01,Software & Applications,287200265,28720026500018,previous_high_confidence_cache,HIGH,matched,100.0,26.6,9,SCE DEPARTEMENTAL INCENDIE ET SECOURS (SDIS),seeded from existing high-confidence buyer enrichment,SIREN:287200265,SIREN_ENRICHED,external_enrichment,BOAMP:15-31397
15-32168,2015-03-03,2015-04-13,2015-04-13T12:00:00+00:00,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Maintenance,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-32168,legacy,72700000,72700000,,44966,Nantes cedex 9,,24.0,DUREE_MOIS,,,15-32168,data/raw/boamp_current,15-32168,2015,Conseil régional des Pays de la Loire,conseil regional pays loire,maintenance surveillance assistance a l exploitation et evolutions des infrastructures de reseaux lan et wifi de la region pays de la loire,,,,,,72700000,72700000,72,727,7270,72700,False,False,,0,0,0,,24.0,0,24.0,False,CAT02,IT Services & Consulting,234400034,23440003400026,previous_high_confidence_cache,HIGH,matched,81.3,,1,REGION DES PAYS DE LA LOIRE,seeded from existing high-confidence buyer enrichment,SIREN:234400034,SIREN_ENRICHED,external_enrichment,BOAMP:15-32168
15-31641,2015-03-04,2015-04-17,2015-04-17T11:00:00+00:00,IRCANTEC,49|44|75,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Prestations de services,création d'un dispositif d'information plurimédia de l'ircantec à Angers,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31641,legacy,,None|72413000|JA09|79810000,,49939,Angers,800000.0,12.0,DUREE_MOIS,,,15-31641,data/raw/boamp_current,15-31641,2015,IRCANTEC,ircantec,creation d un dispositif d information plurimedia de l ircantec a angers,,,,,,,,,,,,True,False,800000.0,0,0,0,800000.0,12.0,0,12.0,False,CAT08,Data & AI,784301525,78430152500050,previous_high_confidence_cache,HIGH,matched,100.0,,1,IRCANTEC,seeded from existing high-confidence buyer enrichment,SIREN:784301525,SIREN_ENRICHED,external_enrichment,BOAMP:15-31641
15-31797,2015-03-04,2015-04-14,2015-04-14T15:00:00+00:00,ACOSS,93|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Maintenance,acquisition d'une prestation de maintenance et d'assistance technique d'une solution permettant la rationalisation des accès aux machines sensibles et equipements de sécurité à Montreuil,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31797,legacy,72500000,72500000,,93100,Montreuil,,12.0,DUREE_MOIS,,,15-31797,data/raw/boamp_current,15-31797,2015,ACOSS,acoss,acquisition d une prestation de maintenance et d assistance technique d une solution permettant la rationalisation des acces aux machines sensibles et equipements de securite a montreuil,,,,,,72500000,72500000,72,725,7250,72500,False,False,,0,0,0,,12.0,0,12.0,False,CAT02,IT Services & Consulting,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,26.5,5.2,3,AGENCE CENTRALE DES ORGANISMES DE SECURITE SOCIALE (ACOSS),query=acoss,NAME:acoss,NAME,normalized_buyer_name,BOAMP:15-31797
15-32296,2015-03-04,2015-06-03,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel,fourniture de logiciels ibm-lotus et de prestations d'assistance technique associées pour le CHU de Nantes,ASI,14-175328,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-32296,legacy,48517000,48517000,,44093,Nantes,230957.2,,,2015-02-19,2014-11-21,15-32296,data/raw/boamp_current,15-32296,2015,CHU de Nantes,chu nantes,fourniture de logiciels ibm lotus et de prestations d assistance technique associees pour le chu de nantes,,,,,,48517000,48517000,48,485,4851,48517,False,False,230957.2,0,0,0,230957.2,,0,,True,CAT01,Software & Applications,264400136,26440013600471,previous_high_confidence_cache,HIGH,matched,91.3,,1,CHU NANTES (CHU),seeded from existing high-confidence buyer enrichment,SIREN:264400136,SIREN_ENRICHED,external_enrichment,BOAMP:15-32296
15-32693,2015-03-04,2015-04-02,,Ville de Bouguenais,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (matériel)|Informatique (prestations de services),refonte globale de l'infrastructure serveurs et stockages informatiques à Bouguenais,TRYADE,14-163454,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-32693,legacy,48800000,48800000,,44341,Bouguenais cedex,187264.29,,,2015-03-02,2014-10-30,15-32693,data/raw/boamp_current,15-32693,2015,Ville de Bouguenais,ville bouguenais,refonte globale de l infrastructure serveurs et stockages informatiques a bouguenais,,,,,,48800000,48800000,48,488,4880,48800,False,False,187264.29,0,0,0,187264.29,,0,,True,CAT05,Cloud & Infrastructure,214400202,21440020200013,previous_high_confidence_cache,HIGH,matched,100.0,,1,COMMUNE DE BOUGUENAIS,seeded from existing high-confidence buyer enrichment,SIREN:214400202,SIREN_ENRICHED,external_enrichment,BOAMP:15-32693
