contract_id,source,buyer_key,buyer_key_type,buyer_name,SIREN,SIRET,segment,cpv_generic,cpv_div2,source_date,start_date,declared_duration_months,duration_imputed_flag,estimated_end_date,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,text_similarity,cpv_score,temporal_score,composite_score,score_margin,candidate_rank,link_method,event_definition,is_censored
BOAMP:15-30947,BOAMP_CURRENT,NAME:smictom vallee authion,NAME,SMICTOM de la Vallée de l'Authion,,,Software & Applications,True,48.0,2015-03-02,2015-03-02,12.0,False,2016-03-02,0,136.24,136.24,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-31464,BOAMP_CURRENT,SIREN:285300018,SIREN_ENRICHED,Sdis de la Mayenne,285300018,,Unknown,False,,2015-03-02,2015-03-02,36.0,False,2018-03-02,1,36.14,,36.14,BOAMP:17-176560,0.69222,,0.98861,0.83371,,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-31513,BOAMP_CURRENT,SIREN:214401432,SIREN_ENRICHED,Ville de Rezé,214401432,,Unknown,False,38.0,2015-03-02,2015-03-02,48.0,False,2019-03-02,0,136.24,136.24,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-20937,BOAMP_CURRENT,SIREN:214401093,SIREN_ENRICHED,Ville de Nantes,214401093,,Unknown,False,44.0,2015-03-03,2015-03-03,48.0,False,2019-03-03,1,51.81,,51.81,BOAMP:19-17307,0.68595,1.0,0.68276,0.80465,0.36207,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-32168,BOAMP_CURRENT,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,234400034,,IT Services & Consulting,False,72.0,2015-07-21,2015-07-21,24.0,False,2017-07-21,0,131.6,131.6,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-31641,BOAMP_CURRENT,SIREN:784301525,SIREN_ENRICHED,IRCANTEC,784301525,,Data & AI,False,,2015-03-04,2015-03-04,12.0,False,2016-03-04,0,136.17,136.17,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-31797,BOAMP_CURRENT,NAME:acoss,NAME,ACOSS,,,IT Services & Consulting,False,72.0,2015-03-04,2015-03-04,12.0,False,2016-03-04,0,136.17,136.17,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-33241,BOAMP_CURRENT,SIREN:264400136,SIREN_ENRICHED,CHU de Nantes,264400136,,Telecom & Networks,False,32.0,2015-09-11,2015-09-11,48.0,True,2019-09-11,1,52.96,,52.96,BOAMP:20-19986,0.58559,1.0,0.58695,0.74334,0.2117799999999999,1.0,M0_balanced,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,0
BOAMP:15-33752,BOAMP_CURRENT,SIREN:234400034,SIREN_ENRICHED,Conseil régional des Pays de la Loire,234400034,,Cybersecurity,False,72.0,2015-06-29,2015-06-29,48.0,True,2019-06-29,0,132.33,132.33,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
BOAMP:15-34520,BOAMP_CURRENT,NAME:chu angers,NAME,CHU d'Angers,,,Telecom & Networks,False,32.0,2015-03-06,2015-03-06,48.0,True,2019-03-06,0,136.1,136.1,,,,,,,,,none,M0_balanced; proxy recurrence: identifiable reappearance of a similar procurement need; not a legally verified renewal chain,1
