buyer_name_raw,buyer_name_normalized,buyer_siren_enriched,buyer_siret_enriched,buyer_enrichment_source,buyer_enrichment_confidence,buyer_enrichment_status,buyer_enrichment_score,buyer_enrichment_margin,buyer_enrichment_candidate_count,buyer_enrichment_name,buyer_enrichment_note
3RD'ANJOU,3rd anjou,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=3rd anjou
44 CHU,44 chu,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,44.0,,1,CHU NANTES (CHU),query=chu 44 chu
ACOSS,acoss,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,26.5,5.2,3,AGENCE CENTRALE DES ORGANISMES DE SECURITE SOCIALE (ACOSS),query=acoss
ADAR44,adar44,841871932,84187193200015,previous_high_confidence_cache,HIGH,matched,100.0,,1,ADAR44,seeded from existing high-confidence buyer enrichment
ADEME,ademe,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,79.4,0.0,10,CSE ADEME,query=ademe
AGCE POUR L ENST FR A L ETRANGER,agce enst fr etranger,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=agce enst fr etranger
ALTER Public,alter public,528848153,52884815300029,previous_high_confidence_cache,HIGH,matched,100.0,37.2,4,ALTER PUBLIC,seeded from existing high-confidence buyer enrichment
ANGERS LOIRE ECO,angers loire eco,840423198,84042319800026,previous_high_confidence_cache,HIGH,matched,100.0,31.5,4,ANGERS LOIRE ECO,seeded from existing high-confidence buyer enrichment
ANGERS LOIRE TOURISME EXPO CONGRES,angers loire tourisme expo congres,830955068,83095506800044,previous_high_confidence_cache,HIGH,matched,100.0,,1,ANGERS LOIRE TOURISME EXPO CONGRES,seeded from existing high-confidence buyer enrichment
ANGERS NANTES OPERA syndicat mixte,angers nantes opera syndicat mixte,254902505,25490250500018,previous_high_confidence_cache,HIGH,matched,97.3,,1,SYNDICAT MIXTE DE L'OPERA ANGERS NANTES (SMANO),seeded from existing high-confidence buyer enrichment
ARAFER,arafer,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,23.8,,1,L'A.R.A.F.L' ASSOCIATION RUGBALISTIQUE POUR LE AKA FRANCAIS LIBRE,query=arafer
ARS Pays de La Loire,ars pays loire,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,62.9,32.9,2,AGENCE REGIONALE DE SANTE PAYS DE LOIRE (ARS),query=ars pays loire
ASSOCIATION E-TOILE,association e toile,445400104,44540010400011,previous_high_confidence_cache,HIGH,matched,100.0,18.3,10,E-TOILE,seeded from existing high-confidence buyer enrichment
AUDENCIA EESC,audencia eesc,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=audencia eesc
AUTORITE REGULATION ACTIVITES FERROVIA,autorite regulation activites ferrovia,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=autorite regulation activites ferrovia
Adoma,adoma,788058030,78805803009579,previous_high_confidence_cache,HIGH,matched,100.0,15.1,10,ADOMA,seeded from existing high-confidence buyer enrichment
Afac-Agroforesteries,afac agroforesteries,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,55.6,,1,ASSOCIATION FRANCAISE ARBRES CHAMPETRES ET AGROFORESTERIES (AFAC AGROFORESTERIES),query=afac agroforesteries
Agence Régionale Pays de la Loire TI,agence regionale pays loire ti,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=agence regionale pays loire ti
Agence Régionale de Santé (ARS),agence regionale sante ars,130008071,13000807100123,previous_high_confidence_cache,HIGH,matched,79.2,,1,AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES (ARS),seeded from existing high-confidence buyer enrichment
Agence de l'eau Loire-Bretagne,agence eau loire bretagne,184503019,18450301900012,previous_high_confidence_cache,HIGH,matched,100.0,47.6,2,AGENCE DE L'EAU LOIRE-BRETAGNE,seeded from existing high-confidence buyer enrichment
Agrocampus Ouest,agrocampus ouest,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,61.3,3.2,10,ASSOCIATION AU DEVELOPPEMENT DURABLE DE L'AGROCAMPUS OUEST (ADDAO),query=agrocampus ouest
Angers Loire Metropole (49),angers loire metropole 49,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=angers loire metropole 49
Angers Loire Métropole,angers loire metropole,244900015,24490001500011,previous_high_confidence_cache,HIGH,matched,77.8,18.0,10,COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,seeded from existing high-confidence buyer enrichment
Association E-TOILE,association e toile,445400104,44540010400011,previous_high_confidence_cache,HIGH,matched,100.0,18.3,10,E-TOILE,seeded from existing high-confidence buyer enrichment
BACKNET SOLUTIONS,backnet solutions,487566580,48756658000014,previous_high_confidence_cache,HIGH,matched,100.0,,1,BACKNET SOLUTIONS,seeded from existing high-confidence buyer enrichment
BATIMENT CFA NORMANDIE,batiment cfa normandie,778116087,77811608700157,previous_high_confidence_cache,HIGH,matched,100.0,,1,BATIMENT CFA NORMANDIE,seeded from existing high-confidence buyer enrichment
Baie de Somme Habitat,baie somme habitat,278000013,27800001300013,previous_high_confidence_cache,HIGH,matched,78.6,43.6,3,BAIE DE SOMME HABITAT - OPH DE LA BAIE DE SOMME,seeded from existing high-confidence buyer enrichment
Bretagne Développement Innovation,bretagne developpement innovation,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,30.4,,1,GIE KAUFMAN ET BROAD,query=bretagne developpement innovation
C.H.D La Roche Sur Yon-Luçon-Montaigu,c h roche yon lucon montaigu,268502424,26850242400016,previous_high_confidence_cache,HIGH,matched,100.0,,1,CHD LA ROCHE SUR YON LUCON MONTAIGU,seeded from existing high-confidence buyer enrichment
C.H.S. de la Sarthe,c h s sarthe,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,44.1,6.8,5,H & V (H & V),query=c h s sarthe
C.S.T.B.,c s t b,411516768,41151676800420,api_recherche_entreprises_current,HIGH,matched,91.7,48.0,10,L O B S T,query=c s t b
CA Agglomération du Choletais,ca agglomeration choletais,200071678,20007167800011,previous_high_confidence_cache,HIGH,matched,99.2,,1,CA CHOLET AGGLOMERATION,seeded from existing high-confidence buyer enrichment
CA LES SABLES D OLONNE AGGLOMERATION,ca sables olonne agglomeration,200071165,20007116500167,previous_high_confidence_cache,HIGH,matched,100.0,,1,CA LES SABLES D'OLONNE AGGLOMERATION,seeded from existing high-confidence buyer enrichment
CA PORNIC AGGLO PAYS DE RETZ,ca pornic agglo pays retz,200067346,20006734600011,previous_high_confidence_cache,HIGH,matched,100.0,,1,CA PORNIC AGGLO PAYS DE RETZ,seeded from existing high-confidence buyer enrichment
CA SAUMUR VAL DE LOIRE,ca saumur val loire,200071876,20007187600011,previous_high_confidence_cache,HIGH,matched,100.0,,1,CA SAUMUR VAL DE LOIRE,seeded from existing high-confidence buyer enrichment
CAF de la Somme,caf somme,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,43.3,,1,CAISSE ALLOCATIONS FAMILIALES DE LA SOMME (CAF 80),query=caf somme
CAP ATLANTIQUE,cap atlantique,353686934,35368693400079,api_recherche_entreprises_current,HIGH,matched,90.4,17.7,10,CAP MAREE ATLANTIQUE,query=cap atlantique
CARENE,carene,524795564,52479556400011,api_recherche_entreprises_current,HIGH,matched,90.9,20.3,10,CAREN,query=carene
CARIFOREF,cariforef,,,api_recherche_entreprises_current,NO_MATCH,not_upgraded,,,0,,query=cariforef
CC DU PAYS DE CHANTONNAY,cc pays chantonnay,,,api_recherche_entreprises_current,LOWER_CONFIDENCE,not_upgraded,46.3,,1,SYND INTERCOM REG NORD EST CHANTONNAY,query=cc pays chantonnay
