contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling
BOAMP:15-30947,BOAMP,NAME:smictom de la vallee de l authion,48.0,Software & Applications,2015-03-02,12.0,0,118.0,118.0,,,150000.0,OUVERT,SERVICES,False,2016-03-01,publication_date,none,,,,,0,0,0
BOAMP:15-31464,BOAMP,NAME:de la mayenne,,Unknown,2015-03-02,36.0,1,33.54,,33.54,BOAMP:17-176560,,OUVERT,FOURNITURES,False,2018-03-01,publication_date,sentence_transformers,0.7109,0.6922,0.5,0.7951,0,0,0
BOAMP:15-31513,BOAMP,NAME:reze,38.0,Unknown,2015-03-02,48.0,1,51.12,,51.12,BOAMP:19-87143,,OUVERT,FOURNITURES,False,2019-03-02,publication_date,sentence_transformers,0.5076,0.2113,0.5,0.7403,0,0,0
BOAMP:15-20937,BOAMP,NAME:nantes,44.0,Unknown,2015-03-03,48.0,1,47.17,,47.17,BOAMP:19-17307,,OUVERT,FOURNITURES,False,2019-03-03,publication_date,sentence_transformers,0.8606,0.686,1.0,0.9312,0,0,0
BOAMP:15-32168,BOAMP,NAME:des pays de la loire,72.0,IT Services & Consulting,2015-07-21,24.0,1,24.11,,24.11,BOAMP:17-48788,,OUVERT,SERVICES,False,2017-07-20,attribution_award_date,sentence_transformers,0.7235,0.5009,0.7,0.9906,0,0,0
BOAMP:15-31641,BOAMP,NAME:ircantec,,Data & AI,2015-03-04,12.0,0,117.94,117.94,,,800000.0,OUVERT,FOURNITURES,False,2016-03-03,publication_date,none,,,,,0,0,0
BOAMP:15-31797,BOAMP,NAME:acoss,72.0,IT Services & Consulting,2015-03-04,12.0,0,117.94,117.94,,,,OUVERT,SERVICES,False,2016-03-03,publication_date,none,,,,,0,0,0
BOAMP:15-33241,BOAMP,NAME:de nantes,32.0,Telecom & Networks,2015-09-11,48.0,1,52.96,,52.96,BOAMP:20-19986,,OUVERT,FOURNITURES,True,2019-09-11,attribution_award_date,sentence_transformers,0.7516,0.5856,1.0,0.5869,0,0,0
BOAMP:15-33752,BOAMP,NAME:des pays de la loire,72.0,Cybersecurity,2015-06-29,48.0,1,42.44,,42.44,BOAMP:18-128655,,OUVERT,SERVICES,True,2019-06-29,attribution_award_date,sentence_transformers,0.6561,0.5592,0.7,0.537,0,0,0
BOAMP:15-34520,BOAMP,NAME:d angers,32.0,Telecom & Networks,2015-03-06,48.0,0,117.87,117.87,,,,PROCEDURE_ADAPTE,FOURNITURES,True,2019-03-06,publication_date,none,,,,,0,0,0
BOAMP:15-37182,BOAMP,NAME:mindef dga dt scat,35.0,Cybersecurity,2015-03-11,48.0,0,117.71,117.71,,,,NEGOCIE,,False,2019-03-11,publication_date,none,,,,,0,0,0
BOAMP:15-42843,BOAMP,NAME:cte de cnes de l ile de noirmoutier,72.0,IT Services & Consulting,2015-03-24,48.0,0,117.28,117.28,,,,OUVERT,SERVICES,False,2019-03-24,publication_date,none,,,,,0,0,0
BOAMP:15-44999,BOAMP,NAME:conseil general de la vendee,39.0,Cybersecurity,2015-03-24,48.0,1,52.86,,52.86,BOAMP:19-126819,,OUVERT,,True,2019-03-24,publication_date,sentence_transformers,0.5284,0.336,0.5,0.5952,0,0,0
BOAMP:15-47591,BOAMP,NAME:ville d angers,32.0,Telecom & Networks,2015-03-27,36.0,1,45.86,,45.86,BOAMP:19-10579,,PROCEDURE_ADAPTE,,False,2018-03-26,publication_date,sentence_transformers,0.3849,0.3106,0.3,0.1783,0,0,0
BOAMP:15-47696,BOAMP,NAME:ministere des affaires etrangeres,72.0,IT Services & Consulting,2015-03-30,48.0,1,47.21,,47.21,BOAMP:19-34512,,OUVERT,SERVICES,False,2019-03-30,publication_date,sentence_transformers,0.539,0.5056,0.0,0.934,0,0,0
BOAMP:15-31076,BOAMP,NAME:la roche sur yon,35.0,Cybersecurity,2015-04-01,48.0,1,54.34,,54.34,BOAMP:19-154710,,PROCEDURE_ADAPTE,,False,2019-04-01,publication_date,sentence_transformers,0.4741,0.5742,0.0,0.472,0,0,0
BOAMP:15-50314,BOAMP,NAME:ministere des affaires etrangeres,72.0,IT Services & Consulting,2015-04-02,48.0,1,47.11,,47.11,BOAMP:19-34512,,OUVERT,,True,2019-04-02,publication_date,sentence_transformers,0.49,0.3871,0.0,0.9258,0,0,0
BOAMP:15-51571,BOAMP,NAME:residences saint alexandre,48.0,Software & Applications,2015-04-07,48.0,0,116.82,116.82,,,,OUVERT,,True,2019-04-07,publication_date,none,,,,,0,0,0
BOAMP:15-52664,BOAMP,NAME:ministere des affaires etrangeres,72.0,IT Services & Consulting,2015-04-08,48.0,1,46.91,,46.91,BOAMP:19-34512,,OUVERT,SERVICES,False,2019-04-08,publication_date,sentence_transformers,0.5154,0.4589,0.0,0.9093,0,0,0
BOAMP:15-53947,BOAMP,NAME:saint herblain,48.0,Software & Applications,2015-04-10,48.0,1,50.82,,50.82,BOAMP:19-104228,,PROCEDURE_ADAPTE,SERVICES,True,2019-04-10,publication_date,sentence_transformers,0.4468,0.3594,0.0,0.7649,0,0,0
BOAMP:15-54892,BOAMP,NAME:85,32.0,Telecom & Networks,2015-04-10,48.0,0,116.72,116.72,,,,OUVERT,,True,2019-04-10,publication_date,none,,,,,0,0,0
BOAMP:15-54272,BOAMP,NAME:de cholet,,Unknown,2015-04-10,44.0,0,116.72,116.72,,,,OUVERT,,False,2018-12-09,publication_date,none,,,,,0,0,0
BOAMP:15-54977,BOAMP,NAME:conseil general de la sarthe,64.0,Digital Workplace & Collaboration,2015-04-13,48.0,0,116.62,116.62,,,,OUVERT,SERVICES,True,2019-04-13,publication_date,none,,,,,0,0,0
BOAMP:15-55213,BOAMP,NAME:ville du croisic,32.0,Telecom & Networks,2015-04-13,12.0,0,116.62,116.62,,,,OUVERT,,False,2016-04-12,publication_date,none,,,,,0,0,0
BOAMP:15-56123,BOAMP,NAME:le mans metropole communaute urbaine,45.0,Unknown,2015-04-14,48.0,1,47.37,,47.37,BOAMP:18-146639,,PROCEDURE_ADAPTE,,True,2019-04-14,publication_date,sentence_transformers,0.5164,0.4421,0.0,0.9477,0,0,0
BOAMP:15-56649,BOAMP,NAME:des pays de la loire,72.0,IT Services & Consulting,2015-04-14,12.0,1,7.79,,7.79,BOAMP:15-141361,,OUVERT,SERVICES,False,2016-04-13,publication_date,sentence_transformers,0.6309,0.2529,1.0,0.6488,0,0,0
BOAMP:15-55527,BOAMP,NAME:cdc du pays de saint gilles cx de vie,48.0,Software & Applications,2015-04-14,48.0,1,42.18,,42.18,BOAMP:18-52482,,OUVERT,SERVICES,True,2019-04-14,publication_date,sentence_transformers,0.5601,0.4552,0.5,0.5151,0,0,0
BOAMP:15-56918,BOAMP,NAME:vallet,32.0,Telecom & Networks,2015-04-15,12.0,0,116.56,116.56,,,,PROCEDURE_ADAPTE,,False,2016-04-14,publication_date,none,,,,,0,0,0
BOAMP:15-56776,BOAMP,NAME:ville d angers,32.0,Telecom & Networks,2015-04-15,48.0,1,45.24,,45.24,BOAMP:19-10579,,PROCEDURE_ADAPTE,,True,2019-04-15,publication_date,sentence_transformers,0.5419,0.4074,0.3,0.7697,0,0,0
BOAMP:15-58339,BOAMP,NAME:cnieg,72.0,IT Services & Consulting,2015-07-22,48.0,1,47.4,,47.4,BOAMP:19-103125,,OUVERT,SERVICES,False,2019-07-22,attribution_award_date,sentence_transformers,0.6521,0.3426,0.7,0.9504,0,0,0
BOAMP:15-58989,BOAMP,NAME:ccir pays de la loire,48.0,Software & Applications,2015-04-17,48.0,1,54.14,,54.14,BOAMP:19-106429,,OUVERT,,True,2019-04-17,publication_date,sentence_transformers,0.5761,0.5086,0.5,0.4884,0,0,0
BOAMP:15-59370,BOAMP,NAME:de nantes,72.0,IT Services & Consulting,2015-04-20,48.0,1,40.34,,40.34,BOAMP:18-121819,,PROCEDURE_ADAPTE,SERVICES,False,2019-04-20,publication_date,sentence_transformers,0.6825,0.5252,1.0,0.3618,0,0,0
BOAMP:15-59556,BOAMP,NAME:conseil general de loire atlantique,35.0,Cybersecurity,2015-08-24,48.0,0,112.25,112.25,,,200000.0,OUVERT,,False,2019-08-24,attribution_award_date,none,,,,,0,0,0
BOAMP:15-64142,BOAMP,NAME:de nantes,48.0,Software & Applications,2015-04-24,48.0,1,47.77,,47.77,BOAMP:19-59985,,PROCEDURE_ADAPTE,,True,2019-04-24,publication_date,sentence_transformers,0.7022,0.4528,0.7,0.9805,0,0,0
BOAMP:15-50024,BOAMP,NAME:vendee eau,35.0,Cybersecurity,2015-06-25,6.0,0,114.22,114.22,,,,PROCEDURE_ADAPTE,,False,2015-12-24,attribution_award_date,none,,,,,0,0,0
BOAMP:15-63153,BOAMP,NAME:vendee eau,45.0,Unknown,2015-04-27,48.0,1,48.59,,48.59,BOAMP:19-75795,,PROCEDURE_ADAPTE,,True,2019-04-27,publication_date,sentence_transformers,0.5256,0.4633,0.0,0.9511,0,0,0
BOAMP:15-64904,BOAMP,NAME:85,48.0,Software & Applications,2015-04-28,68.0,1,71.48,,71.48,BOAMP:20-137315,,PROCEDURE_ADAPTE,,False,2020-12-26,publication_date,sentence_transformers,0.4645,0.4315,0.0,0.7096,0,0,0
BOAMP:15-65940,BOAMP,NAME:pole sante sarthe et loire,72.0,IT Maintenance & Support,2015-04-29,48.0,0,116.1,116.1,,,,PROCEDURE_ADAPTE,SERVICES,True,2019-04-29,publication_date,none,,,,,0,0,0
BOAMP:15-65742,BOAMP,NAME:ville du mans,32.0,Telecom & Networks,2015-07-10,48.0,1,59.66,,59.66,BOAMP:20-2441,,PROCEDURE_ADAPTE,,True,2019-07-10,attribution_award_date,sentence_transformers,0.6206,0.7246,0.7,0.0285,0,0,0
BOAMP:15-68078,BOAMP,NAME:dir ouest,32.0,Telecom & Networks,2015-05-04,48.0,1,52.99,,52.99,BOAMP:19-71182,240000.0,OUVERT,SERVICES,False,2019-05-04,publication_date,sentence_transformers,0.8463,0.8236,1.0,0.5842,0,0,0
BOAMP:15-67480,BOAMP,NAME:syndicat departemental d energie,48.0,Software & Applications,2015-05-04,48.0,0,115.93,115.93,,,,PROCEDURE_ADAPTE,SERVICES,True,2019-05-04,publication_date,none,,,,,0,0,0
BOAMP:15-70236,BOAMP,NAME:85,72.0,IT Services & Consulting,2015-05-06,42.0,0,115.87,115.87,,,,PROCEDURE_ADAPTE,SERVICES,False,2018-11-04,publication_date,none,,,,,0,0,0
