contract_id,source,buyer_key,cpv_div2,category_label,start_date,declared_duration_months,event,observed_duration_months,censoring_duration_months,renewal_duration_months,renewal_contract_id,amount_clean,type_procedure,type_marche,dur_was_imputed,estimated_end_date,start_date_source,link_method,composite_score,text_similarity,cpv_match_score,cpv_used_in_score,temporal_score,flag_amount_zero,flag_amount_tiny,flag_amount_ceiling,best_composite_score,second_best_composite_score,score_margin,n_candidates_for_source,single_candidate_match,high_confidence_strict,rule_name,event_definition,is_censored
BOAMP:15-30947,BOAMP,NAME:smictom de la vallee de l authion,48.0,Software & Applications,2015-03-02,12.0,0,118.0,118.0,,,150000.0,OUVERT,SERVICES,False,2016-03-01,publication_date,none,,,,,,0,0,0,,,,0,False,False,broad,calibrated_broad,1
BOAMP:15-31464,BOAMP,SIREN:285300018,,Unknown,2015-03-02,36.0,1,33.54,,33.54,BOAMP:17-176560,,OUVERT,FOURNITURES,False,2018-03-01,publication_date,calibrated_rule,0.7265,0.6922,,False,0.59,0,0,0,0.7265,,,1,True,False,broad,calibrated_broad,0
BOAMP:15-31513,BOAMP,SIREN:214401432,38.0,Unknown,2015-03-02,48.0,0,118.0,118.0,,,,OUVERT,FOURNITURES,False,2019-03-02,publication_date,none,,,,,,0,0,0,,,,0,False,False,broad,calibrated_broad,1
BOAMP:15-20937,BOAMP,SIREN:214401093,44.0,Unknown,2015-03-03,48.0,1,47.17,,47.17,BOAMP:19-17307,,OUVERT,FOURNITURES,False,2019-03-03,publication_date,calibrated_rule,0.8467,0.686,1.0,True,0.8617,0,0,0,0.8467,,,1,True,False,broad,calibrated_broad,0
BOAMP:15-32168,BOAMP,SIREN:234400034,72.0,IT Services & Consulting,2015-07-21,24.0,1,24.11,,24.11,BOAMP:17-48788,,OUVERT,SERVICES,False,2017-07-20,attribution_award_date,calibrated_rule,0.5967,0.5009,0.2,True,0.9817,0,0,0,0.5967,0.5589,0.0378,11,False,False,broad,calibrated_broad,0
BOAMP:15-31641,BOAMP,SIREN:784301525,,Data & AI,2015-03-04,12.0,0,117.94,117.94,,,800000.0,OUVERT,FOURNITURES,False,2016-03-03,publication_date,none,,,,,,0,0,0,,,,0,False,False,broad,calibrated_broad,1
BOAMP:15-31797,BOAMP,NAME:acoss,72.0,IT Services & Consulting,2015-03-04,12.0,0,117.94,117.94,,,,OUVERT,SERVICES,False,2016-03-03,publication_date,none,,,,,,0,0,0,,,,0,False,False,broad,calibrated_broad,1
BOAMP:15-33241,BOAMP,SIREN:264400136,32.0,Telecom & Networks,2015-09-11,48.0,1,52.96,,52.96,BOAMP:20-19986,,OUVERT,FOURNITURES,True,2019-09-11,attribution_award_date,calibrated_rule,0.6689,0.5856,1.0,True,0.1733,0,0,0,0.6689,0.4908,0.1781,2,False,False,broad,calibrated_broad,0
BOAMP:15-33752,BOAMP,SIREN:234400034,72.0,Cybersecurity,2015-06-29,48.0,1,52.76,,52.76,BOAMP:19-174098,,OUVERT,SERVICES,True,2019-06-29,attribution_award_date,calibrated_rule,0.4552,0.5347,0.2,True,0.2067,0,0,0,0.4552,0.4383,0.0169,3,False,False,broad,calibrated_broad,0
BOAMP:15-34520,BOAMP,NAME:d angers,32.0,Telecom & Networks,2015-03-06,48.0,0,117.87,117.87,,,,PROCEDURE_ADAPTE,FOURNITURES,True,2019-03-06,publication_date,none,,,,,,0,0,0,,,,0,False,False,broad,calibrated_broad,1
