idweb,dateparution,datefindiffusion,datelimitereponse,nomacheteur,code_departement,famille,nature,nature_libelle,type_procedure,type_marche,type_avis,descripteur_libelle,objet,titulaire,annonce_lie,contractfolderid,etat,url_avis,donnees_format,cpv_principal,cpv_all,buyer_siret,buyer_cp,buyer_ville,amount_eur,duration_months,duration_source_field,date_attribution,date_publication_anterieure
15-30947,2015-03-02,2015-03-27,2015-03-27T11:30:00+00:00,SMICTOM de la Vallée de l'Authion,49,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (matériel)|Location|Logiciel|Maintenance,"Acquisition de systèmes d'identification embarqués, location des solutions logicielles et maintenance associée (matériels et logiciels), pour la collecte des déchets ménagers à Beaufort-en-Vallée",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-30947,legacy,48000000,48000000,,49250,Beaufort en vallee,150000.0,12.0,DUREE_MOIS,,
15-31397,2015-03-03,2015-04-01,,SDIS de la Sarthe,72,JOUE,ATTRIBUTION,Résultat de marché,NEGOCIE,FOURNITURES,|10|6,Logiciel,evolution du systeme de gestion operationnelle au profit du SDIS à Coulaines,SIS,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31397,legacy,48814300,48814300,,72190,COULAINES,,,,2015-02-17,
15-31464,2015-03-02,2015-04-24,2015-04-24T15:00:00+00:00,Sdis de la Mayenne,53,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Groupe électrogène|Matériel électrique|Matériel de secours et d'incendie|Outillage|Pièces détachées|Pompes,fourniture de petits materiels d'incendie et de secours et pieces detachees pour le sdis 53,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31464,legacy,None,None|35311400|31121000|34928410|44423200|43830000|35111100|42122110|34928471|31400000,,53005,Laval cedex,,36.0,DUREE_MOIS,,
15-32296,2015-03-04,2015-06-03,,CHU de Nantes,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel,fourniture de logiciels ibm-lotus et de prestations d'assistance technique associées pour le CHU de Nantes,ASI,14-175328,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-32296,legacy,48517000,48517000,,44093,Nantes,230957.2,,,2015-02-19,2014-11-21
15-31513,2015-03-02,2015-04-17,2015-04-17T11:00:00+00:00,Ville de Rezé,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Horodateur|Matériel électrique,fourniture et pose d'horodateurs et de bornes d'arret minute sur le territoire de la ville de Rezé. Exploitation des horodateurs installés sur le territoire de la ville à partir du 1er janvier 2016,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31513,legacy,38720000,38720000|31224500|48620000,,44403,Rezé Cedex,,48.0,DUREE_MOIS,,
15-32693,2015-03-04,2015-04-02,,Ville de Bouguenais,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,FOURNITURES,|10|6,Informatique (matériel)|Informatique (prestations de services),refonte globale de l'infrastructure serveurs et stockages informatiques à Bouguenais,TRYADE,14-163454,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-32693,legacy,48800000,48800000,,44341,Bouguenais cedex,187264.29,,,2015-03-02,2014-10-30
15-20937,2015-03-03,2015-04-14,2015-04-14T11:00:00+00:00,Ville de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Outillage,"fourniture d'outillages, d'equipements techniques et de consommables divers à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-20937,legacy,44512000,44512000|None|31000000|44810000|31500000|44522200|44521100|31518200|42418000|30197642|30192112|39190000|35821000|50313000|44600000|44620000|44100000|43812000,,44000,nantes,,48.0,DUREE_MOIS,,
15-38026,2015-03-16,2015-04-11,,CNIEG,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services)|Reprographie|Télécommunications,"prestation de mise en place et d'exploitation d'un centre d'appels et de traitement de services informatiques,télécom et reprographie au profit de la CNIEG à Nantes",DCS EASYWARE,14-175676,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-38026,legacy,72611000,72611000,,44200,Nantes,,,,2015-03-11,
15-32168,2015-03-03,2015-04-13,2015-04-13T12:00:00+00:00,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Maintenance,"maintenance, surveillance, assistance à l'exploitation et évolutions des infrastructures de réseaux LAN et Wifi de la Région Pays de la Loire.",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-32168,legacy,72700000,72700000,,44966,Nantes cedex 9,,24.0,DUREE_MOIS,,
15-37556,2015-03-16,2015-04-11,,Le Mans Métropole - Communauté Urbaine,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services)|Logiciel,maintenance et support de l'installation pare-feu et passerelle de réseau privé virtuel checkpoint au Mans,Société NEXTIRAONE France,14-154990,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-37556,legacy,72267000,72267000,,72039,Le Mans,93195.0,,,2015-02-03,
15-31641,2015-03-04,2015-04-17,2015-04-17T11:00:00+00:00,IRCANTEC,49|44|75,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Prestations de services,création d'un dispositif d'information plurimédia de l'ircantec à Angers,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31641,legacy,None,None|72413000|JA09|79810000,,49939,Angers,800000.0,12.0,DUREE_MOIS,,
15-45725,2015-03-26,2015-04-24,,Ville du Mans,72,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (prestations de services),abonnement à une base de données avec acquisition de licences d'accès simultanés et fourniture de notices bibliographiques pour la médiathèque Louis Aragon au Mans,ELECTRE,14-194936,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-45725,legacy,72320000,72320000,,72039,LE MANS,,,,2015-03-17,
15-31797,2015-03-04,2015-04-14,2015-04-14T15:00:00+00:00,ACOSS,93|44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Maintenance,acquisition d'une prestation de maintenance et d'assistance technique d'une solution permettant la rationalisation des accès aux machines sensibles et equipements de sécurité à Montreuil,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-31797,legacy,72500000,72500000,,93100,Montreuil,,12.0,DUREE_MOIS,,
15-47899,2015-03-31,2015-05-30,,SDIS du Maine et Loire,49,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Informatique (prestations de services)|Logiciel,"acquisition, installation et maintenance de solutions informatiques de gestion dématérialisée du courrier et d'un parapheur électronique à Beaucouzé",Digitech,14-189541,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-47899,legacy,48223000,48223000,,49071,Beaucouzé,33263.33,,,2015-03-13,
15-33241,2015-03-05,2015-04-20,2015-04-20T15:00:00+00:00,CHU de Nantes,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,FOURNITURES,5|1|,Interphone|Maintenance|Matériel de transmission,acquisition et maintenance d'un système d'appel malade pour la maison de pirmil sur le site de l'hôpital Saint Jacques à Nantes,,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-33241,legacy,32510000,32510000,,44093,Nantes,,,,,
15-21639,2015-04-13,2015-05-11,,Nantes Métropole,44,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Informatique (prestations de services),"Tierce maintenance applicative sur les nouvelles technologies pour le compte du groupement de commandes informatiques Nantes Métropole, Ville de Nantes et son CCAS",Groupe Onepoint,14-161242,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-21639,legacy,72250000,72250000,,44923,Nantes cedex 9,,,,2015-03-26,2014-10-25
15-33752,2015-03-06,2015-04-15,2015-04-15T12:00:00+00:00,Conseil régional des Pays de la Loire,44,JOUE,APPEL_OFFRE,Avis de marché,OUVERT,SERVICES,5|1|,Informatique (prestations de services)|Internet,"gestion des communautés web, à Nantes",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-33752,legacy,72310000,72310000,,44966,Nantes cedex 9,,,,,
15-10829,2015-04-13,2015-05-10,,Nantes Métropole,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,SERVICES,|10|6,Informatique (matériel)|Informatique (prestations de services),"acquisition d'une plateforme de solutions informatiques mobiles pour les équipes de terrain de l'agglomération, à Nantes",Daxium,14-94095,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-10829,legacy,48000000,48000000,,44923,Nantes cedex 9,155310.0,,,2015-02-26,
15-34520,2015-03-06,2015-04-09,2015-04-09T16:00:00+00:00,CHU d'Angers,49,FNS,APPEL_OFFRE,Avis de marché,PROCEDURE_ADAPTE,FOURNITURES,5|1|,Matériel de transmission|Pièces détachées,"Fourniture de pièces détachées et accessoires pour appel-malades, interphonie et matériels assimilés pour le CHU à Angers",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-34520,legacy,32360000,32360000,,49933,Angers,,,,,
15-68640,2015-05-04,2015-06-03,,Ville de Saint Sébastien sur Loire,44,FNS,ATTRIBUTION,Résultat de marché,PROCEDURE_ADAPTE,,|10|6,Informatique (matériel),renouvellement - évolution du socle technique du système d'information à Saint-Sébastien-Sur-Loire,ILIANE,15-15992,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-68640,legacy,48822000,48822000,,44230,Saint-sébastien-sur-loire,150444.0,,,2015-04-27,
15-37182,2015-03-11,2015-03-20,2015-04-07T14:30:00+00:00,MINDEF/DGA/DT/SCAT,18|49|92,JOUE,APPEL_OFFRE,Avis de marché,NEGOCIE,,5|1|,Armement|Equipements spécialisés,"acquisition de capteurs pour des mesures d'accélération, y compris accessoires et prestations d'étalonnage, à Bourges",,,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-37182,legacy,35125100,35125100,,18021,Bourges cedex,,48.0,DUREE_MOIS,,
15-72945,2015-05-12,2015-06-11,,Ville du Mans,72,JOUE,ATTRIBUTION,Résultat de marché,OUVERT,SERVICES,|10|6,Logiciel,mise en place d'un logiciel de supervision des équipements d'intrusion et de contrôle d'accès ainsi que sa maintenance au Mans,BARBE DEVAUX,14-96520|14-115505,,INITIAL,https://www.boamp.fr/pages/avis/?q=idweb:15-72945,legacy,72212900,72212900,,72039,LE MANS,,,,2015-04-30,2014-06-28
