buyer_key,boamp_siret,boamp_name,source_b,decp_siret,decp_name,source_d
NAME:44,,SDIS 44,BOAMP,,,
NAME:85,,SDIS 85,BOAMP,,,
NAME:acoss,,ACOSS,BOAMP,,,
NAME:ademe,,ADEME,BOAMP,,,
NAME:agce pour l enst fr a l etranger,,AGCE POUR L ENST FR A L ETRANGER,BOAMP,,,
NAME:agence regionale pays de la loire ti,,Agence Régionale Pays de la Loire TI,BOAMP,,,
NAME:angers loire metropole,,Angers Loire Métropole,BOAMP,,,
NAME:arafer,,ARAFER,BOAMP,,,
NAME:association songo,,association songo,BOAMP,,,
NAME:autorite regulation activites ferrovia,,AUTORITE REGULATION ACTIVITES FERROVIA,BOAMP,,,
NAME:bouaye,,COMMUNE DE BOUAYE,BOAMP,,,
NAME:bouguenais,,Ville de Bouguenais,BOAMP,,,
NAME:ca pornic agglo pays de retz,,CA PORNIC AGGLO PAYS DE RETZ,BOAMP,,,
NAME:caf de la somme,,CAF de la Somme,BOAMP,,,
NAME:cap atlantique,,CAP ATLANTIQUE,BOAMP,,,
NAME:carene,,CARENE,BOAMP,,,
NAME:carquefou,,Ville de Carquefou,BOAMP,,,
NAME:cc ocean marais de monts,,CC Océan Marais de Monts,BOAMP,,,
NAME:cci nantes saint nazaire,,CCI Nantes Saint-Nazaire,BOAMP,,,
NAME:cci pays de la loire,,CCI Pays de la Loire,BOAMP,,,
NAME:ccir pays de la loire,,CCIR Pays de la Loire,BOAMP,,,
NAME:cdc du pays de saint gilles cx de vie,,CDC du Pays de Saint Gilles Cx de Vie,BOAMP,,,
NAME:cenovia cites,443928874,CENOVIA CITES,BOAMP,,,
NAME:centre de gestion de la fonction publi,,CENTRE DE GESTION DE LA FONCTION PUBLI,BOAMP,,,
NAME:cesson sevigne,,COMMUNE DE CESSON SEVIGNE,BOAMP,,,
NAME:cg49,,CG49,BOAMP,,,
NAME:chambre agriculture pays de la loire,,Chambre Agriculture Pays de la Loire,BOAMP,,,
NAME:chd vendee,,CHD VENDEE,BOAMP,,,
NAME:cholet,,Ville de Cholet,BOAMP,,,
NAME:cif gie geipci,,CIF GIE GEIPCI,BOAMP,,,
NAME:cnieg,,CNIEG,BOAMP,,,
NAME:com communes du pays d ancenis,,Com Communes du Pays d'Ancenis,BOAMP,,,
NAME:com d agglo reg nazairienne estuaire,,COM D AGGLO REG NAZAIRIENNE ESTUAIRE,BOAMP,,,
NAME:comcom des vallees du haut anjou,,ComCom des Vallées du Haut-Anjou,BOAMP,,,
NAME:communaute communes la chataigneraie,,Communauté Communes La Chataigneraie,BOAMP,,,
NAME:communaute d agglomeration du niortais,,Communauté d'agglomération du Niortais,BOAMP,,,
NAME:commune d ancenis saint gereon,,Commune d'Ancenis-Saint-Géréon,BOAMP,,,
NAME:commune des herbiers,,Commune des Herbiers,BOAMP,,,
NAME:commune les sables d olonne,,COMMUNE LES SABLES D OLONNE,BOAMP,,,
NAME:communes baugeois vallee,,Communauté de communes BAUGEOIS VALLEE,BOAMP,,,
NAME:communes de grand lieu,,Communauté de Communes de Grand Lieu,BOAMP,,,
NAME:communes du perche,,Communauté de Communes du Perche,BOAMP,,,
NAME:comsopgn,,COMSOPGN,BOAMP,,,
NAME:concarneau cornouaille agglomeration,,Concarneau Cornouaille Agglomération,BOAMP,,,
NAME:conseil general de la sarthe,,Conseil Général de la Sarthe,BOAMP,,,
NAME:conseil general de la vendee,,Conseil général de la Vendée,BOAMP,,,
NAME:conseil general de loire atlantique,,Conseil général de Loire-Atlantique,BOAMP,,,
NAME:coueron,,Mairie de Coueron,BOAMP,,,
NAME:cte cnes coeur d estuaire,,Cté Cnes Coeur d'Estuaire,BOAMP,,,
NAME:cte de cnes de l ile de noirmoutier,,Cté de Cnes de l'Ile de Noirmoutier,BOAMP,,,
NAME:cte de cnes du pays d ancenis,,Cté de Cnes du Pays d'Ancenis,BOAMP,,,
NAME:cte de communes d erdre et gesvres,,Cté de Communes d'Erdre et Gesvres,BOAMP,,,
NAME:cte de communes de la blain,,Cté de Communes de la Région de Blain,BOAMP,,,
NAME:cte de communes du pays des herbiers,,Cté de Communes du Pays des Herbiers,BOAMP,,,
NAME:ctre hosp universitaire angers,,CTRE HOSP UNIVERSITAIRE ANGERS,BOAMP,,,
NAME:ctre national d enst a distance,,CTRE NATIONAL D ENST A DISTANCE,BOAMP,,,
NAME:d angers,,CHU d'Angers,BOAMP,,,
NAME:de cholet,,Centre Hospitalier de Cholet,BOAMP,,,
NAME:de la mayenne,,Sdis de la Mayenne,BOAMP,,,
NAME:de la sarthe,,SDIS de la Sarthe,BOAMP,,,
NAME:de laval 53,,Centre Hospitalier de Laval (53),BOAMP,,,
NAME:de loire atlanti,,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTI,BOAMP,,,
