uid,acheteur_id,cpv_div2,source_date_notification,declared_duration_months,renewal_uid,event,observed_duration_months,gap_months,text_similarity,match_score,is_censored,censoring_date
214401622000112018v-XOnDSodM00,21440162200011,72,2018-03-14,48.0,214401622000112022h0JYa7inW200,1,48.49,48.49,0.824,0.852,0,
214401622000112019MqNgfeQtj300,21440162200011,72,2019-03-13,48.0,214401622000112023NXt3Q2OHpC00,1,48.26,48.26,0.778,0.832,0,
214401622000112019TLnx5fkSai00,21440162200011,72,2019-03-28,48.0,214401622000112023NXt3Q2OHpC00,1,47.77,47.77,1.0,0.988,0,
214401622000112019_MMeN7kSxq00,21440162200011,72,2019-04-01,48.0,214401622000112023MO2IpRdiwf00,1,47.83,47.83,0.684,0.771,0,
214401622000112019QX8fhqF8LM00,21440162200011,72,2019-04-04,48.0,214401622000112023MO2IpRdiwf00,1,47.73,47.73,1.0,0.987,0,
214401622000112019Z7_2jGlUZ400,21440162200011,72,2019-06-14,43.0,214401622000112022BegYPV6rjL00,1,42.05,42.05,0.882,0.87,0,
2144016220001120191C2kLv9K3k00,21440162200011,72,2019-06-18,48.0,214401622000112023FyHxxA73ZB00,1,46.94,46.94,0.833,0.831,0,
2144016220001120194J4fGNmkUV00,21440162200011,72,2019-06-20,48.0,214401622000112023FyHxxA73ZB00,1,46.88,46.88,0.429,0.544,0,
214401622000112019-MvpeeTJfI00,21440162200011,72,2019-06-20,48.0,214401622000112023FyHxxA73ZB00,1,46.88,46.88,0.609,0.67,0,
214401622000112019hkGAK9XfVk00,21440162200011,72,2019-07-11,48.0,214401622000112023qNCSPNCDtt00,1,48.69,48.69,0.577,0.67,0,
214401622000112019Vd6GOpajq100,21440162200011,72,2019-10-25,48.0,,0,62.22,,,,1,2024-12-31
214401622000112019aK9M0nR5Th00,21440162200011,72,2020-02-10,48.0,214401622000112024DGndusCkB800,1,49.97,49.97,0.462,0.525,0,
214401622000112019WigFdUrVoQ00,21440162200011,72,2020-03-20,48.0,214401622000112024wFSZPFfTLV00,1,47.83,47.83,0.938,0.948,0,
2144016220001120200BplL6KvvM00,21440162200011,72,2020-03-20,48.0,214401622000112024wFSZPFfTLV00,1,47.83,47.83,0.722,0.797,0,
214401622000112020GtYZbncGAI00,21440162200011,72,2020-06-12,48.0,214401622000112024wFSZPFfTLV00,1,45.07,45.07,0.722,0.659,0,
21440162200011202042FN3RTcjM00,21440162200011,72,2020-10-29,16.0,,0,50.07,,,,1,2024-12-31
214401622000112020yYLrg85GrZ00,21440162200011,72,2020-11-25,48.0,2144016220001120242AG_e1A-O700,1,47.34,47.34,0.778,0.811,0,
214401622000112020CWEQEWSebi02,21440162200011,72,2020-11-25,48.0,214401622000112024K-P0rgdsDS00,1,49.18,49.18,0.737,0.757,0,
214401622000112020CWEQEWSebi00,21440162200011,72,2020-11-25,48.0,214401622000112024K-P0rgdsDS00,1,49.18,49.18,0.737,0.757,0,
214401622000112020njI6F8VEK200,21440162200011,72,2020-12-01,48.0,2144016220001120242AG_e1A-O700,1,47.14,47.14,0.882,0.875,0,
214401622000112020ywnvaNYW7w00,21440162200011,72,2020-12-21,48.0,,0,48.32,,,,1,2024-12-31
214401622000112020wmLHx_NL2_00,21440162200011,72,2020-12-21,48.0,2144016220001120242XTy0PCROT00,1,47.01,47.01,0.357,0.501,0,
214401622000112020sFJyN6kt8w00,21440162200011,72,2020-12-21,48.0,,0,48.32,,,,1,2024-12-31
214401622000112020xP0zEZ3BBB00,21440162200011,72,2021-01-07,48.0,214401622000112024K-P0rgdsDS00,1,47.77,47.77,0.684,0.767,0,
214401622000112021Qf-lXH7iEA00,21440162200011,72,2021-03-25,48.0,214401622000112024K-P0rgdsDS00,1,45.24,45.24,0.778,0.706,0,
214401622000112021etTL2dARdD00,21440162200011,72,2021-06-07,48.0,214401622000112024K-P0rgdsDS00,1,42.81,42.81,0.778,0.585,0,
214401622000112021vWlL2KxPom00,21440162200011,72,2021-08-03,48.0,,0,40.93,,,,1,2024-12-31
214401622000112021C1bFoLmNaW00,21440162200011,72,2021-08-03,48.0,,0,40.93,,,,1,2024-12-31
2144016220001120215dEfnWsESM00,21440162200011,72,2021-10-25,48.0,,0,38.21,,,,1,2024-12-31
214401622000112021h4S-HEKQt500,21440162200011,72,2021-11-03,48.0,,0,37.91,,,,1,2024-12-31
2144016220001120219BDOOYsNCb00,21440162200011,72,2021-11-21,48.0,,0,37.32,,,,1,2024-12-31
214401622000112021P1QjfK1gir00,21440162200011,72,2021-12-14,48.0,,0,36.56,,,,1,2024-12-31
214401622000112022an_3PQnNPD00,21440162200011,72,2022-01-18,48.0,,0,35.41,,,,1,2024-12-31
214401622000112022iQEFi03R9Z00,21440162200011,72,2022-02-16,48.0,,0,34.46,,,,1,2024-12-31
214401622000112022ej6fyIpmSS00,21440162200011,72,2022-02-23,48.0,,0,34.23,,,,1,2024-12-31
214401622000112022h0JYa7inW200,21440162200011,72,2022-03-29,48.0,,0,33.11,,,,1,2024-12-31
214401622000112022BegYPV6rjL00,21440162200011,72,2022-12-15,48.0,,0,24.54,,,,1,2024-12-31
214401622000112023qMhTRpHwqC00,21440162200011,72,2023-01-05,48.0,,0,23.85,,,,1,2024-12-31
214401622000112023BBywQeIeff00,21440162200011,72,2023-02-16,36.0,,0,22.47,,,,1,2024-12-31
214401622000112023NXt3Q2OHpC00,21440162200011,72,2023-03-21,48.0,,0,21.39,,,,1,2024-12-31
214401622000112023MO2IpRdiwf00,21440162200011,72,2023-03-27,48.0,,0,21.19,,,,1,2024-12-31
214401622000112023FyHxxA73ZB00,21440162200011,72,2023-05-17,48.0,,0,19.51,,,,1,2024-12-31
214401622000112023qNCSPNCDtt00,21440162200011,72,2023-08-01,48.0,,0,17.02,,,,1,2024-12-31
214401622000112024D6AJxOJlni00,21440162200011,72,2024-01-02,48.0,,0,11.96,,,,1,2024-12-31
214401622000112024wFSZPFfTLV00,21440162200011,72,2024-03-15,48.0,,0,9.56,,,,1,2024-12-31
21440162200011202433fIDtexH_00,21440162200011,72,2024-03-15,48.0,,0,9.56,,,,1,2024-12-31
214401622000112024DGndusCkB800,21440162200011,72,2024-04-10,48.0,,0,8.71,,,,1,2024-12-31
214401622000112024B0d-Yvh3G900,21440162200011,72,2024-06-17,48.0,,0,6.47,,,,1,2024-12-31
2144016220001120242AG_e1A-O700,21440162200011,72,2024-11-05,48.0,,0,1.84,,,,1,2024-12-31
214401622000112024GjE2AdRXaH00,21440162200011,72,2024-11-21,48.0,,0,1.31,,,,1,2024-12-31
214401622000112024EkxM2rCECS00,21440162200011,72,2024-11-21,48.0,,0,1.31,,,,1,2024-12-31
2144016220001120242XTy0PCROT00,21440162200011,72,2024-11-21,48.0,,0,1.31,,,,1,2024-12-31
214401622000112024K-P0rgdsDS00,21440162200011,72,2024-12-31,48.0,,0,0.0,,,,1,2024-12-31
244400552000262019PAREFEU00,24440055200026,48,2020-03-11,48.0,244400552000262021-832026-00,1,50.62,50.62,0.304,0.382,0,
24440055200026202074831800,24440055200026,48,2020-10-21,48.0,,0,50.33,,,,1,2024-12-31
24440055200026202180046200,24440055200026,48,2021-05-06,84.0,,0,43.86,,,,1,2024-12-31
24440055200026202180046300,24440055200026,48,2021-06-04,108.0,,0,42.9,,,,1,2024-12-31
24440055200026202183202600,24440055200026,48,2021-09-08,72.0,,0,39.75,,,,1,2024-12-31
24440055200026202287528100,24440055200026,48,2022-06-17,96.0,,0,30.49,,,,1,2024-12-31
2444005520002624990833,24440055200026,48,2024-01-26,1.0,,0,11.17,,,,1,2024-12-31
244400552000262021-832026-00,24440055200026,48,2024-05-30,72.0,,0,7.06,,,,1,2024-12-31
2444005520002624-1029138,24440055200026,48,2024-06-03,36.0,,0,6.93,,,,1,2024-12-31
2444005520002624-1029301,24440055200026,48,2024-06-03,36.0,,0,6.93,,,,1,2024-12-31
2444005520002624-1057430,24440055200026,48,2024-11-18,48.0,,0,1.41,,,,1,2024-12-31
2444005520002625-1065514,24440055200026,48,2024-12-31,48.0,,0,0.0,,,,1,2024-12-31
200033298000152024M01524,20003329800015,72,2024-11-06,48.0,,0,1.81,,,,1,2024-12-31
200033298000152024M01524000000,20003329800015,72,2024-11-06,8.0,,0,1.81,,,,1,2024-12-31
200033298000152024M02124000000,20003329800015,72,2024-12-27,48.0,,0,0.13,,,,1,2024-12-31
244900015000112021G21039P00000,24490001500011,72,2021-07-22,60.0,,0,41.33,,,,1,2024-12-31
244900015000112021A21081P00000,24490001500011,72,2021-07-29,48.0,,0,41.1,,,,1,2024-12-31
244900015000112021A21114P00000,24490001500011,72,2021-10-15,12.0,,0,38.53,,,,1,2024-12-31
244900015000112021A21124P00000,24490001500011,72,2021-10-22,60.0,,0,38.3,,,,1,2024-12-31
244900015000112021G21061P00000,24490001500011,72,2021-11-23,60.0,,0,37.25,,,,1,2024-12-31
24490001500011202271s3l0000000,24490001500011,72,2022-04-05,12.0,,0,32.88,,,,1,2024-12-31
244900015000112022G22065P00000,24490001500011,72,2022-07-26,26.0,,0,29.2,,,,1,2024-12-31
244900015000112023G23003P02,24490001500011,72,2023-01-20,18.0,,0,23.36,,,,1,2024-12-31
244900015000112023G23003P01,24490001500011,72,2023-01-20,18.0,,0,23.36,,,,1,2024-12-31
244900015000112023G23003P00,24490001500011,72,2023-01-20,18.0,,0,23.36,,,,1,2024-12-31
244900015000112022G22089P00,24490001500011,72,2023-02-10,48.0,,0,22.67,,,,1,2024-12-31
244900015000112023A23010P00,24490001500011,72,2023-03-06,24.0,,0,21.88,,,,1,2024-12-31
244900015000112022G22090P00,24490001500011,72,2023-03-30,48.0,,0,21.09,,,,1,2024-12-31
244900015000112023G23019P00,24490001500011,72,2023-05-22,48.0,,0,19.35,,,,1,2024-12-31
244900015000112023A23030P00,24490001500011,72,2023-06-05,36.0,,0,18.89,,,,1,2024-12-31
244900015000112023G23034P00,24490001500011,72,2023-06-06,24.0,,0,18.86,,,,1,2024-12-31
244900015000112023ld51u0000000,24490001500011,72,2023-06-26,24.0,,0,18.2,,,,1,2024-12-31
244900015000112023G23030P01,24490001500011,72,2023-06-28,48.0,,0,18.13,,,,1,2024-12-31
244900015000112023G23030P00,24490001500011,72,2023-06-28,48.0,,0,18.13,,,,1,2024-12-31
2449000150001120238nphe0000000,24490001500011,72,2023-07-04,12.0,,0,17.94,,,,1,2024-12-31
244900015000112023G23003P03,24490001500011,72,2023-07-06,18.0,,0,17.87,,,,1,2024-12-31
244900015000112023G23055P00000,24490001500011,72,2023-07-19,48.0,,0,17.44,,,,1,2024-12-31
244900015000112023A23032P00000,24490001500011,72,2023-07-19,72.0,,0,17.44,,,,1,2024-12-31
244900015000112023G23001P00,24490001500011,72,2023-09-28,48.0,,0,15.11,,,,1,2024-12-31
244900015000112023A23108P00,24490001500011,72,2023-10-12,37.0,,0,14.65,,,,1,2024-12-31
244900015000112023A23113P00,24490001500011,72,2023-12-01,72.0,,0,13.01,,,,1,2024-12-31
