uid,id,nature,objet,codeCPV,procedure,dureeMois,dateNotification,datePublicationDonnees,montant,offresRecues,donneesActuelles,sourceDataset,acheteur_id,acheteur_nom,acheteur_departement_code,acheteur_categorie,titulaire_id,titulaire_typeIdentifiant,titulaire_nom,lieuExecution_code,lieuExecution_typeCode
214401622000112024K-P0rgdsDS00,2024K-P0rgdsDS00,Marché,"TIERCE MAINTENANCE APPLICATIVE DU LOGICIEL CAP COLLECTIF AINSI QUE DES PRESTATIONS ET FOURNITURES PONCTUELLES POUR LA MAIRIE DE SAINT-HERBLAIN
",72267000,Marché passé sans publicité ni mise en concurrence préalable,48.0,2024-12-31,2025-03-13,140000.0,1.0,True,aife_dume,21440162200011,COMMUNE DE SAINT-HERBLAIN (MAIRIE),44,Commune,80337757100044,SIRET,CAP COLLECTIF,44,Code département
2444005520002625-1065514,25-1065514,Marché,Marché négocié sans publicité et sans mise en concurrence relatif à la location et la maintenance d’un logiciel métier pour la gestion des usagers soumis à la redevance gestion des déchets de la Communauté de Communes du Pays d’Ancenis (COMPA),48000000,Procédure adaptée,48.0,2024-12-31,2025-01-16,174400.0,1.0,True,e-marchespublics.com_dematis,24440055200026,COMMUNAUTE DE COMMUNES DU PAYS D'ANCENIS,44,Groupement de communes,42050508300030,SIRET,TRADIM,44150,Code postal
200033298000152024M02124000000,2024M02124000000,Marché,Prestations d’utilisation d’une plateforme SME Système Management Energétique,72314000,Procédure adaptée,48.0,2024-12-27,2025-01-29,80000.0,,True,scrap_marches-securises.fr,20003329800015,COMMUNAUTE DE COMMUNES DES COEVRONS,53,Groupement de communes,53380571900036,SIRET,EVELER,53600,Code postal
244900015000112024A24129P,2024A24129P,Marché,MAINTENANCE DU LOGICIEL IWS MAIRIE 5/5 ET PRESTATIONS ASSOCIEES,72267000,Procédure adaptée,60.0,2024-12-26,2025-01-06,220999.0,1.0,True,pes_marche_2024,24490001500011,COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,49,Groupement de communes,38908006000079,SIRET,ISILOG,49000,Code postal
244900015000112024A24130P,2024A24130P,Marché,MAINTENANCE DU LOGICIEL IWS GESTION DE PARC ET PRESTATIONS ASSOCIEES,72267000,Procédure adaptée,60.0,2024-12-26,2025-01-07,220999.0,1.0,True,pes_marche_2024,24490001500011,COMMUNAUTE URBAINE ANGERS LOIRE METROPOLE,49,Groupement de communes,38908006000079,SIRET,ISILOG,49000,Code postal
224400028000112024S00023,2024S00023,Marché,"Maintenance, évolution et assistance de la solution logicielle Visual Tom",72261000,Marché passé sans publicité ni mise en concurrence préalable,48.0,2024-12-24,2024-12-29,250000.0,1.0,True,atexo_loire_atlantique,22440002800011,DEPARTEMENT DE LA LOIRE-ATLANTIQUE,44,Département,35328156100046,SIRET,ABSYSS,44,Code département
214900151000172024V23000000100,2024V23000000100,Marché,Mise en place et déploiement d’une solution informatique de Gestion de Maintenance Assisté par Ordinateur (GMAO) pour la commune d’Avrillé,48421000,Procédure adaptée,12.0,2024-12-23,2025-06-19,39900.0,3.0,True,aife_dume,21490015100017,COMMUNE D'AVRILLE (MAIRIE),49,Commune,32294252500047,SIRET,AS-TECH SOLUTIONS,49240,Code postal
21720181300011202312998,202312998,Marché,Acquisition de documents sonores et audiovisuels - supports préenregistrés son et images destinés à tous publics du réseau des médiathèques de la ville du Mans - Années 2024 à 2027,32354500,Appel d'offres ouvert,48.0,2024-12-22,2024-02-15,120000.0,4.0,True,aws_marches-publics.info,21720181300011,COMMUNE DU MANS (MAIRIE),72,Commune,34841061400021,SIRET,COLLECTIVITE VIDEO SERVICES,72000,Code postal
2172018130001120231299800,20231299800,Marché,Acquisition de documents sonores et audiovisuels - supports préenregistrés son et images destinés à tous publics du réseau des médiathèques de la ville du Mans - Années 2024 à 2027,32354500,Appel d'offres ouvert,48.0,2024-12-22,2024-02-15,120000.0,4.0,True,scrap_marches-publics.info,21720181300011,COMMUNE DU MANS (MAIRIE),72,Commune,,,,72000,Code postal
21440184600016202403180919,202403180919,Marché,CONTRAT DE MAINTENANCE DU PROGICIEL ATAL ET E-ATAL ET PRESTATIONS ASSOCIEES,48219300,Marché passé sans publicité ni mise en concurrence préalable,48.0,2024-12-20,2025-02-17,42500.0,1.0,True,pes_marche_2024,21440184600016,COMMUNE DE SAINT-NAZAIRE (MAIRIE),44,Commune,75580064600373,SIRET,BERGER LEVRAULT,44184,Code commune
