contract_id,source,buyer_key,cpv_div2,category_id,category_label,start_date,declared_duration_months,event,observed_duration_months,amount_clean,link_method,renewal_contract_id
BOAMP:15-30947,BOAMP,NAME:smictom de la vallee de l authion,48.0,CAT01,Software & Applications,2015-03-02,12.0,0,118.0,150000.0,none,
BOAMP:15-31464,BOAMP,NAME:de la mayenne,,CAT_UNKNOWN,Unknown,2015-03-02,36.0,0,118.0,,none,
BOAMP:15-31513,BOAMP,NAME:reze,38.0,CAT_UNKNOWN,Unknown,2015-03-02,48.0,0,118.0,,none,
BOAMP:15-20937,BOAMP,NAME:nantes,44.0,CAT_UNKNOWN,Unknown,2015-03-03,48.0,1,47.17,,boamp_jaccard,BOAMP:19-17307
BOAMP:15-31641,BOAMP,NAME:ircantec,,CAT08,Data & AI,2015-03-04,12.0,0,117.94,800000.0,none,
BOAMP:15-31797,BOAMP,NAME:acoss,72.0,CAT02,IT Services & Consulting,2015-03-04,12.0,0,117.94,,none,
BOAMP:15-34520,BOAMP,NAME:d angers,32.0,CAT04,Telecom & Networks,2015-03-06,48.0,0,117.87,,none,
BOAMP:15-37182,BOAMP,NAME:mindef dga dt scat,35.0,CAT03,Cybersecurity,2015-03-11,48.0,0,117.71,,none,
BOAMP:15-42843,BOAMP,NAME:cte de cnes de l ile de noirmoutier,72.0,CAT02,IT Services & Consulting,2015-03-24,48.0,0,117.28,,none,
BOAMP:15-44999,BOAMP,NAME:conseil general de la vendee,39.0,CAT03,Cybersecurity,2015-03-24,48.0,0,117.28,,none,
BOAMP:15-47591,BOAMP,NAME:ville d angers,32.0,CAT04,Telecom & Networks,2015-03-27,36.0,0,117.18,,none,
BOAMP:15-47696,BOAMP,NAME:ministere des affaires etrangeres,72.0,CAT02,IT Services & Consulting,2015-03-30,48.0,0,117.08,,none,
BOAMP:15-31076,BOAMP,NAME:la roche sur yon,35.0,CAT03,Cybersecurity,2015-04-01,48.0,0,117.02,,none,
BOAMP:15-50314,BOAMP,NAME:ministere des affaires etrangeres,72.0,CAT02,IT Services & Consulting,2015-04-02,48.0,0,116.98,,none,
BOAMP:15-51571,BOAMP,NAME:residences saint alexandre,48.0,CAT01,Software & Applications,2015-04-07,48.0,0,116.82,,none,
BOAMP:15-52664,BOAMP,NAME:ministere des affaires etrangeres,72.0,CAT02,IT Services & Consulting,2015-04-08,48.0,0,116.79,,none,
BOAMP:15-53947,BOAMP,NAME:saint herblain,48.0,CAT01,Software & Applications,2015-04-10,48.0,0,116.72,,none,
BOAMP:15-54892,BOAMP,NAME:85,32.0,CAT04,Telecom & Networks,2015-04-10,48.0,0,116.72,,none,
BOAMP:15-54272,BOAMP,NAME:de cholet,,CAT_UNKNOWN,Unknown,2015-04-10,44.0,0,116.72,,none,
BOAMP:15-54977,BOAMP,NAME:conseil general de la sarthe,64.0,CAT07,Digital Workplace & Collaboration,2015-04-13,48.0,0,116.62,,none,
BOAMP:15-55213,BOAMP,NAME:ville du croisic,32.0,CAT04,Telecom & Networks,2015-04-13,12.0,0,116.62,,none,
BOAMP:15-56649,BOAMP,NAME:des pays de la loire,72.0,CAT02,IT Services & Consulting,2015-04-14,12.0,1,5.81,,boamp_jaccard,BOAMP:15-92588
