notice_id,scenario,role,buyer_id,buyer_name,buyer_key,object,cpv,category,need_id,start_date,declared_duration_months,duration_missing_flag,estimated_end_date,true_event,true_source_id,candidate_type,noise_types_applied,large_buyer_flag
SYN_EASY_SRC_00000,easy,source,B0334,Communauté de communes du Pays d'Ancenis 334,NAME:communes pays d ancenis 334,prestations d'audit de sécurité du système d'information,79417000,Cybersecurity,audit sécurité SI,2019-08-30,36.0,0,2022-08-29,0,SYN_EASY_SRC_00000,source,none,False
SYN_EASY_SRC_00001,easy,source,B0013,Syndicat mixte numérique,NAME:syndicat mixte numerique,assistance à maîtrise d'ouvrage numérique,71356300,AMOA numérique,AMOA numérique,2018-11-01,48.0,0,2022-11-01,0,SYN_EASY_SRC_00001,source,none,False
SYN_EASY_SRC_00002,easy,source,B0101,SDIS 44 101,NAME:sdis 44 101,hébergement cloud et infogérance de plateformes numériques dans le cadre d'un accord-cadre,48820000,Cloud & Infrastructure,hébergement cloud,2018-07-14,72.0,0,2024-07-13,0,SYN_EASY_SRC_00002,source,none,False
SYN_EASY_SRC_00003,easy,source,B0121,Ville du Mans 121,NAME:mans 121,services de télécommunications fixes et mobiles pour plusieurs sites,64200000,Telecom & Networks,télécommunications,2018-05-19,,1,2022-05-19,1,SYN_EASY_SRC_00003,source,missing_duration,False
SYN_EASY_TRUE_00003,easy,candidate,B0121,Ville du Mans 121,NAME:mans 121,services de télécommunications fixes et mobiles,64200000,Telecom & Networks,télécommunications,2022-06-23,,1,,0,SYN_EASY_SRC_00003,true_recurrence,none,False
SYN_EASY_SRC_00004,easy,source,B0013,Syndicat mixte numérique,NAME:syndicat mixte numerique,"prestations data, BI et cartographie décisionnelle incluant support, formation et maintenance",72212326,Data / BI / Cartography,data BI cartographie,2018-01-05,12.0,0,2019-01-05,1,SYN_EASY_SRC_00004,source,none,False
SYN_EASY_TRUE_00004,easy,candidate,B0013,Syndicat mixte numérique,NAME:syndicat mixte numerique,"prestations data, BI et cartographie décisionnelle incluant support, formation et maintenance",72212326,Data / BI / Cartography,data BI cartographie,2019-01-27,,1,,0,SYN_EASY_SRC_00004,true_recurrence,none,False
SYN_EASY_SRC_00005,easy,source,B0085,Commune de Cholet 085,NAME:cholet 085,maintenance du logiciel métier ressources humaines avec prestations associées,48000000,Software & Applications,maintenance logiciel métier,2016-05-01,24.0,0,2018-05-01,0,SYN_EASY_SRC_00005,source,none,False
SYN_EASY_FALSE_00005_00,easy,candidate,B0002,Région Pays de la Loire,NAME:pays loire,prestations informatiques,48000000,Software & Applications,data BI cartographie,2020-11-30,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|generic_short_object|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,True
SYN_EASY_SRC_00006,easy,source,B0079,SDIS 85 079,NAME:sdis 85 079,prestations d'audit de sécurité du système d'information pour plusieurs sites,72810000,Cybersecurity,audit sécurité SI,2019-12-20,48.0,0,2023-12-20,0,SYN_EASY_SRC_00006,source,none,False
SYN_EASY_SRC_00007,easy,source,B0029,Ville du Mans 029,NAME:mans 029,"prestations data, BI et cartographie décisionnelle",38221000,Data / BI / Cartography,data BI cartographie,2016-07-27,6.0,0,2017-01-25,0,SYN_EASY_SRC_00007,source,none,False
SYN_EASY_FALSE_00007_00,easy,candidate,B0349,CHU de Nantes 349,NAME:nantes 349,"prestations d'audit de sécurité du système d'information incluant support, formation et maintenance",38221000,Data / BI / Cartography,audit sécurité SI,2019-01-10,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|same_broad_category_wrong_need|same_or_generic_cpv_wrong_need,False
SYN_EASY_FALSE_00007_01,easy,candidate,B0063,La Roche-sur-Yon Agglomération 063,NAME:roche sur yon agglomeration 063,prestations informatiques,72212732,Cybersecurity,audit sécurité SI,2021-06-20,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|generic_short_object,False
SYN_EASY_SRC_00008,easy,source,B0000,Ville de Nantes,NAME:nantes,développement d'une application web collaborative,,IT Services & Consulting,développement application web,2015-05-20,12.0,0,2016-05-19,0,SYN_EASY_SRC_00008,source,missing_cpv,True
SYN_EASY_SRC_00009,easy,source,B0003,Département de Loire-Atlantique,NAME:loire atlantique,"infogérance de l'infrastructure informatique incluant support, formation et maintenance",48820000,Cloud & Infrastructure,infogérance infrastructure,2018-02-07,48.0,0,2022-02-07,0,SYN_EASY_SRC_00009,source,none,True
SYN_EASY_FALSE_00009_00,easy,candidate,B0011,Ville de Saint-Nazaire,NAME:saint nazaire,"prestations data, BI et cartographie décisionnelle avec prestations associées",38221000,Data / BI / Cartography,data BI cartographie,2022-02-15,,1,,0,,false_candidate_other_buyer,different_buyer_similar_object|false_candidate|near_expected_end_wrong_need,False
SYN_EASY_SRC_00010,easy,source,B0080,Ville de Saint-Nazaire 080,NAME:saint nazaire 080,services de télécommunications fixes et mobiles dans le cadre d'un accord-cadre,32500000,Telecom & Networks,télécommunications,2019-06-24,12.0,0,2020-06-23,0,SYN_EASY_SRC_00010,source,none,False
SYN_EASY_SRC_00011,easy,source,B0019,Conseil départemental de la Sarthe,NAME:departemental sarthe,assistance à maîtrise d'ouvrage numérique pour les besoins des services,79411000,AMOA numérique,AMOA numérique,2018-03-21,,1,2022-03-21,1,SYN_EASY_SRC_00011,source,missing_duration,False
SYN_EASY_TRUE_00011,easy,candidate,B0019,Conseil départemental de la Sarthe,NAME:departemental sarthe,assistance à maîtrise d'ouvrage numérique avec prestations associées,79411000,AMOA numérique,AMOA numérique,2022-03-30,,1,,0,SYN_EASY_SRC_00011,true_recurrence,none,False
SYN_EASY_FALSE_00011_00,easy,candidate,B0019,Conseil départemental de la Sarthe,NAME:departemental sarthe,développement d'une application web collaborative,79411000,IT Services & Consulting,développement application web,2022-05-24,,1,,0,SYN_EASY_SRC_00011,false_candidate_same_buyer,false_candidate|near_expected_end_wrong_need|same_or_generic_cpv_wrong_need,False
