source_id,true_candidate_id,true_event,scenario,noise_types_applied
SYN_EASY_SRC_00000,,0,easy,none
SYN_EASY_SRC_00001,,0,easy,none
SYN_EASY_SRC_00002,,0,easy,none
SYN_EASY_SRC_00003,SYN_EASY_TRUE_00003,1,easy,missing_duration
SYN_EASY_SRC_00004,SYN_EASY_TRUE_00004,1,easy,none
SYN_EASY_SRC_00005,,0,easy,none
SYN_EASY_SRC_00006,,0,easy,none
SYN_EASY_SRC_00007,,0,easy,none
SYN_EASY_SRC_00008,,0,easy,missing_cpv
SYN_EASY_SRC_00009,,0,easy,none
SYN_EASY_SRC_00010,,0,easy,none
SYN_EASY_SRC_00011,SYN_EASY_TRUE_00011,1,easy,missing_duration
SYN_EASY_SRC_00012,,0,easy,none
SYN_EASY_SRC_00013,,0,easy,none
SYN_EASY_SRC_00014,SYN_EASY_TRUE_00014,1,easy,none
SYN_EASY_SRC_00015,,0,easy,none
SYN_EASY_SRC_00016,SYN_EASY_TRUE_00016,1,easy,none
SYN_EASY_SRC_00017,,0,easy,missing_duration
SYN_EASY_SRC_00018,SYN_EASY_TRUE_00018,1,easy,none
SYN_EASY_SRC_00019,SYN_EASY_TRUE_00019,1,easy,none
SYN_EASY_SRC_00020,SYN_EASY_TRUE_00020,1,easy,case_variation
SYN_EASY_SRC_00021,,0,easy,none
SYN_EASY_SRC_00022,SYN_EASY_TRUE_00022,1,easy,none
SYN_EASY_SRC_00023,,0,easy,none
SYN_EASY_SRC_00024,,0,easy,none
SYN_EASY_SRC_00025,SYN_EASY_TRUE_00025,1,easy,object_shortening
SYN_EASY_SRC_00026,,0,easy,none
SYN_EASY_SRC_00027,SYN_EASY_TRUE_00027,1,easy,none
SYN_EASY_SRC_00028,,0,easy,none
SYN_EASY_SRC_00029,SYN_EASY_TRUE_00029,1,easy,none
SYN_EASY_SRC_00030,,0,easy,none
SYN_EASY_SRC_00031,SYN_EASY_TRUE_00031,1,easy,none
SYN_EASY_SRC_00032,,0,easy,none
SYN_EASY_SRC_00033,SYN_EASY_TRUE_00033,1,easy,cpv_reclassification
SYN_EASY_SRC_00034,SYN_EASY_TRUE_00034,1,easy,none
SYN_EASY_SRC_00035,SYN_EASY_TRUE_00035,1,easy,buyer_abbreviation
SYN_EASY_SRC_00036,SYN_EASY_TRUE_00036,1,easy,none
SYN_EASY_SRC_00037,,0,easy,none
SYN_EASY_SRC_00038,,0,easy,missing_duration
SYN_EASY_SRC_00039,,0,easy,none
SYN_EASY_SRC_00040,SYN_EASY_TRUE_00040,1,easy,none
SYN_EASY_SRC_00041,SYN_EASY_TRUE_00041,1,easy,object_shortening
SYN_EASY_SRC_00042,,0,easy,none
SYN_EASY_SRC_00043,SYN_EASY_TRUE_00043,1,easy,cpv_reclassification
SYN_EASY_SRC_00044,SYN_EASY_TRUE_00044,1,easy,none
SYN_EASY_SRC_00045,SYN_EASY_TRUE_00045,1,easy,none
SYN_EASY_SRC_00046,,0,easy,none
SYN_EASY_SRC_00047,SYN_EASY_TRUE_00047,1,easy,none
SYN_EASY_SRC_00048,,0,easy,missing_duration
SYN_EASY_SRC_00049,,0,easy,none
SYN_EASY_SRC_00050,SYN_EASY_TRUE_00050,1,easy,none
SYN_EASY_SRC_00051,,0,easy,none
SYN_EASY_SRC_00052,SYN_EASY_TRUE_00052,1,easy,missing_cpv
SYN_EASY_SRC_00053,,0,easy,none
SYN_EASY_SRC_00054,,0,easy,none
SYN_EASY_SRC_00055,SYN_EASY_TRUE_00055,1,easy,none
SYN_EASY_SRC_00056,,0,easy,missing_duration
SYN_EASY_SRC_00057,,0,easy,none
SYN_EASY_SRC_00058,SYN_EASY_TRUE_00058,1,easy,generic_cpv_replacement
SYN_EASY_SRC_00059,SYN_EASY_TRUE_00059,1,easy,none
SYN_EASY_SRC_00060,,0,easy,none
SYN_EASY_SRC_00061,SYN_EASY_TRUE_00061,1,easy,none
SYN_EASY_SRC_00062,SYN_EASY_TRUE_00062,1,easy,missing_duration
SYN_EASY_SRC_00063,,0,easy,none
SYN_EASY_SRC_00064,SYN_EASY_TRUE_00064,1,easy,none
SYN_EASY_SRC_00065,,0,easy,none
SYN_EASY_SRC_00066,,0,easy,none
SYN_EASY_SRC_00067,SYN_EASY_TRUE_00067,1,easy,missing_duration
SYN_EASY_SRC_00068,,0,easy,none
SYN_EASY_SRC_00069,SYN_EASY_TRUE_00069,1,easy,none
SYN_EASY_SRC_00070,,0,easy,none
SYN_EASY_SRC_00071,SYN_EASY_TRUE_00071,1,easy,none
SYN_EASY_SRC_00072,SYN_EASY_TRUE_00072,1,easy,cpv_reclassification|missing_duration|object_shortening
SYN_EASY_SRC_00073,SYN_EASY_TRUE_00073,1,easy,none
SYN_EASY_SRC_00074,,0,easy,none
SYN_EASY_SRC_00075,SYN_EASY_TRUE_00075,1,easy,none
SYN_EASY_SRC_00076,SYN_EASY_TRUE_00076,1,easy,missing_duration
SYN_EASY_SRC_00077,,0,easy,none
SYN_EASY_SRC_00078,SYN_EASY_TRUE_00078,1,easy,none
SYN_EASY_SRC_00079,SYN_EASY_TRUE_00079,1,easy,cpv_reclassification
SYN_EASY_SRC_00080,SYN_EASY_TRUE_00080,1,easy,none
SYN_EASY_SRC_00081,SYN_EASY_TRUE_00081,1,easy,none
SYN_EASY_SRC_00082,SYN_EASY_TRUE_00082,1,easy,none
SYN_EASY_SRC_00083,,0,easy,none
SYN_EASY_SRC_00084,SYN_EASY_TRUE_00084,1,easy,none
SYN_EASY_SRC_00085,SYN_EASY_TRUE_00085,1,easy,none
SYN_EASY_SRC_00086,,0,easy,none
SYN_EASY_SRC_00087,SYN_EASY_TRUE_00087,1,easy,none
SYN_EASY_SRC_00088,,0,easy,none
SYN_EASY_SRC_00089,SYN_EASY_TRUE_00089,1,easy,missing_cpv|timing_outlier
SYN_EASY_SRC_00090,,0,easy,none
SYN_EASY_SRC_00091,,0,easy,none
SYN_EASY_SRC_00092,,0,easy,none
SYN_EASY_SRC_00093,,0,easy,none
SYN_EASY_SRC_00094,SYN_EASY_TRUE_00094,1,easy,missing_duration
SYN_EASY_SRC_00095,,0,easy,none
SYN_EASY_SRC_00096,SYN_EASY_TRUE_00096,1,easy,none
SYN_EASY_SRC_00097,,0,easy,none
SYN_EASY_SRC_00098,SYN_EASY_TRUE_00098,1,easy,none
SYN_EASY_SRC_00099,,0,easy,missing_duration
SYN_EASY_SRC_00100,SYN_EASY_TRUE_00100,1,easy,none
SYN_EASY_SRC_00101,SYN_EASY_TRUE_00101,1,easy,object_shortening|timing_outlier
SYN_EASY_SRC_00102,,0,easy,none
SYN_EASY_SRC_00103,SYN_EASY_TRUE_00103,1,easy,none
SYN_EASY_SRC_00104,SYN_EASY_TRUE_00104,1,easy,none
SYN_EASY_SRC_00105,,0,easy,none
SYN_EASY_SRC_00106,SYN_EASY_TRUE_00106,1,easy,none
SYN_EASY_SRC_00107,SYN_EASY_TRUE_00107,1,easy,none
SYN_EASY_SRC_00108,SYN_EASY_TRUE_00108,1,easy,none
SYN_EASY_SRC_00109,,0,easy,none
SYN_EASY_SRC_00110,SYN_EASY_TRUE_00110,1,easy,none
SYN_EASY_SRC_00111,SYN_EASY_TRUE_00111,1,easy,none
SYN_EASY_SRC_00112,,0,easy,none
SYN_EASY_SRC_00113,,0,easy,none
SYN_EASY_SRC_00114,,0,easy,none
SYN_EASY_SRC_00115,,0,easy,none
SYN_EASY_SRC_00116,SYN_EASY_TRUE_00116,1,easy,accent_removed|case_variation
SYN_EASY_SRC_00117,,0,easy,none
SYN_EASY_SRC_00118,,0,easy,none
SYN_EASY_SRC_00119,,0,easy,none
SYN_EASY_SRC_00120,SYN_EASY_TRUE_00120,1,easy,none
SYN_EASY_SRC_00121,,0,easy,missing_duration
SYN_EASY_SRC_00122,SYN_EASY_TRUE_00122,1,easy,cpv_reclassification
SYN_EASY_SRC_00123,,0,easy,none
SYN_EASY_SRC_00124,,0,easy,none
SYN_EASY_SRC_00125,SYN_EASY_TRUE_00125,1,easy,none
SYN_EASY_SRC_00126,SYN_EASY_TRUE_00126,1,easy,cpv_reclassification|timing_outlier
SYN_EASY_SRC_00127,,0,easy,missing_duration
SYN_EASY_SRC_00128,SYN_EASY_TRUE_00128,1,easy,none
SYN_EASY_SRC_00129,SYN_EASY_TRUE_00129,1,easy,none
SYN_EASY_SRC_00130,SYN_EASY_TRUE_00130,1,easy,none
SYN_EASY_SRC_00131,SYN_EASY_TRUE_00131,1,easy,none
SYN_EASY_SRC_00132,SYN_EASY_TRUE_00132,1,easy,accent_removed|generic_cpv_replacement|legal_form_variation
SYN_EASY_SRC_00133,SYN_EASY_TRUE_00133,1,easy,none
SYN_EASY_SRC_00134,SYN_EASY_TRUE_00134,1,easy,missing_duration
SYN_EASY_SRC_00135,,0,easy,none
SYN_EASY_SRC_00136,SYN_EASY_TRUE_00136,1,easy,none
SYN_EASY_SRC_00137,SYN_EASY_TRUE_00137,1,easy,none
SYN_EASY_SRC_00138,SYN_EASY_TRUE_00138,1,easy,none
SYN_EASY_SRC_00139,,0,easy,none
SYN_EASY_SRC_00140,,0,easy,none
SYN_EASY_SRC_00141,,0,easy,case_variation
SYN_EASY_SRC_00142,,0,easy,none
SYN_EASY_SRC_00143,,0,easy,none
SYN_EASY_SRC_00144,SYN_EASY_TRUE_00144,1,easy,none
SYN_EASY_SRC_00145,,0,easy,missing_cpv
SYN_EASY_SRC_00146,,0,easy,none
SYN_EASY_SRC_00147,,0,easy,none
SYN_EASY_SRC_00148,,0,easy,none
SYN_EASY_SRC_00149,,0,easy,none
SYN_EASY_SRC_00150,SYN_EASY_TRUE_00150,1,easy,none
SYN_EASY_SRC_00151,,0,easy,none
SYN_EASY_SRC_00152,,0,easy,none
SYN_EASY_SRC_00153,SYN_EASY_TRUE_00153,1,easy,none
SYN_EASY_SRC_00154,SYN_EASY_TRUE_00154,1,easy,none
SYN_EASY_SRC_00155,,0,easy,none
SYN_EASY_SRC_00156,SYN_EASY_TRUE_00156,1,easy,none
SYN_EASY_SRC_00157,SYN_EASY_TRUE_00157,1,easy,none
SYN_EASY_SRC_00158,SYN_EASY_TRUE_00158,1,easy,missing_duration
SYN_EASY_SRC_00159,SYN_EASY_TRUE_00159,1,easy,none
