source_id,true_candidate_id,true_event,scenario,noise_types_applied
SYN_HARD_SRC_00000,,0,hard,none
SYN_HARD_SRC_00001,,0,hard,none
SYN_HARD_SRC_00002,SYN_HARD_TRUE_00002,1,hard,missing_duration|object_shortening
SYN_HARD_SRC_00003,,0,hard,missing_duration
SYN_HARD_SRC_00004,SYN_HARD_TRUE_00004,1,hard,generic_cpv_replacement
SYN_HARD_SRC_00005,SYN_HARD_TRUE_00005,1,hard,none
SYN_HARD_SRC_00006,SYN_HARD_TRUE_00006,1,hard,accent_removed|legal_form_variation|missing_duration
SYN_HARD_SRC_00007,SYN_HARD_TRUE_00007,1,hard,cpv_reclassification|object_shortening
SYN_HARD_SRC_00008,,0,hard,none
SYN_HARD_SRC_00009,SYN_HARD_TRUE_00009,1,hard,object_shortening|timing_outlier
SYN_HARD_SRC_00010,SYN_HARD_TRUE_00010,1,hard,case_variation|legal_form_variation|object_shortening
SYN_HARD_SRC_00011,SYN_HARD_TRUE_00011,1,hard,cpv_reclassification|missing_duration|timing_outlier
SYN_HARD_SRC_00012,,0,hard,none
SYN_HARD_SRC_00013,,0,hard,missing_duration
SYN_HARD_SRC_00014,SYN_HARD_TRUE_00014,1,hard,cpv_reclassification|object_shortening
SYN_HARD_SRC_00015,,0,hard,none
SYN_HARD_SRC_00016,SYN_HARD_TRUE_00016,1,hard,none
SYN_HARD_SRC_00017,SYN_HARD_TRUE_00017,1,hard,none
SYN_HARD_SRC_00018,SYN_HARD_TRUE_00018,1,hard,missing_duration
SYN_HARD_SRC_00019,,0,hard,none
SYN_HARD_SRC_00020,SYN_HARD_TRUE_00020,1,hard,object_shortening
SYN_HARD_SRC_00021,SYN_HARD_TRUE_00021,1,hard,accent_removed
SYN_HARD_SRC_00022,SYN_HARD_TRUE_00022,1,hard,accent_removed|buyer_abbreviation|case_variation|timing_outlier
SYN_HARD_SRC_00023,,0,hard,none
SYN_HARD_SRC_00024,,0,hard,none
SYN_HARD_SRC_00025,SYN_HARD_TRUE_00025,1,hard,none
SYN_HARD_SRC_00026,SYN_HARD_TRUE_00026,1,hard,object_shortening
SYN_HARD_SRC_00027,,0,hard,none
SYN_HARD_SRC_00028,,0,hard,missing_duration
SYN_HARD_SRC_00029,,0,hard,missing_duration
SYN_HARD_SRC_00030,SYN_HARD_TRUE_00030,1,hard,none
SYN_HARD_SRC_00031,,0,hard,missing_duration
SYN_HARD_SRC_00032,SYN_HARD_TRUE_00032,1,hard,none
SYN_HARD_SRC_00033,,0,hard,none
SYN_HARD_SRC_00034,,0,hard,none
SYN_HARD_SRC_00035,,0,hard,none
SYN_HARD_SRC_00036,,0,hard,none
SYN_HARD_SRC_00037,,0,hard,missing_duration
SYN_HARD_SRC_00038,SYN_HARD_TRUE_00038,1,hard,cpv_reclassification|missing_duration|timing_outlier
SYN_HARD_SRC_00039,,0,hard,missing_duration
SYN_HARD_SRC_00040,SYN_HARD_TRUE_00040,1,hard,missing_duration
SYN_HARD_SRC_00041,,0,hard,missing_duration
SYN_HARD_SRC_00042,SYN_HARD_TRUE_00042,1,hard,missing_duration
SYN_HARD_SRC_00043,,0,hard,none
SYN_HARD_SRC_00044,,0,hard,none
SYN_HARD_SRC_00045,,0,hard,missing_cpv
SYN_HARD_SRC_00046,,0,hard,none
SYN_HARD_SRC_00047,SYN_HARD_TRUE_00047,1,hard,none
SYN_HARD_SRC_00048,SYN_HARD_TRUE_00048,1,hard,none
SYN_HARD_SRC_00049,SYN_HARD_TRUE_00049,1,hard,none
SYN_HARD_SRC_00050,,0,hard,case_variation
