source_id,true_candidate_id,true_event,scenario,noise_types_applied
SYN_MEDIUM_SRC_00000,SYN_MEDIUM_TRUE_00000,1,medium,missing_duration
SYN_MEDIUM_SRC_00001,SYN_MEDIUM_TRUE_00001,1,medium,none
SYN_MEDIUM_SRC_00002,SYN_MEDIUM_TRUE_00002,1,medium,cpv_reclassification
SYN_MEDIUM_SRC_00003,SYN_MEDIUM_TRUE_00003,1,medium,none
SYN_MEDIUM_SRC_00004,SYN_MEDIUM_TRUE_00004,1,medium,missing_cpv
SYN_MEDIUM_SRC_00005,,0,medium,none
SYN_MEDIUM_SRC_00006,SYN_MEDIUM_TRUE_00006,1,medium,cpv_reclassification|missing_duration
SYN_MEDIUM_SRC_00007,,0,medium,none
SYN_MEDIUM_SRC_00008,SYN_MEDIUM_TRUE_00008,1,medium,missing_duration
SYN_MEDIUM_SRC_00009,SYN_MEDIUM_TRUE_00009,1,medium,missing_duration
SYN_MEDIUM_SRC_00010,,0,medium,none
SYN_MEDIUM_SRC_00011,,0,medium,none
SYN_MEDIUM_SRC_00012,SYN_MEDIUM_TRUE_00012,1,medium,missing_duration|timing_outlier
SYN_MEDIUM_SRC_00013,SYN_MEDIUM_TRUE_00013,1,medium,cpv_reclassification
SYN_MEDIUM_SRC_00014,SYN_MEDIUM_TRUE_00014,1,medium,none
SYN_MEDIUM_SRC_00015,,0,medium,none
SYN_MEDIUM_SRC_00016,,0,medium,none
SYN_MEDIUM_SRC_00017,SYN_MEDIUM_TRUE_00017,1,medium,accent_removed|buyer_abbreviation
SYN_MEDIUM_SRC_00018,SYN_MEDIUM_TRUE_00018,1,medium,none
SYN_MEDIUM_SRC_00019,,0,medium,none
SYN_MEDIUM_SRC_00020,SYN_MEDIUM_TRUE_00020,1,medium,timing_outlier
SYN_MEDIUM_SRC_00021,SYN_MEDIUM_TRUE_00021,1,medium,accent_removed|legal_form_variation
SYN_MEDIUM_SRC_00022,,0,medium,none
SYN_MEDIUM_SRC_00023,,0,medium,missing_duration
SYN_MEDIUM_SRC_00024,SYN_MEDIUM_TRUE_00024,1,medium,cpv_reclassification
SYN_MEDIUM_SRC_00025,,0,medium,none
SYN_MEDIUM_SRC_00026,,0,medium,none
SYN_MEDIUM_SRC_00027,SYN_MEDIUM_TRUE_00027,1,medium,none
SYN_MEDIUM_SRC_00028,SYN_MEDIUM_TRUE_00028,1,medium,timing_outlier
SYN_MEDIUM_SRC_00029,SYN_MEDIUM_TRUE_00029,1,medium,none
SYN_MEDIUM_SRC_00030,,0,medium,none
