section,metric,value,source_file,source_column_or_table,note
data,actual_date_range,2015-03-02 to 2026-07-09,reports/tables/data/boamp_current_download_summary.csv,actual_date_range,
data,raw_notice_count,3656,reports/tables/data/boamp_current_download_summary.csv,number_of_raw_notices,
data,retained_notice_count,3656,reports/tables/data/boamp_current_download_summary.csv,number_of_retained_notices,
data,APPEL_OFFRE_count,2216,reports/tables/data/buyer_enrichment_summary.csv,value,
enrichment,valid_siret_rows,480,reports/tables/data/buyer_enrichment_summary.csv,value,
enrichment,enriched_siren_rows,2535,reports/tables/data/buyer_enrichment_summary.csv,value,
linkage,candidate_pairs,7699,reports/tables/linkage/candidate_generation_summary.csv,value,
linkage,selected_method,M0 balanced,reports/tables/linkage/final_selected_event_definition_current.csv,"selected_method, selected_variant",
linkage,eligible_contracts,1661,reports/tables/linkage/final_selected_event_definition_current.csv,eligible_contracts,
linkage,proxy_recurrence_events,183,reports/tables/linkage/final_selected_event_definition_current.csv,event_count,
linkage,event_rate,11.0%,reports/tables/linkage/final_selected_event_definition_current.csv,event_rate,
linkage,M2_balanced_F1,0.928,reports/tables/linkage/method_comparison_current_dataset.csv,synthetic_benchmark_f1,
survival,survival_12m,95.5%,reports/tables/survival/survival_summary_current.csv,survival_12m,
survival,survival_24m,94.4%,reports/tables/survival/survival_summary_current.csv,survival_24m,
survival,survival_60m,87.7%,reports/tables/survival/survival_summary_current.csv,survival_60m,
survival,cox_c_index,0.720,reports/tables/survival/cox_results_current.csv,c_index,
survival,selected_AFT,LogLogisticAFT,reports/tables/survival/aft_comparison_current.csv,model,
operational,mean_p12,0.0292,reports/tables/survival/operational_risk_scores_current.csv,p_renewal_12m,
operational,mean_p24,0.0509,reports/tables/survival/operational_risk_scores_current.csv,p_renewal_24m,
operational,expected_12m,48.4,reports/tables/survival/operational_risk_scores_current.csv,sum(p_renewal_12m),
operational,expected_24m,84.6,reports/tables/survival/operational_risk_scores_current.csv,sum(p_renewal_24m),
limitation,lightgbm_status,not_run: libgomp.so.1: cannot open shared object file: No such file or directory,reports/tables/validation/classifier_benchmark_current.csv,status,
