section,metric,value,source_file,source_column_or_table,note
selection,selected_method,M2 balanced,reports/tables/validation/final_method_recommendation.csv,"selected_method, selected_variant",
selection,M2_match_probability_threshold,0.65,reports/tables/validation/probabilistic_linkage_results.csv,threshold,
selection,final_dataset_path,data/processed/boamp_phase2_survival_method_m2_balanced.csv,reports/tables/validation/method_survival_comparison.csv,survival_dataset,
population,raw_BOAMP_notices,3181,data/processed/boamp_full_clean.csv,row_count,
population,APPEL_OFFRE_notices,1933,data/processed/boamp_full_clean.csv,nature == APPEL_OFFRE,
population,study_start_date,2015-03-02,data/processed/boamp_full_clean.csv,dateparution,
population,study_end_or_censoring_date,2024-12-29,data/processed/boamp_full_clean.csv,dateparution,
population,eligible_contracts,1210,data/processed/boamp_phase2_survival_method_m2_balanced.csv,row_count,
population,selected_M2_events,254,data/processed/boamp_phase2_survival_method_m2_balanced.csv,event,
population,selected_M2_censored,956,data/processed/boamp_phase2_survival_method_m2_balanced.csv,event == 0,
historical,old_pre_calibration_events,665,data/processed/boamp_phase2_survival.csv,event,historical pre-calibration baseline only
historical,old_pre_calibration_event_rate,55.0%,data/processed/boamp_phase2_survival.csv,event,
method_comparison,M0 balanced real_event_count,269,reports/tables/validation/linkage_method_comparison.csv,event_count,
method_comparison,M0 balanced real_event_rate,22.2%,reports/tables/validation/linkage_method_comparison.csv,event_rate,
method_comparison,M0 balanced negative_control_acceptance,9.4%,reports/tables/validation/linkage_method_comparison.csv,negative_control_acceptance_rate,
method_comparison,M0 balanced generic_CPV_share,23.0%,reports/tables/validation/linkage_method_comparison.csv,generic_cpv_share,
method_comparison,M1 balanced real_event_count,256,reports/tables/validation/linkage_method_comparison.csv,event_count,
method_comparison,M1 balanced real_event_rate,21.2%,reports/tables/validation/linkage_method_comparison.csv,event_rate,
method_comparison,M1 balanced negative_control_acceptance,8.5%,reports/tables/validation/linkage_method_comparison.csv,negative_control_acceptance_rate,
method_comparison,M1 balanced generic_CPV_share,37.1%,reports/tables/validation/linkage_method_comparison.csv,generic_cpv_share,
method_comparison,M2 balanced real_event_count,254,reports/tables/validation/linkage_method_comparison.csv,event_count,
method_comparison,M2 balanced real_event_rate,21.0%,reports/tables/validation/linkage_method_comparison.csv,event_rate,
method_comparison,M2 balanced negative_control_acceptance,7.9%,reports/tables/validation/linkage_method_comparison.csv,negative_control_acceptance_rate,
method_comparison,M2 balanced generic_CPV_share,37.0%,reports/tables/validation/linkage_method_comparison.csv,generic_cpv_share,
method_comparison,M0 strict real_event_count,79,reports/tables/validation/linkage_method_comparison.csv,event_count,
method_comparison,M0 strict real_event_rate,6.5%,reports/tables/validation/linkage_method_comparison.csv,event_rate,
method_comparison,M0 strict negative_control_acceptance,0.4%,reports/tables/validation/linkage_method_comparison.csv,negative_control_acceptance_rate,
method_comparison,M0 strict generic_CPV_share,16.5%,reports/tables/validation/linkage_method_comparison.csv,generic_cpv_share,
method_comparison,M0 broad real_event_count,490,reports/tables/validation/linkage_method_comparison.csv,event_count,
method_comparison,M0 broad real_event_rate,40.5%,reports/tables/validation/linkage_method_comparison.csv,event_rate,
method_comparison,M0 broad negative_control_acceptance,41.6%,reports/tables/validation/linkage_method_comparison.csv,negative_control_acceptance_rate,
method_comparison,M0 broad generic_CPV_share,24.1%,reports/tables/validation/linkage_method_comparison.csv,generic_cpv_share,
