source,year,requested_start_date,requested_end_date,api_total_count,retained_notices,pages,schema_notes,download_warnings,extraction_date,requested_date_range,actual_date_range,number_of_raw_notices,number_of_retained_notices,duplicate_count
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2015,2015-01-01,2015-12-31,2599,177,26,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2016,2016-01-01,2016-12-31,3114,278,32,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2017,2017-01-01,2017-12-31,3362,315,34,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2018,2018-01-01,2018-12-31,3370,328,34,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2019,2019-01-01,2019-12-31,3689,313,37,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2020,2020-01-01,2020-12-31,3217,343,33,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2021,2021-01-01,2021-12-31,3617,342,37,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2022,2022-01-01,2022-12-31,3505,398,36,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2023,2023-01-01,2023-12-31,3691,389,37,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2024,2024-01-01,2024-12-31,4198,298,42,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
https://boamp-datadila.opendatasoft.com/api/explore/v2.1/catalog/datasets/boamp/records,2025,2025-01-01,2025-12-31,4401,322,45,annonce_lie; annonces_anterieures; code_departement; code_departement_prestation; contractfolderid; criteres; datefindiffusion; datelimitereponse; dateparution; dc; descripteur_code; descripteur_libelle; donnees; etat; famille; famille_libelle; filename; gestion; id; idweb; marche_public_simplifie; marche_public_simplifie_label; nature; nature_categorise; nature_categorise_libelle; nature_libelle; nomacheteur; objet; perimetre; procedure_categorise; procedure_libelle; source_schema; sousnature; sousnature_libelle; soustype_procedure; titulaire; type_avis; type_marche; type_marche_facette; type_procedure; url_avis,,2026-07-09T14:24:21+00:00,2015-01-01 to 2026-07-09,2015-03-02 to 2026-07-09,3656,3656,0
