buyer_key,n_contracts,expected_renewals_12m,expected_renewals_24m,max_p_renewal_12m,mean_p_renewal_12m,high_risk_contracts_count
SIREN:234400034,91,9.3412,25.538,0.2386,0.1027,0
NAME:nantes metropole,72,3.3938,11.5114,0.1542,0.0471,0
SIREN:935367433,28,3.244,8.5281,0.273,0.1159,0
SIREN:264400136,42,2.6137,7.8319,0.1986,0.0622,0
SIREN:244900015,30,2.3446,6.8036,0.1986,0.0782,0
NAME:le mans,22,2.2449,5.9793,0.1917,0.102,0
SIREN:214401846,35,2.2314,6.9161,0.2191,0.0638,0
SIREN:391722881,28,2.0978,6.323,0.2141,0.0749,0
SIREN:228500013,19,1.9266,5.1404,0.2296,0.1014,0
SIREN:546650169,9,1.3943,3.4339,0.1986,0.1549,0
SIREN:194909701,22,1.3655,4.3898,0.1771,0.0621,0
NAME:ville du mans,20,1.3124,3.7824,0.2003,0.0656,0
SIREN:247200132,21,1.2458,3.77,0.1703,0.0593,0
NAME:ctre hosp universitaire angers,15,1.0313,3.1446,0.1619,0.0688,0
SIREN:227200029,23,0.9883,3.3084,0.2003,0.043,0
SIREN:532458809,12,0.9763,2.758,0.1706,0.0814,0
NAME:cnieg,15,0.9664,3.0176,0.1575,0.0644,0
NAME:semitan,7,0.9631,2.4497,0.2508,0.1376,0
SIREN:180043010,7,0.9472,2.4058,0.2247,0.1353,0
SIREN:225300011,12,0.8913,2.5427,0.1986,0.0743,0
NAME:cd 44,5,0.8531,2.0369,0.1986,0.1706,0
SIREN:130001704,6,0.7817,2.0052,0.1833,0.1303,0
SIREN:214400202,6,0.7749,2.0382,0.1667,0.1292,0
NAME:gie des epl de vendee,4,0.7689,1.7484,0.2672,0.1922,0
SIREN:214401093,14,0.7643,2.4228,0.1921,0.0546,0
SIREN:110006012,11,0.7543,2.2557,0.1688,0.0686,0
NAME:com d agglo reg nazairienne estuaire,4,0.7177,1.6812,0.2251,0.1794,0
SIREN:200071900,3,0.6401,1.4031,0.2609,0.2134,0
NAME:crous de nantes,5,0.6258,1.561,0.1986,0.1252,0
SIREN:451518641,5,0.6143,1.509,0.2147,0.1229,0
SIREN:224900019,8,0.6014,1.7231,0.2186,0.0752,0
SIREN:284400017,14,0.5978,2.059,0.1197,0.0427,0
SIREN:214400269,6,0.5877,1.6265,0.1497,0.098,0
SIREN:130029747,15,0.5598,2.0711,0.1221,0.0373,0
NAME:soc publique reg abe de fontevraud,3,0.558,1.2941,0.2029,0.186,0
NAME:de loire atlanti,3,0.5549,1.2861,0.2147,0.185,0
SIREN:381053768,5,0.5541,1.5359,0.1347,0.1108,0
NAME:ubs,3,0.5484,1.2794,0.2029,0.1828,0
NAME:conseil general de la vendee,13,0.5378,1.9075,0.1255,0.0414,0
SIREN:214401432,10,0.5207,1.6887,0.1626,0.0521,0
NAME:agce pour l enst fr a l etranger,8,0.5023,1.6319,0.1056,0.0628,0
NAME:cap atlantique,5,0.455,1.3025,0.1463,0.091,0
NAME:communaute d agglomeration du niortais,5,0.4517,1.2726,0.1861,0.0903,0
NAME:uniha gcs,3,0.4512,1.1302,0.1546,0.1504,0
