buyer_key,n_contracts,expected_renewals_12m,expected_renewals_24m,max_p_renewal_12m,mean_p_renewal_12m,high_risk_contracts_count
SIREN:234400034,91,2.7604,7.732,0.0677,0.0303,0
NAME:nantes metropole,72,1.5675,4.686,0.0546,0.0218,0
SIREN:935367433,28,0.9763,2.6623,0.0586,0.0349,0
SIREN:264400136,42,0.8852,2.5983,0.0626,0.0211,0
SIREN:391722881,28,0.8565,2.421,0.0606,0.0306,0
SIREN:244900015,30,0.6621,1.96,0.0626,0.0221,0
SIREN:228500013,19,0.6612,1.8003,0.0626,0.0348,0
SIREN:214401846,35,0.6354,1.963,0.0369,0.0182,0
NAME:le mans,22,0.5299,1.5476,0.0448,0.0241,0
SIREN:194909701,22,0.4729,1.425,0.0412,0.0215,0
SIREN:546650169,9,0.4531,1.1639,0.0626,0.0503,0
SIREN:227200029,23,0.4299,1.3174,0.0528,0.0187,0
NAME:cnieg,15,0.4218,1.2056,0.0476,0.0281,0
SIREN:247200132,21,0.4073,1.2184,0.0459,0.0194,0
NAME:ville du mans,20,0.3933,1.1658,0.0528,0.0197,0
NAME:ctre hosp universitaire angers,15,0.347,1.024,0.0448,0.0231,0
SIREN:130029747,15,0.3281,0.9807,0.0388,0.0219,0
SIREN:225300011,12,0.3196,0.9071,0.0626,0.0266,0
NAME:semitan,7,0.2944,0.778,0.0692,0.0421,0
SIREN:214401093,14,0.2922,0.875,0.051,0.0209,0
SIREN:110006012,11,0.284,0.8154,0.0548,0.0258,0
NAME:conseil general de la vendee,13,0.2801,0.8368,0.0355,0.0215,0
NAME:cd 44,5,0.2679,0.6795,0.0626,0.0536,0
SIREN:532458809,12,0.2669,0.7761,0.0458,0.0222,0
SIREN:180043010,7,0.2598,0.7096,0.0548,0.0371,0
SIREN:130001704,6,0.2579,0.6805,0.0586,0.043,0
NAME:agce pour l enst fr a l etranger,8,0.2427,0.6823,0.0486,0.0303,0
SIREN:284400017,14,0.232,0.7265,0.0343,0.0166,0
NAME:crous de nantes,5,0.2121,0.5524,0.0626,0.0424,0
NAME:ademe,8,0.2097,0.6049,0.0477,0.0262,0
SIREN:451518641,5,0.2049,0.5299,0.0668,0.041,0
SIREN:224900019,8,0.1876,0.5473,0.0509,0.0234,0
NAME:gie des epl de vendee,4,0.1839,0.4826,0.0511,0.046,0
SIREN:214400202,6,0.1828,0.5144,0.0448,0.0305,0
SIREN:214401432,10,0.1607,0.5038,0.0361,0.0161,0
NAME:gpm de nantes st nazaire,12,0.1509,0.4928,0.0348,0.0126,0
NAME:com d agglo reg nazairienne estuaire,4,0.1472,0.4046,0.0397,0.0368,0
NAME:spr pays de la loire,4,0.1458,0.3994,0.0511,0.0364,0
NAME:arafer,7,0.1416,0.4347,0.0246,0.0202,0
SIREN:214401622,8,0.1413,0.4368,0.0317,0.0177,0
NAME:uniha gcs,3,0.1399,0.3666,0.0477,0.0466,0
NAME:communaute d agglomeration du niortais,5,0.1384,0.3922,0.051,0.0277,0
SIREN:288500010,9,0.1365,0.4267,0.0436,0.0152,0
NAME:cap atlantique,5,0.1362,0.3874,0.0448,0.0272,0
