buyer_key,buyer_name,n_contracts,expected_renewals_12m,expected_renewals_24m,max_p12
SIREN:234400034,Conseil régional des Pays de la Loire,93,3.173825037156282,5.525686252134857,0.04819620134064817
SIREN:794304097,Nantes Métropole,93,2.422340907380208,4.243310595128417,0.04461811302205232
SIREN:264400136,CHU de Nantes,51,1.467198279452929,2.5631404985609185,0.044680197624669904
SIREN:228500013,Département de la Vendée,31,1.1307346857902794,1.965328246887043,0.04877007263357691
SIREN:244900015,Angers Loire Métropole,35,1.09549677815856,1.911680359201378,0.044680197624669904
SIREN:391722881,GIE SESAM Vitale,32,1.068034740107191,1.8615418577870266,0.044680197624669904
SIREN:935367433,Conseil départemental Loire-Atlantique,29,1.0286539418861174,1.7895450939452895,0.04466466875819375
SIREN:194909701,Université d'Angers,30,0.8798391371440883,1.5380748229987589,0.03880450103382149
SIREN:247200132,Le Mans Métropole - Communauté Urbaine,25,0.6858416782057756,1.1999362102829911,0.04069139838239033
SIREN:217500016,Ville du Mans,22,0.6797565768386868,1.1861205032112592,0.04610804673450952
SIREN:214401846,Commune de Saint-Nazaire,24,0.6525042466772268,1.1427458635969558,0.03811507362479338
SIREN:488538877,Le Mans Métropole,15,0.6075105652746944,1.0538581975432868,0.048753194848808246
NAME:ch mans,CH LE MANS,25,0.5453980448375336,0.9589618567619342,0.031916093877061846
SIREN:935367433,Conseil départemental Loire Atlantique,13,0.49703186374756525,0.863125775482125,0.04877007263357691
SIREN:227200029,Département de la Sarthe,15,0.4961694279625517,0.8646967516349822,0.04171737868886394
SIREN:130029747,Université de Nantes,18,0.4623885985472823,0.8106696794463718,0.03545645015267429
SIREN:227200029,DEPARTEMENT DE LA SARTHE,16,0.4467440460191443,0.7821160131993022,0.044633626458414066
SIREN:532458809,Ville d'Angers,15,0.4400350997408935,0.7692278961167581,0.036948828020445856
SIREN:284400017,SDIS 44,17,0.4379152413876173,0.7673746805833419,0.038939990346386844
SIREN:546650169,Vendée Expansion,10,0.426290103925658,0.7380554713734069,0.044680197624669904
NAME:ctre hosp universitaire angers,CTRE HOSP UNIVERSITAIRE ANGERS,19,0.4181204618274392,0.7352990213467018,0.027966411347055464
NAME:cnieg,CNIEG,17,0.4172684438482892,0.7325394676510723,0.03187115370701388
NAME:semitan,SEMITAN,16,0.4139167365058871,0.7257393755392012,0.03521480478449368
SIREN:225300011,DEPARTEMENT DE LA MAYENNE,12,0.40069862273124035,0.6982042369572687,0.04469573163757623
SIREN:110006012,Ministère des Affaires étrangères,12,0.3870240431910439,0.674851632240548,0.04464914503661832
SIREN:225300011,Conseil Départemental de la Mayenne,7,0.34130611951119505,0.5884056120489467,0.04877007263357691
SIRET:24440040400129,Nantes Métropole,8,0.33165271308130384,0.5746447393496358,0.047678457084533
SIREN:214401846,COMMUNE DE SAINT NAZAIRE,11,0.32856499728671107,0.5740472696054065,0.038762454816139824
SIREN:224900019,Département de Maine-et-Loire,11,0.3231679788704531,0.5645927008128748,0.04076003213787649
SIREN:214401622,Commune de Saint-Herblain,11,0.30849092166884373,0.5397735007276292,0.03687121937113391
SIRET:24440040400129,Nantes metropole,7,0.3083055196861352,0.5332694999155568,0.047678457084533
SIREN:180043010,Réseau Canopé,8,0.29470256764597025,0.512326942855223,0.048179512095675725
NAME:conseil general vendee,Conseil général de la Vendée,14,0.28814915632299076,0.5074014404105596,0.03001799798285587
SIREN:214401846,VILLE DE SAINT NAZAIRE,7,0.28553124564105614,0.4949661775350884,0.04877007263357691
SIREN:288500010,SDIS 85,10,0.27691077357781124,0.4846525060389737,0.03940821135294603
NAME:gpm nantes st nazaire,GPM de Nantes - St Nazaire,16,0.255121778690077,0.4509634208510389,0.021502137191613757
SIREN:214401093,Ville de Nantes,9,0.2485026567802976,0.4350383366234245,0.03920120900209367
SIREN:214401093,COMMUNE DE NANTES,9,0.22923845656082475,0.40186005799533575,0.03877736627837036
SIREN:524795564,CARENE,8,0.22263380439365332,0.38953812879169347,0.035708323222236604
SIREN:214400202,Ville de Bouguenais,6,0.21952404809371362,0.3819701644957588,0.03899449651314968
SIRET:23440003400026,Région des Pays de la Loire,5,0.21408648768875116,0.3704603893612951,0.048196375252723245
NAME:conseil departemental loire atlanti,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTI,8,0.21031476613901934,0.36864596815529227,0.031916093877061846
SIREN:451518641,VENDEE,6,0.20317145348981813,0.3533641466620572,0.04469573163757623
SIREN:381053768,La Cité des Congrès de Nantes,6,0.20213351926823786,0.35234990720376214,0.038709609032019476
SIREN:214400269,Ville de Carquefou,6,0.20036020286283485,0.34917764468638446,0.04076247745424022
NAME:arafer,ARAFER,9,0.19968396990331683,0.3513023538309783,0.023829803493669366
NAME:communaute agglomeration niortais,Communauté d'agglomération du Niortais,9,0.1922727493870222,0.33815281820688003,0.03189361613735686
NAME:agce enst fr etranger,AGCE POUR L ENST FR A L ETRANGER,8,0.18315012905688666,0.3218620412216199,0.027926872181841644
NAME:ademe,ADEME,8,0.1789763719158961,0.3145607350612436,0.031859928229823975
NAME:cd 44,CD 44,6,0.1708432881377281,0.29907309046731867,0.031904853092933116
SIRET:17440005100010,CHU NANTES,4,0.1641468182928334,0.28459137233608134,0.04716582866807317
