variable,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),rule_name,c_index,n_events,n_rows
declared_duration_months,-0.007157681212723856,0.9928678739791247,0.002568841555819221,-0.012192518144119369,-0.002122844281328344,0.987881509438906,0.9978794073590174,0.0,-2.7863459295531454,0.005330595158403923,7.551487666472538,broad,0.6263443865312149,490,1210
start_year,0.050835777608539655,1.0521500924903486,0.02169783883313139,0.008308794953247538,0.09336276026383178,1.0083434087900447,1.0978599229956891,0.0,2.3428958985037833,0.01913472121031033,5.7076633084407895,broad,0.6263443865312149,490,1210
dur_was_imputed,-0.13850792888774416,0.8706563479053021,0.10283231711190778,-0.34005556687388533,0.06303970909839701,0.7117307730096878,1.065069131326545,0.0,-1.346929961103689,0.17800279095919455,2.4900282330697188,broad,0.6263443865312149,490,1210
category_model_IT Services & Consulting,0.2993526922507205,1.3489853162487784,0.10641872218475155,0.09077582948783378,0.5079295550136071,1.0950235057624988,1.6618468680155505,0.0,2.8129701814218353,0.004908620277897293,7.6704667179547155,broad,0.6263443865312149,490,1210
category_model_Other,-0.019052869175497276,0.9811274894701567,0.13496782668813265,-0.2835849485558812,0.24547921020488664,0.7530791464368272,1.2782337090976164,0.0,-0.14116600706272278,0.8877387995471226,0.17179284176982074,broad,0.6263443865312149,490,1210
category_model_Software & Applications,0.14882774228038714,1.1604730715459228,0.11973162493537394,-0.08584193040340365,0.38349741496417794,0.9177392864342266,1.46740775914222,0.0,1.2430111289370545,0.21386373248671625,2.2252362472503906,broad,0.6263443865312149,490,1210
category_model_Telecom & Networks,-0.1723304692568288,0.8417009709080566,0.12562899312400508,-0.41855877119390883,0.07389783268025124,0.65799445733594,1.0766967966507652,0.0,-1.3717412276537624,0.17014400914178268,2.5551717407257923,broad,0.6263443865312149,490,1210
category_model_Unknown,-0.3885104300941195,0.6780661495492416,0.16638244349363313,-0.7146140270014111,-0.06240683318682794,0.48938096318603175,0.9395005890119955,0.0,-2.335044623316801,0.019541089729764715,5.67734526679338,broad,0.6263443865312149,490,1210
declared_duration_months,0.0012590395024888385,1.001259832425462,0.0031259959570626474,-0.004867799989171767,0.007385878994149444,0.9951440285484272,1.0074132218740215,0.0,0.4027642772999295,0.6871216429917959,0.5413625690520776,balanced,0.5920423969378259,269,1210
start_year,0.04362793967987451,1.0445936307378587,0.026620450918199687,-0.008547185372013093,0.09580306473176212,0.9914892379706536,1.1005423070566895,0.0,1.6388880794670257,0.1012365707776635,3.3041975504202528,balanced,0.5920423969378259,269,1210
