contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,cpv_div2,event,observed_duration_months,model_used
BOAMP:20-100172,SIREN:246100663,Communauté urbaine d'Alençon,246100663,,SIREN_ENRICHED,IT Services & Consulting,2020-08-07,1.0,2020-09-07,0.050286970512537055,0.08659306685681423,Low,model-estimated recurrence probability,False,72.0,0,71.02,LogLogisticAFT
BOAMP:25-36671,SIRET:25440253000011,"Direction Cybersécurité, Cloud et IA",,25440253000011,SIRET,IT Services & Consulting,2025-04-03,1.0,2025-05-03,0.04978235414560439,0.0857570259621937,Low,model-estimated recurrence probability,False,72.0,0,15.18,LogLogisticAFT
BOAMP:25-50085,SIREN:935367433,Conseil départemental Loire Atlantique,935367433,,SIREN_ENRICHED,IT Services & Consulting,2025-05-04,4.0,2025-09-04,0.04877007263357691,0.08407795677405461,Low,model-estimated recurrence probability,False,72.0,0,14.16,LogLogisticAFT
BOAMP:25-3181,SIREN:228500013,Département de la Vendée,228500013,,SIREN_ENRICHED,IT Services & Consulting,2025-01-12,4.0,2025-05-12,0.04877007263357691,0.08407795677405461,Low,model-estimated recurrence probability,False,72.0,0,17.84,LogLogisticAFT
BOAMP:25-28394,SIREN:935367433,Conseil départemental Loire Atlantique,935367433,,SIREN_ENRICHED,IT Services & Consulting,2025-03-14,4.0,2025-07-14,0.04877007263357691,0.08407795677405461,Low,model-estimated recurrence probability,False,72.0,1,1.68,LogLogisticAFT
BOAMP:25-54937,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2025-05-17,4.0,2025-09-17,0.04877007263357691,0.08407795677405461,Low,model-estimated recurrence probability,False,72.0,0,13.73,LogLogisticAFT
BOAMP:25-2262,SIREN:214401846,VILLE DE SAINT NAZAIRE,214401846,,SIREN_ENRICHED,IT Services & Consulting,2025-01-10,4.0,2025-05-10,0.04877007263357691,0.08407795677405461,Low,model-estimated recurrence probability,False,72.0,1,3.06,LogLogisticAFT
BOAMP:25-13579,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2025-02-06,4.0,2025-06-06,0.04877007263357691,0.08407795677405461,Low,model-estimated recurrence probability,False,72.0,1,3.29,LogLogisticAFT
BOAMP:25-41441,SIREN:214401846,VILLE DE SAINT NAZAIRE,214401846,,SIREN_ENRICHED,IT Services & Consulting,2025-04-13,4.0,2025-08-13,0.04877007263357691,0.08407795677405461,Low,model-estimated recurrence probability,False,72.0,0,14.85,LogLogisticAFT
BOAMP:24-132180,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2024-11-24,4.0,2025-03-24,0.048753194848808246,0.0840499397001675,Low,model-estimated recurrence probability,False,72.0,0,19.45,LogLogisticAFT
BOAMP:24-142222,SIREN:412238065,SPL LE MANS EVENEMENTS,412238065,,SIREN_ENRICHED,IT Services & Consulting,2024-12-20,4.0,2025-04-20,0.048753194848808246,0.0840499397001675,Low,model-estimated recurrence probability,False,72.0,0,18.59,LogLogisticAFT
BOAMP:24-140261,SIREN:228500013,Département de la Vendée,228500013,,SIREN_ENRICHED,IT Services & Consulting,2024-12-15,4.0,2025-04-15,0.048753194848808246,0.0840499397001675,Low,model-estimated recurrence probability,False,72.0,0,18.76,LogLogisticAFT
BOAMP:24-132338,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2024-11-24,4.0,2025-03-24,0.048753194848808246,0.0840499397001675,Low,model-estimated recurrence probability,False,72.0,1,2.43,LogLogisticAFT
BOAMP:24-136086,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2024-12-05,4.0,2025-04-05,0.048753194848808246,0.0840499397001675,Low,model-estimated recurrence probability,False,72.0,0,19.09,LogLogisticAFT
