covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
declared_duration_months,-0.00911531878051599,0.9909260997943443,0.0023001054026989733,-0.013623442530451974,-0.004607195030580004,0.9864689365797441,0.9954034018122915,0.0,-3.9630004650308446,7.401363749906872e-05,13.721849353160575
dur_was_imputed,-0.13855859120219688,0.8706122395569491,0.095214986699109,-0.3251765359209108,0.04805935351651702,0.7223998128684088,1.049232929140357,0.0,-1.4552183012959816,0.14560883585767392,2.7798301908530263
start_year,0.06860489891999201,1.071012967162141,0.019607045931817037,0.030175795050408037,0.10703400278957598,1.0306356986837213,1.1129720979919815,0.0,3.498992105111788,0.0004670204090868356,11.064226781552424
cat_cox_IT Services & Consulting,0.20685016056165897,1.229798285690035,0.09892248098505937,0.012965660569594278,0.40073466055372364,1.0130500791998176,1.4929210850866896,0.0,2.0910328825345608,0.036525116426860564,4.77496731802763
cat_cox_Other,-0.171627755541683,0.8422926535917856,0.10753435480929914,-0.38239121806866083,0.039135706985294866,0.6822281010304665,1.039911597342733,0.0,-1.5960272030835798,0.11048271999621327,3.178107351743358
cat_cox_Software & Applications,0.15745112831428437,1.170523551124694,0.10941609637739302,-0.057000479914369434,0.37190273654293815,0.944593616042365,1.4504918945758725,0.0,1.4390124810449378,0.15014698656071646,2.7355525744880493
cat_cox_Telecom & Networks,-0.04106343122267682,0.9597682487434305,0.11237805221819618,-0.26132036622310284,0.17919350377774923,0.770034187150618,1.196252201093319,0.0,-0.36540436866575143,0.7148095806589023,0.4843691238033452
proc_cox_OUVERT,-0.016048562448259637,0.9840795295836445,0.10557940566165756,-0.22298039505425274,0.19088327015773346,0.8001305356565308,1.2103181635868403,0.0,-0.15200466746033092,0.8791832543314986,0.1857641871295373
proc_cox_Other_proc,-0.29656233486779987,0.7433692879935496,0.25351984915040604,-0.7934521085686231,0.2003274388330234,0.45228077491300506,1.2218027583381752,0.0,-1.169779549260689,0.24208969563186683,2.046386421486829
proc_cox_PROCEDURE_ADAPTE,-0.02356226049380396,0.976713162131975,0.1111428065190633,-0.24139815841187157,0.19427363742426362,0.785528799215918,1.2144285505942665,0.0,-0.21199986964304832,0.8321071360209998,0.2651588037139437
