variable,test_statistic,p,-log2(p)
buyer_key_type_SIREN_ENRICHED,0.828815858088107,0.36261515959386414,1.4634888548198597
buyer_key_type_SIRET,0.13759964990182982,0.7106790425432667,0.4927299390870104
declared_duration_months,25.147428871195235,5.311041598607768e-07,20.84450183486174
duration_imputed_flag,6.144817197111423,0.01317977891347101,6.245530019968532
segment_model_IT Services & Consulting,1.243796521656213,0.264740624072531,1.917348503563372
segment_model_Other,1.7971812173588542,0.1800536458521037,2.4735012823655733
segment_model_Software & Applications,0.17340334612123887,0.6771046903593044,0.5625491819358642
segment_model_Telecom & Networks,0.02019218153789549,0.8870016531374496,0.17299130155496006
segment_model_Unknown,0.4707571327668697,0.4926390581548278,1.0213970805859254
start_year,17.567473223330296,2.7729097894238615e-05,15.138239792234618
