variable,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),c_index
declared_duration_months,-0.011957658483326281,0.9881135502025575,0.0030394499099207404,-0.017914870839584443,-0.006000446127068119,0.982244646461327,0.9940175205957144,0.0,-3.9341521780953124,8.349087573782297e-05,13.548021932503456,0.720025728321363
duration_imputed_flag,0.018650952283744065,1.0188259676689306,0.1371416016066393,-0.25014164764740937,0.28744355221489754,0.7786904755852646,1.3330153442757422,0.0,0.13599777212198705,0.8918230421910504,0.16517061958483278,0.720025728321363
start_year,-0.004176237205394388,0.9958324711462716,0.020202431674785852,-0.04377227568810586,0.03541980127731709,0.9571719039694426,1.0360545545442053,0.0,-0.2067195312238895,0.8362289031435597,0.2580301858018366,0.720025728321363
segment_model_IT Services & Consulting,0.23214399782024125,1.261301340395865,0.12287055133748244,-0.008677857561804087,0.47296585320228657,0.991359686365354,1.6047465850836558,0.0,1.8893379682379943,0.058846557062761616,4.086898179842907,0.720025728321363
segment_model_Other,0.03930207407015511,1.0400846187958335,0.16131158012625244,-0.27686281326654677,0.355466961406857,0.7581584992644411,1.4268467811218946,0.0,0.24364074816820264,0.8075090666038847,0.3084496366027445,0.720025728321363
segment_model_Software & Applications,-0.26416150386615017,0.7678495189761299,0.15325232177600898,-0.5645305350942712,0.03620752736197086,0.5686270345425807,1.0368710032687047,0.0,-1.7237031113449897,0.08476145306173032,3.560447869797255,0.720025728321363
segment_model_Telecom & Networks,-0.013295605999925427,0.9867923901504358,0.14562822393800393,-0.29872168005094685,0.27213046805109603,0.7417658289360644,1.3127582631509196,0.0,-0.09129827749314283,0.927255586635543,0.10896104001875574,0.720025728321363
segment_model_Unknown,-0.05502481536306671,0.9464616608723215,0.18643005809134333,-0.4204210148578097,0.3103713841316763,0.6567702515653944,1.3639315626219406,0.0,-0.29514991266111573,0.7678793622932871,0.381048420779539,0.720025728321363
buyer_key_type_SIREN_ENRICHED,0.45032549062440674,1.568822739488451,0.11729500482199387,0.2204315056068468,0.6802194756419667,1.2466145357078082,1.9743109978567792,0.0,3.839255484986916,0.00012340796303069853,12.984276890619281,0.720025728321363
buyer_key_type_SIRET,0.3550115123129989,1.4261970730140738,0.21757912202722857,-0.07143573064821468,0.7814587552742125,0.9310561140449418,2.1846568218505134,0.0,1.6316432799493124,0.10275465519828234,3.282724339624274,0.720025728321363
