covariate,HR,HR_lower,HR_upper,p_value,concordance
declared_duration_months,0.985,0.981,0.989,0.0,0.6621
dur_was_imputed,0.645,0.542,0.767,0.0,0.5722
start_year,1.166,1.118,1.215,0.0,0.59
cat_cox_IT Services & Consulting,1.147,0.976,1.348,0.0951,0.5125
cat_cox_Other,0.869,0.724,1.043,0.1318,0.5027
cat_cox_Software & Applications,1.068,0.891,1.279,0.4772,0.4965
cat_cox_Telecom & Networks,0.918,0.756,1.115,0.3901,0.5056
proc_cox_OUVERT,1.105,0.952,1.283,0.1896,0.5249
proc_cox_Other_proc,0.646,0.381,1.097,0.1056,0.5049
proc_cox_PROCEDURE_ADAPTE,0.915,0.784,1.068,0.2597,0.5213
