contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,data_quality_flags,prediction_date
BOAMP:20-100172,SIREN:246100663,Communauté urbaine d'Alençon,246100663,,SIREN_ENRICHED,IT Services & Consulting,2020-08-07,1.0,2020-09-07,0.050286970512537,0.0865930668568142,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-36671,SIRET:25440253000011,"Direction Cybersécurité, Cloud et IA",,25440253000011,SIRET,IT Services & Consulting,2025-04-03,1.0,2025-05-03,0.0497823541456043,0.0857570259621937,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-13579,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2025-02-06,4.0,2025-06-06,0.0487700726335769,0.0840779567740546,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-2262,SIREN:214401846,VILLE DE SAINT NAZAIRE,214401846,,SIREN_ENRICHED,IT Services & Consulting,2025-01-10,4.0,2025-05-10,0.0487700726335769,0.0840779567740546,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-28394,SIREN:935367433,Conseil départemental Loire Atlantique,935367433,,SIREN_ENRICHED,IT Services & Consulting,2025-03-14,4.0,2025-07-14,0.0487700726335769,0.0840779567740546,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-3181,SIREN:228500013,Département de la Vendée,228500013,,SIREN_ENRICHED,IT Services & Consulting,2025-01-12,4.0,2025-05-12,0.0487700726335769,0.0840779567740546,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-41441,SIREN:214401846,VILLE DE SAINT NAZAIRE,214401846,,SIREN_ENRICHED,IT Services & Consulting,2025-04-13,4.0,2025-08-13,0.0487700726335769,0.0840779567740546,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-50085,SIREN:935367433,Conseil départemental Loire Atlantique,935367433,,SIREN_ENRICHED,IT Services & Consulting,2025-05-04,4.0,2025-09-04,0.0487700726335769,0.0840779567740546,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:25-54937,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2025-05-17,4.0,2025-09-17,0.0487700726335769,0.0840779567740546,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:24-127981,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2024-11-13,4.0,2025-03-13,0.0487531948488082,0.0840499397001675,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:24-129367,SIREN:257202176,Syndicat Mixte pour le Développement Numérique,257202176,,SIREN_ENRICHED,IT Services & Consulting,2024-11-16,4.0,2025-03-16,0.0487531948488082,0.0840499397001675,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:24-132180,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2024-11-24,4.0,2025-03-24,0.0487531948488082,0.0840499397001675,Low,model-estimated recurrence probability,False,,2026-07-09
BOAMP:24-132338,SIREN:225300011,Conseil Départemental de la Mayenne,225300011,,SIREN_ENRICHED,IT Services & Consulting,2024-11-24,4.0,2025-03-24,0.0487531948488082,0.0840499397001675,Low,model-estimated recurrence probability,False,,2026-07-09
