segment,n_live_contracts,expected_renewals_12m,expected_renewals_24m,mean_p12
IT Services & Consulting,478,16.291561153619188,28.348037210683735,0.03408276391970542
Telecom & Networks,300,8.595229104651025,15.023465766913471,0.028650763682170084
Cybersecurity,199,6.033943134586521,10.535065680521237,0.030321322284354378
Software & Applications,295,5.998644305810904,10.557454409873783,0.0203343874773251
Unknown,165,4.77042618212389,8.338113920333202,0.028911673831053877
Digital Workplace & Collaboration,72,2.0909959882932174,3.6531472426474627,0.02904161094851691
Data & AI,52,1.4934612109730048,2.609907763169744,0.028720407903327014
IT Hardware & Equipment,38,1.2214384092806547,2.1285443834209437,0.03214311603370144
IT Maintenance & Support,29,0.896388826007644,1.564552072166201,0.030909959517504967
Cloud & Infrastructure,24,0.7232851991921974,1.2631164287936232,0.03013688329967489
GIS & Mapping,9,0.3223899204345007,0.5607321570881505,0.03582110227050008
