contract_id,buyer_key,buyer_name,SIREN,SIRET,buyer_key_type,segment,source_date,declared_duration_months,estimated_end_date,p_renewal_12m,p_renewal_24m,risk_tier,main_risk_reason,cpv_generic,cpv_div2,event,observed_duration_months,model_used
BOAMP:15-30947,NAME:smictom vallee authion,SMICTOM de la Vallée de l'Authion,,,NAME,Software & Applications,2015-03-02,12.0,2016-03-02,0.0205236121694079,0.036159365496108986,Low,model-estimated recurrence probability,True,48.0,0,136.24,LogLogisticAFT
BOAMP:15-31464,SIREN:285300018,Sdis de la Mayenne,285300018,,SIREN_ENRICHED,Unknown,2015-03-02,36.0,2018-03-02,0.02717548018591298,0.047632463415878346,Low,model-estimated recurrence probability,False,,1,36.14,LogLogisticAFT
BOAMP:15-31513,SIREN:214401432,Ville de Rezé,214401432,,SIREN_ENRICHED,Unknown,2015-03-02,48.0,2019-03-02,0.023798036733784222,0.041821870108471604,Low,model-estimated recurrence probability,False,38.0,0,136.24,LogLogisticAFT
BOAMP:15-20937,SIREN:214401093,Ville de Nantes,214401093,,SIREN_ENRICHED,Unknown,2015-03-03,48.0,2019-03-03,0.023798036733784222,0.041821870108471604,Low,model-estimated recurrence probability,False,44.0,1,51.81,LogLogisticAFT
BOAMP:15-32168,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,IT Services & Consulting,2015-07-21,24.0,2017-07-21,0.0391190615427508,0.06793896743309247,Low,model-estimated recurrence probability,False,72.0,0,131.6,LogLogisticAFT
BOAMP:15-31641,SIREN:784301525,IRCANTEC,784301525,,SIREN_ENRICHED,Data & AI,2015-03-04,12.0,2016-03-04,0.03810173550127438,0.06622380865107125,Low,model-estimated recurrence probability,False,,0,136.17,LogLogisticAFT
BOAMP:15-31797,NAME:acoss,ACOSS,,,NAME,IT Services & Consulting,2015-03-04,12.0,2016-03-04,0.03182627473564659,0.055584217024648885,Low,model-estimated recurrence probability,False,72.0,0,136.17,LogLogisticAFT
BOAMP:15-33241,SIREN:264400136,CHU de Nantes,264400136,,SIREN_ENRICHED,Telecom & Networks,2015-09-11,48.0,2019-09-11,0.02301302503500846,0.04046696273647399,Low,duration imputed,False,32.0,1,52.96,LogLogisticAFT
BOAMP:15-33752,SIREN:234400034,Conseil régional des Pays de la Loire,234400034,,SIREN_ENRICHED,Cybersecurity,2015-06-29,48.0,2019-06-29,0.023418603749914224,0.041167185936779815,Low,duration imputed,False,72.0,0,132.33,LogLogisticAFT
BOAMP:15-34520,NAME:chu angers,CHU d'Angers,,,NAME,Telecom & Networks,2015-03-06,48.0,2019-03-06,0.016327062694076244,0.028859909257585747,Low,duration imputed,False,32.0,0,136.1,LogLogisticAFT
