contract_id,renewal_contract_id,buyer_key,category_label,start_date,age_months,declared_duration_months,dur_was_imputed,event,observed_duration_months,p_renewal_12m,p_renewal_24m,risk_tier,model_used,event_definition_note
BOAMP:15-30947,,NAME:smictom de la vallee de l authion,Software & Applications,2015-03-02,118.0,12.0,0,0,118.0,0.1029,0.2932,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-31464,BOAMP:17-176560,SIREN:285300018,Unknown,2015-03-02,118.0,36.0,0,1,33.54,0.0245,0.1062,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-31513,BOAMP:19-87143,SIREN:214401432,Unknown,2015-03-02,118.0,48.0,0,1,51.12,0.0139,0.0694,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-20937,BOAMP:19-17307,SIREN:214401093,Unknown,2015-03-03,117.97,48.0,0,1,47.17,0.0139,0.0694,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-32168,BOAMP:17-48788,SIREN:234400034,IT Services & Consulting,2015-07-21,113.37,24.0,0,1,24.11,0.0704,0.226,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-31641,,SIREN:784301525,Data & AI,2015-03-04,117.94,12.0,0,0,117.94,0.0665,0.2174,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-31797,,NAME:acoss,IT Services & Consulting,2015-03-04,117.94,12.0,0,0,117.94,0.1075,0.3018,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-33241,BOAMP:20-19986,SIREN:264400136,Telecom & Networks,2015-09-11,111.66,48.0,1,1,52.96,0.0114,0.0599,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-33752,BOAMP:19-41115,SIREN:234400034,Cybersecurity,2015-06-29,114.09,48.0,1,1,47.4,0.0125,0.0642,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-34520,,NAME:d angers,Telecom & Networks,2015-03-06,117.87,48.0,1,0,117.87,0.0117,0.0611,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-37182,,NAME:mindef dga dt scat,Cybersecurity,2015-03-11,117.71,48.0,0,0,117.71,0.0204,0.0925,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-42843,,NAME:cte de cnes de l ile de noirmoutier,IT Services & Consulting,2015-03-24,117.28,48.0,0,0,117.28,0.0262,0.1116,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-44999,BOAMP:19-126819,NAME:conseil general de la vendee,Cybersecurity,2015-03-24,117.28,48.0,1,1,52.86,0.0125,0.0642,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-47591,,SIREN:532458809,Telecom & Networks,2015-03-27,117.18,36.0,0,0,117.18,0.0292,0.1208,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-47696,BOAMP:19-34512,SIREN:110006012,IT Services & Consulting,2015-03-30,117.08,48.0,0,1,47.21,0.0262,0.1116,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-31076,,SIREN:218501914,Cybersecurity,2015-04-01,117.02,48.0,0,0,117.02,0.0183,0.0855,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-50314,BOAMP:19-34512,SIREN:110006012,IT Services & Consulting,2015-04-02,116.98,48.0,1,1,47.11,0.0187,0.087,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-51571,,NAME:residences saint alexandre,Software & Applications,2015-04-07,116.82,48.0,1,0,116.82,0.0176,0.0831,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-52664,BOAMP:19-34512,SIREN:110006012,IT Services & Consulting,2015-04-08,116.79,48.0,0,1,46.91,0.0262,0.1116,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-53947,BOAMP:19-104228,SIREN:214401622,Software & Applications,2015-04-10,116.72,48.0,1,1,50.82,0.0181,0.0847,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-54892,,SIREN:288500010,Telecom & Networks,2015-04-10,116.72,48.0,1,0,116.72,0.0114,0.0599,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
BOAMP:15-54272,,SIREN:264900390,Unknown,2015-04-10,116.72,44.0,0,0,116.72,0.0169,0.0804,Low,LogNormal AFT,Proxy BOAMP renewal event from algorithmic linking; not manually validated yet.
