contract_id,renewal_contract_id,buyer_key,category_label,start_date,age_months,declared_duration_months,dur_was_imputed,event,observed_duration_months,p_renewal_12m,p_renewal_24m,risk_tier,model_used,event_definition_note
BOAMP:15-30947,,NAME:smictom de la vallee de l authion,Software & Applications,2015-03-02,118.0,12.0,0,0,118.0,0.0216,0.0658,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-31464,BOAMP:17-176560,SIREN:285300018,Unknown,2015-03-02,118.0,36.0,0,1,33.54,0.0178,0.0561,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-31513,,SIREN:214401432,Unknown,2015-03-02,118.0,48.0,0,0,118.0,0.015,0.0488,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-20937,BOAMP:19-17307,SIREN:214401093,Unknown,2015-03-03,117.97,48.0,0,1,47.17,0.015,0.0488,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-32168,BOAMP:17-68186,SIREN:234400034,IT Services & Consulting,2015-07-21,113.37,24.0,0,1,24.64,0.0332,0.0931,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-31641,,SIREN:784301525,Data & AI,2015-03-04,117.94,12.0,0,0,117.94,0.0247,0.0734,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-31797,,NAME:acoss,IT Services & Consulting,2015-03-04,117.94,12.0,0,0,117.94,0.0386,0.105,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-33241,BOAMP:20-19986,SIREN:264400136,Telecom & Networks,2015-09-11,111.66,48.0,1,1,52.96,0.0078,0.0284,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-33752,,SIREN:234400034,Cybersecurity,2015-06-29,114.09,48.0,1,0,114.09,0.0129,0.0432,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-34520,,NAME:d angers,Telecom & Networks,2015-03-06,117.87,48.0,1,0,117.87,0.0043,0.0172,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
BOAMP:15-37182,,NAME:mindef dga dt scat,Cybersecurity,2015-03-11,117.71,48.0,0,0,117.71,0.0147,0.0482,Low,LogNormal AFT,"M2 balanced (selected method) proxy recurrence event (M2_balanced: proxy recurrence; identifiable reappearance of a similar procurement need, not a formally verified renewal chain); identifiable BOAMP re-publication, not a legally verified renewal."
