category_label,n_contracts,expected_renewals_12m,expected_renewals_24m,mean_p_renewal_12m,mean_p_renewal_24m,high_risk_contracts_count
IT Services & Consulting,312,61.6134,107.2347,0.1975,0.3437,0
Telecom & Networks,201,37.5976,65.7818,0.1871,0.3273,0
Software & Applications,209,37.4933,66.106,0.1794,0.3163,0
Cybersecurity,121,23.7699,41.4427,0.1964,0.3425,0
Unknown,108,20.5632,36.0245,0.1904,0.3336,0
Digital Workplace & Collaboration,45,7.7863,13.7845,0.173,0.3063,0
Data & AI,34,6.1442,10.8311,0.1807,0.3186,0
IT Maintenance & Support,22,4.5757,7.9246,0.208,0.3602,0
Cloud & Infrastructure,19,3.9433,6.8213,0.2075,0.359,0
IT Hardware & Equipment,21,3.7771,6.6685,0.1799,0.3175,0
GIS & Mapping,5,1.0818,1.8667,0.2164,0.3733,0
