category_label,n_contracts,expected_renewals_12m,expected_renewals_24m,mean_p_renewal_12m,mean_p_renewal_24m,high_risk_contracts_count
IT Services & Consulting,343,10.7999,30.5894,0.0315,0.0892,0
Telecom & Networks,220,3.5291,11.328,0.016,0.0515,0
Software & Applications,223,3.4854,11.2622,0.0156,0.0505,0
Cybersecurity,136,3.1021,9.3709,0.0228,0.0689,0
Unknown,114,2.6288,7.9017,0.0231,0.0693,0
Digital Workplace & Collaboration,51,1.1665,3.5124,0.0229,0.0689,0
Data & AI,40,0.7877,2.4383,0.0197,0.061,0
IT Hardware & Equipment,25,0.6245,1.8616,0.025,0.0745,0
IT Maintenance & Support,22,0.5833,1.7168,0.0265,0.078,0
Cloud & Infrastructure,22,0.5609,1.6534,0.0255,0.0752,0
GIS & Mapping,8,0.2392,0.6784,0.0299,0.0848,0
