category_label,n_contracts,expected_renewals_12m,expected_renewals_24m,mean_p_renewal_12m,mean_p_renewal_24m,high_risk_contracts_count
IT Services & Consulting,343,11.8625,32.3763,0.0346,0.0944,0
Software & Applications,223,3.7005,11.5689,0.0166,0.0519,0
Cybersecurity,136,3.3665,9.8112,0.0248,0.0721,0
Telecom & Networks,220,3.2577,10.3802,0.0148,0.0472,0
Unknown,114,2.7471,8.0214,0.0241,0.0704,0
Digital Workplace & Collaboration,51,1.193,3.5042,0.0234,0.0687,0
Data & AI,40,0.8091,2.4373,0.0202,0.0609,0
IT Hardware & Equipment,25,0.6461,1.8775,0.0258,0.0751,0
IT Maintenance & Support,22,0.6064,1.7398,0.0276,0.0791,0
Cloud & Infrastructure,22,0.5849,1.677,0.0266,0.0762,0
GIS & Mapping,8,0.2506,0.6917,0.0313,0.0865,0
