segment,n_contracts,expected_renewals_12m,expected_renewals_24m,mean_p12
IT Services & Consulting,478,16.29156115361921,28.348037210683756,0.03408276391970546
Telecom & Networks,300,8.59522910465104,15.023465766913485,0.028650763682170132
Cybersecurity,199,6.03394313458653,10.535065680521246,0.030321322284354423
Software & Applications,295,5.9986443058109185,10.557454409873797,0.020334387477325147
Unknown,165,4.770426182123897,8.338113920333207,0.02891167383105392
Digital Workplace & Collaboration,72,2.0909959882932205,3.653147242647466,0.02904161094851695
Data & AI,52,1.4934612109730074,2.6099077631697467,0.028720407903327066
IT Hardware & Equipment,38,1.221438409280657,2.1285443834209454,0.0321431160337015
IT Maintenance & Support,29,0.8963888260076451,1.5645520721662023,0.030909959517505005
Cloud & Infrastructure,24,0.7232851991921984,1.2631164287936243,0.03013688329967493
GIS & Mapping,9,0.322389920434501,0.5607321570881508,0.03582110227050011
