contract_id,category_label,declared_duration_months,p_renewal_12m,p_renewal_24m,risk_tier,event
BOAMP:24-12133,IT Services & Consulting,2.9566360052562417,0.0733,0.1768,Low,0
BOAMP:24-21999,IT Services & Consulting,3.942181340341656,0.0729,0.1759,Low,0
BOAMP:22-123056,IT Services & Consulting,12.0,0.063,0.1572,Low,0
BOAMP:23-20260,IT Services & Consulting,12.0,0.063,0.1572,Low,1
BOAMP:23-41937,IT Services & Consulting,12.0,0.063,0.1572,Low,0
BOAMP:23-92003,IT Services & Consulting,12.0,0.063,0.1572,Low,0
BOAMP:22-112462,IT Services & Consulting,3.0,0.0611,0.1535,Low,0
BOAMP:22-153148,IT Services & Consulting,5.0,0.0603,0.1518,Low,1
BOAMP:21-128976,IT Services & Consulting,12.0,0.0576,0.1465,Low,0
BOAMP:21-51104,IT Services & Consulting,12.0,0.0576,0.1465,Low,1
BOAMP:22-102718,IT Services & Consulting,12.0,0.0574,0.1462,Low,0
BOAMP:22-118541,IT Services & Consulting,12.0,0.0574,0.1462,Low,0
BOAMP:22-128177,IT Services & Consulting,12.0,0.0574,0.1462,Low,0
BOAMP:22-13142,IT Services & Consulting,12.0,0.0574,0.1462,Low,1
BOAMP:22-141594,IT Services & Consulting,12.0,0.0574,0.1462,Low,0
BOAMP:22-162095,IT Services & Consulting,12.0,0.0574,0.1462,Low,1
BOAMP:22-28144,IT Services & Consulting,12.0,0.0574,0.1462,Low,1
BOAMP:22-38397,IT Services & Consulting,12.0,0.0574,0.1462,Low,0
BOAMP:22-38732,IT Services & Consulting,12.0,0.0574,0.1462,Low,0
BOAMP:22-51860,IT Services & Consulting,12.0,0.0574,0.1462,Low,0
