contract_id,category_label,declared_duration_months,p_renewal_12m,p_renewal_24m,risk_tier,event
BOAMP:24-12133,IT Services & Consulting,2.9566360052562417,0.0785,0.1839,Low,0
BOAMP:24-21999,IT Services & Consulting,3.942181340341656,0.0777,0.1824,Low,0
BOAMP:22-112462,IT Services & Consulting,3.0,0.0692,0.1665,Low,0
BOAMP:22-153148,IT Services & Consulting,5.0,0.0677,0.1637,Low,0
BOAMP:22-123056,IT Services & Consulting,12.0,0.0668,0.1621,Low,0
BOAMP:23-20260,IT Services & Consulting,12.0,0.0668,0.1621,Low,1
BOAMP:23-41937,IT Services & Consulting,12.0,0.0668,0.1621,Low,0
BOAMP:23-92003,IT Services & Consulting,12.0,0.0668,0.1621,Low,0
BOAMP:20-110309,IT Services & Consulting,6.0,0.0627,0.1542,Low,0
BOAMP:21-126360,IT Services & Consulting,6.0,0.0627,0.1542,Low,0
BOAMP:22-102718,IT Services & Consulting,12.0,0.0626,0.154,Low,0
BOAMP:22-118541,IT Services & Consulting,12.0,0.0626,0.154,Low,0
BOAMP:22-128177,IT Services & Consulting,12.0,0.0626,0.154,Low,0
BOAMP:22-13142,IT Services & Consulting,12.0,0.0626,0.154,Low,1
BOAMP:22-141594,IT Services & Consulting,12.0,0.0626,0.154,Low,0
BOAMP:22-162095,IT Services & Consulting,12.0,0.0626,0.154,Low,1
BOAMP:22-28144,IT Services & Consulting,12.0,0.0626,0.154,Low,1
BOAMP:22-38397,IT Services & Consulting,12.0,0.0626,0.154,Low,0
BOAMP:22-38732,IT Services & Consulting,12.0,0.0626,0.154,Low,0
BOAMP:22-51860,IT Services & Consulting,12.0,0.0626,0.154,Low,0
